Date,OXY Raw Price,PSX Raw Price,OXY Log Price,PSX Log Price,Residual,Spread,Beta
2025-01-02,49.2819,112.306,3.89756,4.72123,-0.0925158,63.0242,0.679227
2025-01-03,49.9745,113.955,3.91151,4.73581,-0.0874176,63.9808,0.679227
2025-01-06,50.2317,113.052,3.91665,4.72785,-0.0988614,62.8204,0.679227
2025-01-07,51.0034,113.072,3.93189,4.72802,-0.109044,62.0683,0.679227
2025-01-08,50.6472,114.112,3.92488,4.73718,-0.0951235,63.465,0.679227
2025-01-10,50.7561,111.835,3.92703,4.71702,-0.11674,61.0789,0.679227
2025-01-13,52.1214,113.847,3.95358,4.73486,-0.116937,61.7258,0.679227
2025-01-14,51.5278,115.114,3.94212,4.74592,-0.0980954,63.5857,0.679227
2025-01-15,52.1412,116.812,3.95396,4.76056,-0.0914891,64.6705,0.679227
2025-01-16,51.7455,117.43,3.94634,4.76584,-0.0810338,65.6846,0.679227
2025-01-17,51.419,118.314,3.94001,4.77334,-0.0692395,66.8946,0.679227
2025-01-21,50.014,118.274,3.9123,4.77301,-0.0507543,68.2603,0.679227
2025-01-22,49.6677,116.37,3.90536,4.75677,-0.062267,66.7022,0.679227
2025-01-23,49.8063,120.365,3.90814,4.79053,-0.0304033,70.5589,0.679227
2025-01-24,48.7674,119.619,3.88706,4.78431,-0.0223034,70.8517,0.679227
2025-01-27,49.0345,120.817,3.89252,4.79427,-0.0160521,71.7822,0.679227
2025-01-28,48.4805,118.952,3.88116,4.77872,-0.023891,70.4712,0.679227
2025-01-29,48.3123,119.914,3.87769,4.78677,-0.0134759,71.6013,0.679227
2025-01-30,48.4013,118.618,3.87953,4.77591,-0.0255909,70.2166,0.679227
2025-01-31,46.1554,115.702,3.83201,4.75102,-0.0182035,69.5471,0.679227
2025-02-03,45.8784,115.693,3.82599,4.75094,-0.0141992,69.8143,0.679227
2025-02-04,47.0854,121.337,3.85196,4.79857,0.0157952,74.2515,0.679227
2025-02-05,46.8579,121.052,3.84712,4.79622,0.0167369,74.1944,0.679227
2025-02-06,46.4819,118.598,3.83906,4.77574,0.00172808,72.1164,0.679227
2025-02-07,46.284,118.088,3.8348,4.77143,0.000312608,71.8038,0.679227
2025-02-10,47.867,121.435,3.86843,4.79938,0.00542112,73.5681,0.679227
2025-02-11,48.0946,127.168,3.87317,4.84551,0.0483265,79.0731,0.679227
2025-02-12,47.3229,122.741,3.85699,4.81007,0.0238807,75.4178,0.679227
2025-02-13,47.3723,123.231,3.85804,4.81406,0.0271617,75.8591,0.679227
2025-02-14,47.5504,125.685,3.86179,4.83378,0.0443312,78.135,0.679227
2025-02-18,48.3222,127.884,3.87789,4.85113,0.0507394,79.5621,0.679227
2025-02-19,50.4494,127.57,3.92097,4.84867,0.0190191,77.1208,0.679227
2025-02-20,51.5377,129.131,3.94231,4.86083,0.0166823,77.5932,0.679227
2025-02-21,49.8854,126.412,3.90973,4.83955,0.0175335,76.5265,0.679227
2025-02-24,49.3313,125.867,3.89856,4.83523,0.0208011,76.5358,0.679227
2025-02-25,48.3716,125.055,3.87891,4.82875,0.0276718,76.6833,0.679227
2025-02-26,48.0352,124.243,3.87193,4.82224,0.0258962,76.2075,0.679227
2025-02-27,48.1342,126.194,3.87399,4.83782,0.0400813,78.0598,0.679227
2025-02-28,48.3222,128.452,3.87789,4.85556,0.0551705,80.13,0.679227
2025-03-03,45.9575,123.797,3.82772,4.81864,0.0523362,77.8396,0.679227
2025-03-04,46.0367,121.123,3.82944,4.79681,0.0293289,75.0862,0.679227
2025-03-05,45.0275,118.597,3.80727,4.77573,0.0233116,73.5697,0.679227
