Date,OXY Raw Price,PSX Raw Price,OXY Log Price,PSX Log Price,Residual,Spread,Beta
2025-03-06,45.2253,121.618,3.81166,4.80089,0.0454861,76.3927,0.679227
2025-03-07,46.7391,124.976,3.84458,4.82812,0.0503571,78.2366,0.679227
2025-03-10,47.0971,124.926,3.85221,4.82772,0.0447779,77.829,0.679227
2025-03-11,46.0231,122.371,3.82914,4.80706,0.0397793,76.3477,0.679227
2025-03-12,45.8441,122.797,3.82525,4.81053,0.0459005,76.9526,0.679227
2025-03-13,45.1977,121.331,3.81105,4.79852,0.0435363,76.1331,0.679227
2025-03-14,46.2717,125.52,3.83453,4.83247,0.061533,79.2487,0.679227
2025-03-17,46.9977,127.957,3.8501,4.85169,0.0701848,80.9593,0.679227
2025-03-18,47.3855,127.184,3.85832,4.84564,0.0585467,79.7989,0.679227
2025-03-19,47.6938,127.769,3.8648,4.85022,0.0587263,80.075,0.679227
2025-03-20,47.6938,127.591,3.8648,4.84883,0.05733,79.8967,0.679227
2025-03-21,47.6739,124.292,3.86438,4.82264,0.0314232,76.6184,0.679227
2025-03-24,47.654,125.263,3.86397,4.83042,0.0394857,77.6089,0.679227
2025-03-25,48.738,124.292,3.88646,4.82264,0.0164299,75.5543,0.679227
2025-03-26,49.4739,125.362,3.90144,4.83121,0.0148203,75.8881,0.679227
2025-03-27,49.2352,123.53,3.89661,4.81648,0.00338068,74.2944,0.679227
2025-03-28,48.559,120.598,3.88278,4.79246,-0.0112452,72.0389,0.679227
2025-03-31,49.086,122.301,3.89357,4.80649,-0.00455039,73.2154,0.679227
2025-04-01,48.917,123.163,3.89012,4.81351,0.00481391,74.2462,0.679227
2025-04-02,49.0562,122.876,3.89297,4.81118,0.00054863,73.8197,0.679227
2025-04-03,43.6563,106.157,3.77635,4.66492,-0.0664969,62.5007,0.679227
2025-04-04,40.315,97.8669,3.69672,4.58361,-0.0937242,57.5519,0.679227
2025-04-07,38.5349,95.6681,3.65156,4.56089,-0.085775,57.1332,0.679227
2025-04-08,35.9096,91.9836,3.581,4.52161,-0.0771225,56.0741,0.679227
2025-04-09,40.0067,102.146,3.68905,4.6264,-0.0457188,62.139,0.679227
2025-04-10,36.2676,96.0643,3.59092,4.56502,-0.0404535,59.7967,0.679227
2025-04-11,37.4609,96.4506,3.6233,4.56903,-0.0584298,58.9897,0.679227
2025-04-14,37.6896,96.8864,3.62939,4.57354,-0.0580561,59.1967,0.679227
2025-04-15,37.5902,95.2917,3.62674,4.55694,-0.0728572,57.7016,0.679227
2025-04-16,38.2366,95.6483,3.64379,4.56068,-0.0807031,57.4117,0.679227
2025-04-17,39.4896,98.1542,3.67604,4.58654,-0.0767429,58.6646,0.679227
2025-04-21,38.8034,96.0841,3.65851,4.56522,-0.0861523,57.2807,0.679227
2025-04-22,39.7481,99.937,3.68256,4.60454,-0.0631751,60.1888,0.679227
2025-04-23,39.6089,101.799,3.67905,4.623,-0.0423311,62.1901,0.679227
2025-04-24,40.1459,103.691,3.69252,4.64141,-0.033065,63.5449,0.679227
2025-04-25,40.136,102.978,3.69227,4.63451,-0.039798,62.8417,0.679227
2025-04-28,40.2851,104.77,3.69598,4.65177,-0.0250586,64.4853,0.679227
2025-04-29,40.126,104.988,3.69203,4.65385,-0.0202929,64.8623,0.679227
2025-04-30,39.1913,103.067,3.66845,4.63538,-0.0227538,63.8756,0.679227
2025-05-01,40.2155,102.473,3.69425,4.62959,-0.0460603,62.257,0.679227
2025-05-02,40.3846,106.127,3.69845,4.66464,-0.013865,65.7427,0.679227
2025-05-05,38.5946,105.88,3.65311,4.6623,0.0145928,67.2851,0.679227
2025-05-06,39.062,104.384,3.66515,4.64808,-0.00780944,65.3222,0.679227
2025-05-07,38.7935,104.543,3.65825,4.64959,-0.00160743,65.7491,0.679227
2025-05-08,41.21,108.148,3.71868,4.6835,-0.00874747,66.9379,0.679227
2025-05-09,41.926,109.861,3.73591,4.69922,-0.00472771,67.9354,0.679227
2025-05-12,43.6166,117.547,3.77544,4.76684,0.0360435,73.9307,0.679227
2025-05-13,44.1436,124.372,3.78745,4.82327,0.0843175,80.2279,0.679227
2025-05-14,43.5768,123.51,3.77452,4.81632,0.0861432,79.933,0.679227
2025-05-15,43.1293,123.579,3.7642,4.81688,0.0937157,80.4499,0.679227
2025-05-16,42.8011,124.53,3.75656,4.82455,0.106568,81.7289,0.679227
2025-05-19,42.0752,122.18,3.73946,4.8055,0.0991362,80.1048,0.679227
2025-05-20,41.6674,120.9,3.72972,4.79496,0.0952187,79.2326,0.679227
2025-05-21,40.9017,111.78,3.71117,4.71653,0.0293859,70.8783,0.679227
2025-05-22,40.852,112.98,3.70996,4.72721,0.0408903,72.128,0.679227
2025-05-23,41.0608,113.13,3.71505,4.72854,0.0387537,72.0692,0.679227
2025-05-27,41.389,114.33,3.72301,4.73909,0.0438982,72.941,0.679227
2025-05-28,40.8918,112.77,3.71093,4.72535,0.0383688,71.8782,0.679227
2025-05-29,41.2299,114.68,3.71916,4.74215,0.049571,73.4501,0.679227
2025-05-30,40.5536,113.48,3.70263,4.73163,0.0502846,72.9264,0.679227
2025-06-02,41.21,114.28,3.71868,4.73865,0.0464047,73.07,0.679227
2025-06-03,42.453,115.97,3.7484,4.75333,0.0408993,73.517,0.679227
2025-06-04,41.6774,112.48,3.72996,4.72278,0.0228683,70.8026,0.679227
2025-06-05,41.5879,112.23,3.72781,4.72055,0.0221034,70.6421,0.679227
2025-06-06,42.3039,114.29,3.74488,4.73874,0.0286976,71.9861,0.679227
2025-06-09,43,116.1,3.7612,4.75445,0.0333246,73.1,0.679227
2025-06-10,43.91,118.7,3.78214,4.7766,0.0412477,74.79,0.679227
2025-06-11,44.84,120.95,3.8031,4.79538,0.04579,76.11,0.679227
2025-06-12,44.76,121.52,3.80131,4.80008,0.0517046,76.76,0.679227
2025-06-13,46.45,122.15,3.83838,4.80525,0.0317023,75.7,0.679227
