Date,MUR Raw Price,OKE Raw Price,MUR Log Price,OKE Log Price,Residual,Spread,Beta
2025-02-11,27.9905,97.6991,3.33186,4.58189,0.00153398,69.7086,0.58286
2025-02-12,26.9675,96.4054,3.29463,4.56856,0.00990473,69.4379,0.58286
2025-02-13,27.2013,97.7386,3.30327,4.5823,0.0186072,70.5372,0.58286
2025-02-14,27.5326,96.6325,3.31537,4.57092,0.00017107,69.0999,0.58286
2025-02-18,27.7839,97.4127,3.32446,4.57896,0.00291577,69.6288,0.58286
2025-02-19,27.981,97.9657,3.33153,4.58462,0.00445634,69.9847,0.58286
2025-02-20,27.7938,97.4028,3.32481,4.57885,0.00260771,69.609,0.58286
2025-02-21,26.9166,96.8794,3.29274,4.57347,0.0159114,69.9628,0.58286
2025-02-24,27.3108,96.8991,3.30728,4.57367,0.0076403,69.5883,0.58286
2025-02-25,27.2615,94.5784,3.30548,4.54943,-0.0155489,67.3168,0.58286
2025-02-26,26.542,94.5685,3.27873,4.54932,-6.38634e-05,68.0265,0.58286
2025-02-27,26.3351,95.4375,3.2709,4.55847,0.0136468,69.1025,0.58286
2025-02-28,26.1084,99.1409,3.26226,4.59654,0.0567554,73.0325,0.58286
2025-03-03,24.1076,95.5561,3.18253,4.55971,0.066397,71.4484,0.58286
2025-03-04,24.0781,92.623,3.1813,4.52854,0.0359368,68.5449,0.58286
2025-03-05,23.674,90.7269,3.16438,4.50785,0.0251181,67.0529,0.58286
2025-03-06,23.812,88.6234,3.17019,4.4844,-0.00172724,64.8114,0.58286
2025-03-07,24.9947,88.4555,3.21866,4.4825,-0.0318773,63.4609,0.58286
2025-03-10,25.2805,90.2825,3.23003,4.50294,-0.018061,65.002,0.58286
2025-03-11,24.8862,91.4676,3.21432,4.51598,0.00414099,66.5813,0.58286
2025-03-12,24.768,91.8132,3.20955,4.51976,0.0106895,67.0452,0.58286
2025-03-13,24.5216,92.3366,3.19955,4.52544,0.0222014,67.815,0.58286
2025-03-14,25.6649,95.2302,3.24512,4.5563,0.0264967,69.5653,0.58286
2025-03-17,26.2759,97.2152,3.26865,4.57693,0.0334116,70.9392,0.58286
2025-03-18,25.724,96.7905,3.24742,4.57255,0.0414074,71.0665,0.58286
2025-03-19,26.7096,98.8051,3.28502,4.59315,0.0400933,72.0955,0.58286
2025-03-20,26.4435,99.3977,3.27501,4.59913,0.0519086,72.9542,0.58286
2025-03-21,26.3154,98.104,3.27015,4.58603,0.0416388,71.7886,0.58286
2025-03-24,26.8673,101.027,3.29091,4.61539,0.0589018,74.1598,0.58286
2025-03-25,27.3404,101.106,3.30836,4.61617,0.0495097,73.7657,0.58286
2025-03-26,27.9416,100,3.33012,4.60517,0.0258317,72.0585,0.58286
2025-03-27,28.0894,97.4522,3.33539,4.57936,-0.00305335,69.3627,0.58286
2025-03-28,27.9613,97.2547,3.33082,4.57733,-0.00241742,69.2934,0.58286
2025-03-31,27.9909,97.9855,3.33188,4.58482,0.00445277,69.9946,0.58286
2025-04-01,28.3358,98.262,3.34413,4.58764,0.0001315,69.9261,0.58286
2025-04-02,28.7892,99.1211,3.36,4.59634,-0.000414708,70.3319,0.58286
2025-04-03,25.0439,91.5466,3.22063,4.51685,0.0013226,66.5026,0.58286
2025-04-04,21.9985,79.8539,3.09097,4.3802,-0.0597531,57.8554,0.58286
2025-04-07,21.1508,79.9033,3.05168,4.38082,-0.0362329,58.7524,0.58286
2025-04-08,19.3374,77.7306,2.96204,4.35325,-0.0115519,58.3933,0.58286
2025-04-09,22.8461,83.8041,3.12878,4.42848,-0.0335056,60.9581,0.58286
2025-04-10,19.6823,80.2292,2.97972,4.38489,0.00977977,60.5469,0.58286
2025-04-11,20.5693,81.5327,3.0238,4.401,0.000203829,60.9634,0.58286
2025-04-14,20.2342,82.3425,3.00738,4.41089,0.0196608,62.1083,0.58286
2025-04-15,19.8302,83.1128,2.9872,4.4202,0.0407301,63.2827,0.58286
2025-04-16,20.2934,83.7449,3.01029,4.42777,0.034847,63.4515,0.58286
2025-04-17,21.0621,85.1571,3.04748,4.4445,0.0298974,64.0949,0.58286
2025-04-21,20.5299,80.8019,3.02188,4.392,-0.00768149,60.272,0.58286
2025-04-22,21.0819,83.0042,3.04841,4.41889,0.00374586,61.9223,0.58286
2025-04-23,20.2934,83.6066,3.01029,4.42612,0.0331946,63.3132,0.58286
2025-04-24,20.5299,85.2065,3.02188,4.44508,0.0453946,64.6765,0.58286
2025-04-25,20.7665,85.2361,3.03334,4.44542,0.039065,64.4696,0.58286
2025-04-28,20.9044,86.7767,3.03996,4.46334,0.053118,65.8722,0.58286
2025-04-29,20.9143,86.7668,3.04043,4.46322,0.0527295,65.8525,0.58286
2025-04-30,20.2342,81.1377,3.00738,4.39615,0.0049209,60.9035,0.58286
2025-05-01,20.8059,79.923,3.03524,4.38106,-0.0264014,59.1171,0.58286
2025-05-02,21.4662,81.75,3.06648,4.40367,-0.0220111,60.2838,0.58286
2025-05-05,20.3131,80.15,3.01127,4.3839,-0.00959398,59.8369,0.58286
2025-05-06,20.6975,79.29,3.03001,4.37311,-0.0313081,58.5925,0.58286
2025-05-07,20.6975,80.25,3.03001,4.38515,-0.0192734,59.5525,0.58286
2025-05-08,21.072,82.25,3.04795,4.40976,-0.00510946,61.178,0.58286
2025-05-09,21.5451,82.3,3.07015,4.41037,-0.0174427,60.7549,0.58286
2025-05-12,22.6489,85.04,3.12011,4.44312,-0.0138152,62.3911,0.58286
2025-05-13,22.9939,86.51,3.13523,4.46026,-0.00548732,63.5161,0.58286
2025-05-14,22.6489,86.61,3.12011,4.46142,0.00447837,63.9611,0.58286
2025-05-15,22.235,86.03,3.10167,4.4547,0.0085105,63.795,0.58286
2025-05-16,22.08,85.67,3.09467,4.4505,0.00839444,63.59,0.58286
2025-05-19,21.62,84.73,3.07362,4.43947,0.00963269,63.11,0.58286
2025-05-20,21.61,83.71,3.07316,4.42736,-0.00220898,62.1,0.58286
2025-05-21,20.93,81.83,3.04118,4.40464,-0.00628788,60.9,0.58286
2025-05-22,21,81.37,3.04452,4.39901,-0.0138712,60.37,0.58286
2025-05-23,20.89,81.14,3.03927,4.39618,-0.0136408,60.25,0.58286
2025-05-27,21.43,81.74,3.06479,4.40354,-0.0211487,60.31,0.58286
2025-05-28,21.23,80.59,3.05542,4.38937,-0.0298524,59.36,0.58286
2025-05-29,21.25,80.68,3.05636,4.39049,-0.0292851,59.43,0.58286
2025-05-30,20.93,80.84,3.04118,4.39247,-0.01846,59.91,0.58286
2025-06-02,21.27,82.51,3.0573,4.41292,-0.00740457,61.24,0.58286
2025-06-03,22.03,83.24,3.09241,4.42173,-0.0190589,61.21,0.58286
2025-06-04,21.67,80.52,3.07593,4.38851,-0.0426779,58.85,0.58286
2025-06-05,21.54,81.19,3.06991,4.39679,-0.0308842,59.65,0.58286
2025-06-06,22.5,81.72,3.11352,4.4033,-0.0497923,59.22,0.58286
2025-06-09,23.02,81.12,3.13636,4.39593,-0.0704788,58.1,0.58286
2025-06-10,23.79,81.72,3.16927,4.4033,-0.0822868,57.93,0.58286
2025-06-11,24.32,82.9,3.1913,4.41764,-0.0807931,58.58,0.58286
2025-06-12,24.41,82.65,3.19499,4.41461,-0.0859663,58.24,0.58286
2025-06-13,25.43,83.75,3.23593,4.42784,-0.0966054,58.32,0.58286
