Date,MUR Raw Price,OKE Raw Price,MUR Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,30.1631,99.4384,3.40662,4.59954,-0.024391,69.2753,0.58286
2025-01-03,30.0559,100.542,3.40306,4.61058,-0.0112742,70.4866,0.58286
2025-01-06,29.9682,99.2918,3.40014,4.59806,-0.0220886,69.3236,0.58286
2025-01-07,30.8256,99.282,3.42834,4.59796,-0.0386277,68.4565,0.58286
2025-01-08,31.9265,100.494,3.46344,4.61009,-0.0469514,68.5672,0.58286
2025-01-10,32.3746,99.4188,3.47738,4.59934,-0.0658291,67.0442,0.58286
2025-01-13,32.9592,101.598,3.49527,4.62102,-0.0545795,68.6386,0.58286
2025-01-14,33.0274,103.611,3.49734,4.64064,-0.0361666,70.5832,0.58286
2025-01-15,32.5987,104.431,3.48427,4.64853,-0.0206615,71.8326,0.58286
2025-01-16,32.1993,106.171,3.47194,4.66505,0.00304172,73.9713,0.58286
2025-01-17,31.4101,106.464,3.44713,4.6678,0.0202616,75.0535,0.58286
2025-01-21,30.6794,107.333,3.42359,4.67594,0.0421159,76.6538,0.58286
2025-01-22,30.0656,103.865,3.40338,4.64309,0.0210446,73.799,0.58286
2025-01-23,29.6175,102.487,3.38836,4.62973,0.016445,72.8694,0.58286
2025-01-24,28.9745,102.135,3.36642,4.6263,0.0258005,73.1607,0.58286
2025-01-27,28.7894,98.1486,3.36001,4.58648,-0.0102778,69.3593,0.58286
2025-01-28,28.4484,98.2952,3.34809,4.58798,-0.00184093,69.8468,0.58286
2025-01-29,28.4289,98.0802,3.34741,4.58579,-0.00363083,69.6513,0.58286
2025-01-30,26.7629,97.5819,3.28702,4.58069,0.026474,70.819,0.58286
2025-01-31,25.9445,94.9438,3.25596,4.55328,0.0171681,68.9992,0.58286
2025-02-03,24.8923,96.4152,3.21456,4.56866,0.0566784,71.5229,0.58286
2025-02-04,25.7886,95.8128,3.24993,4.5624,0.0297922,70.0242,0.58286
2025-02-05,25.9932,96.6917,3.25784,4.57153,0.0343179,70.6985,0.58286
2025-02-06,25.623,94.6278,3.24349,4.54995,0.021102,69.0047,0.58286
2025-02-07,26.1296,94.6179,3.26307,4.54985,0.00958572,68.4882,0.58286
2025-02-10,27.3085,97.462,3.3072,4.57946,0.0134822,70.1536,0.58286
