Date,OXY Raw Price,KMI Raw Price,OXY Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,49.2819,27.5159,3.89756,3.31476,-0.00230833,21.766,0.140638
2025-01-03,49.9745,27.6725,3.91151,3.32044,0.00140477,22.302,0.140638
2025-01-06,50.2317,27.2418,3.91665,3.30475,-0.0150039,22.9899,0.140638
2025-01-07,51.0034,27.2222,3.93189,3.30403,-0.0178671,23.7812,0.140638
2025-01-08,50.6472,27.6921,3.92488,3.32115,0.000231232,22.9552,0.140638
2025-01-10,50.7561,27.5648,3.92703,3.31654,-0.00467652,23.1913,0.140638
2025-01-13,52.1214,27.9172,3.95358,3.32924,0.00429333,24.2042,0.140638
2025-01-14,51.5278,28.5045,3.94212,3.35006,0.0267239,23.0233,0.140638
2025-01-15,52.1412,28.8178,3.95396,3.36099,0.0359886,23.3235,0.140638
2025-01-16,51.7455,29.4247,3.94634,3.38183,0.0579012,22.3208,0.140638
2025-01-17,51.419,29.6694,3.94001,3.39012,0.0670737,21.7496,0.140638
2025-01-21,50.014,30.5601,3.9123,3.4197,0.100551,19.4539,0.140638
2025-01-22,49.6677,30.1294,3.90536,3.4055,0.0873346,19.5383,0.140638
2025-01-23,49.8063,29.8358,3.90814,3.39571,0.0771484,19.9705,0.140638
2025-01-24,48.7674,29.6302,3.88706,3.38879,0.0731993,19.1372,0.140638
2025-01-27,49.0345,26.8796,3.89252,3.29137,-0.0249957,22.1549,0.140638
2025-01-28,48.4805,26.8796,3.88116,3.29137,-0.0233975,21.6008,0.140638
2025-01-29,48.3123,26.723,3.87769,3.28552,-0.0287525,21.5893,0.140638
2025-01-30,48.4013,27.5061,3.87953,3.31441,-0.000128497,20.8952,0.140638
2025-01-31,46.1554,26.8992,3.83201,3.2921,-0.0157575,19.2562,0.140638
2025-02-03,45.8784,27.283,3.82599,3.30626,-0.00074268,18.5953,0.140638
2025-02-04,47.0854,27.2039,3.85196,3.30336,-0.00729996,19.8815,0.140638
2025-02-05,46.8579,27.3424,3.84712,3.30844,-0.00154062,19.5155,0.140638
2025-02-06,46.4819,26.4916,3.83906,3.27683,-0.0320163,19.9903,0.140638
2025-02-07,46.284,26.7488,3.8348,3.28649,-0.0217543,19.5352,0.140638
2025-02-10,47.867,26.7785,3.86843,3.2876,-0.0253753,21.0885,0.140638
2025-02-11,48.0946,26.5015,3.87317,3.2772,-0.0364397,21.5931,0.140638
2025-02-12,47.3229,25.997,3.85699,3.25798,-0.0533852,21.3259,0.140638
2025-02-13,47.3723,26.274,3.85804,3.26858,-0.0429341,21.0983,0.140638
2025-02-14,47.5504,26.2641,3.86179,3.2682,-0.0438384,21.2863,0.140638
2025-02-18,48.3222,26.462,3.87789,3.27571,-0.0385978,21.8602,0.140638
2025-02-19,50.4494,26.6004,3.92097,3.28093,-0.0394365,23.8489,0.140638
2025-02-20,51.5377,26.3037,3.94231,3.26971,-0.0536574,25.234,0.140638
2025-02-21,49.8854,26.1256,3.90973,3.26292,-0.0558672,23.7598,0.140638
2025-02-24,49.3313,26.185,3.89856,3.26519,-0.0520272,23.1464,0.140638
2025-02-25,48.3716,25.819,3.87891,3.25111,-0.0633409,22.5527,0.140638
2025-02-26,48.0352,25.8882,3.87193,3.25379,-0.059681,22.147,0.140638
2025-02-27,48.1342,25.9278,3.87399,3.25531,-0.0584431,22.2064,0.140638
2025-02-28,48.3222,26.8082,3.87789,3.28871,-0.0255986,21.514,0.140638
2025-03-03,45.9575,26.8478,3.82772,3.29018,-0.0170673,19.1098,0.140638
2025-03-04,46.0367,26.6994,3.82944,3.28464,-0.0228516,19.3373,0.140638
2025-03-05,45.0275,26.4422,3.80727,3.27496,-0.0294142,18.5853,0.140638
2025-03-06,45.2253,26.0267,3.81166,3.25912,-0.0458684,19.1987,0.140638
2025-03-07,46.7391,25.8585,3.84458,3.25264,-0.0569811,20.8806,0.140638
2025-03-10,47.0971,25.8585,3.85221,3.25264,-0.0580543,21.2386,0.140638
2025-03-11,46.0231,26.1256,3.82914,3.26292,-0.0445339,19.8975,0.140638
2025-03-12,45.8441,26.2344,3.82525,3.26707,-0.0398294,19.6097,0.140638
