Date,XOM Raw Price,WMB Raw Price,XOM Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,105.388,54.9218,4.65765,4.00591,-0.0363551,50.4662,0.219781
2025-01-03,105.928,55.6294,4.66276,4.01871,-0.0246763,50.2987,0.219781
2025-01-06,105.81,54.853,4.66165,4.00466,-0.0384875,50.9573,0.219781
2025-01-07,106.802,54.5974,4.67098,3.99999,-0.0452078,52.2048,0.219781
2025-01-08,105.015,55.423,4.6541,4.01499,-0.0264902,49.5918,0.219781
2025-01-10,104.632,54.5679,4.65045,3.99945,-0.0412357,50.0639,0.219781
2025-01-13,107.333,55.0692,4.67593,4.00859,-0.0376927,52.2634,0.219781
2025-01-14,107.755,57.0644,4.67986,4.04418,-0.00296608,50.6905,0.219781
2025-01-15,109.513,57.0152,4.69604,4.04332,-0.00738429,52.4976,0.219781
2025-01-16,109.326,58.1652,4.69434,4.06329,0.0129588,51.161,0.219781
2025-01-17,110.308,58.1259,4.70328,4.06261,0.0103172,52.1824,0.219781
2025-01-21,109.474,59.5903,4.69568,4.08749,0.036869,49.8832,0.219781
2025-01-22,107.568,58.1848,4.67813,4.06362,0.0168595,49.3834,0.219781
2025-01-23,108.177,58.4699,4.68377,4.06851,0.0205056,49.7073,0.219781
2025-01-24,106.714,58.5485,4.67015,4.06986,0.0248427,48.1653,0.219781
2025-01-27,108.197,53.6146,4.68395,3.98182,-0.0662248,54.5822,0.219781
2025-01-28,106.105,54.2534,4.66443,3.99367,-0.0500888,51.8515,0.219781
2025-01-29,106.724,54.3812,4.67024,3.99602,-0.0490143,52.3425,0.219781
2025-01-30,107.608,55.6196,4.67849,4.01854,-0.02831,51.9879,0.219781
2025-01-31,104.917,54.4795,4.65317,3.99782,-0.0434555,50.4371,0.219781
2025-02-03,105.172,55.2363,4.6556,4.01162,-0.0301939,49.9357,0.219781
2025-02-04,107.991,54.7645,4.68204,4.00304,-0.044584,53.226,0.219781
2025-02-05,107.912,55.8751,4.68132,4.02312,-0.0243471,52.0369,0.219781
2025-02-06,106.488,55.0495,4.66803,4.00823,-0.0363135,51.4384,0.219781
2025-02-07,106.94,54.9807,4.67227,4.00698,-0.0384944,51.959,0.219781
2025-02-10,108.982,55.2068,4.69119,4.01109,-0.0385499,53.7757,0.219781
2025-02-11,109.67,54.2927,4.69748,3.99439,-0.0566274,55.3772,0.219781
2025-02-12,106.37,53.8799,4.66693,3.98676,-0.0575456,52.4904,0.219781
2025-02-13,107.143,56.4747,4.67417,4.03379,-0.0121028,50.6685,0.219781
2025-02-14,107.252,56.0029,4.67518,4.0254,-0.0207151,51.2493,0.219781
2025-02-18,109.135,56.8088,4.69258,4.03969,-0.0102511,52.326,0.219781
2025-02-19,109.293,57.2708,4.69404,4.04779,-0.00247146,52.0226,0.219781
2025-02-20,110.978,57.4477,4.70933,4.05087,-0.00274867,53.5302,0.219781
2025-02-21,109.68,56.455,4.69757,4.03344,-0.0175937,53.2248,0.219781
2025-02-24,110.255,56.3469,4.70279,4.03153,-0.0206591,53.9076,0.219781
2025-02-25,108.729,55.2166,4.68885,4.01126,-0.0378593,53.512,0.219781
2025-02-26,108.461,55.9243,4.68639,4.024,-0.0245834,52.5368,0.219781
2025-02-27,109.145,55.2952,4.69268,4.01269,-0.037276,53.8495,0.219781
2025-02-28,110.314,57.1823,4.70333,4.04624,-0.00605999,53.1317,0.219781
2025-03-03,106.777,56.6123,4.67074,4.03623,-0.008916,50.1643,0.219781
2025-03-04,106.559,55.826,4.66869,4.02224,-0.0224531,50.7326,0.219781
2025-03-05,104.478,55.2559,4.64897,4.01198,-0.0283826,49.2218,0.219781
2025-03-06,106.638,53.6735,4.66944,3.98292,-0.0619358,52.9643,0.219781
2025-03-07,108.025,53.4475,4.68236,3.9787,-0.068997,54.5776,0.219781
2025-03-10,110.78,53.0937,4.70754,3.97206,-0.0811733,57.686,0.219781
2025-03-11,108.164,54.0077,4.68365,3.98913,-0.0588518,54.1561,0.219781
2025-03-12,108.134,55.3346,4.68337,4.0134,-0.0345205,52.7995,0.219781
2025-03-13,107.678,55.2166,4.67915,4.01126,-0.0357259,52.4616,0.219781
2025-03-14,110.879,56.7934,4.70844,4.03942,-0.0140073,54.0854,0.219781
2025-03-17,112.722,57.9041,4.72492,4.05879,0.00173721,54.8178,0.219781
2025-03-18,112.603,57.914,4.72387,4.05896,0.00214045,54.6889,0.219781
2025-03-19,114.357,58.8263,4.73932,4.07459,0.0143742,55.5304,0.219781
2025-03-20,114.842,59.2527,4.74356,4.08181,0.0206658,55.5895,0.219781
2025-03-21,114.446,59.104,4.7401,4.0793,0.018912,55.3419,0.219781
2025-03-24,114.743,60.5816,4.7427,4.10399,0.0430345,54.1616,0.219781
2025-03-25,115.526,60.4031,4.7495,4.10104,0.0385894,55.1229,0.219781
2025-03-26,117.191,59.4511,4.7638,4.08515,0.0195586,57.7396,0.219781
2025-03-27,116.814,58.9354,4.76058,4.07644,0.0115541,57.8787,0.219781
2025-03-28,116.656,58.6974,4.75923,4.0724,0.00780607,57.9582,0.219781
2025-03-31,117.845,59.2627,4.76937,4.08198,0.0151611,58.582,0.219781
2025-04-01,117.954,60.0659,4.77029,4.09544,0.0284212,57.8877,0.219781
2025-04-02,117.587,61.0873,4.76718,4.1123,0.0459675,56.4996,0.219781
2025-04-03,111.404,58.5387,4.71316,4.06969,0.015223,52.8652,0.219781
2025-04-04,103.388,54.1159,4.63849,3.99113,-0.0469261,49.2719,0.219781
2025-04-07,102.001,54.3935,4.62498,3.99625,-0.0388394,47.607,0.219781
2025-04-08,99.8504,53.8779,4.60367,3.98672,-0.0436824,45.9725,0.219781
2025-04-09,104.834,55.9505,4.65238,4.02447,-0.0166407,48.884,0.219781
2025-04-10,99.018,54.6117,4.5953,4.00025,-0.0283141,44.4063,0.219781
2025-04-11,102.199,55.9207,4.62692,4.02393,-0.0115763,46.278,0.219781
2025-04-14,102.446,56.8826,4.62934,4.04099,0.00494701,45.5638,0.219781
2025-04-15,102.159,58.0528,4.62653,4.06135,0.0259275,44.1063,0.219781
2025-04-16,103.239,57.7751,4.63705,4.05656,0.0188215,45.464,0.219781
2025-04-17,105.944,58.1321,4.66291,4.06272,0.0192971,47.8121,0.219781
2025-04-21,104.389,55.9703,4.64812,4.02482,-0.0153495,48.4183,0.219781
2025-04-22,107.312,57.7156,4.67574,4.05553,0.009288,49.596,0.219781
2025-04-23,106.39,57.9933,4.66711,4.06033,0.015983,48.3968,0.219781
2025-04-24,107.639,59.1139,4.67878,4.07947,0.0325573,48.5247,0.219781
2025-04-25,107.579,58.5387,4.67823,4.06969,0.0229012,49.0404,0.219781
2025-04-28,107.639,59.1635,4.67878,4.0803,0.0333958,48.4751,0.219781
2025-04-29,107.371,59.1734,4.67629,4.08047,0.0341103,48.1977,0.219781
2025-04-30,104.666,58.0826,4.65077,4.06187,0.0211116,46.5834,0.219781
2025-05-01,104.815,58.3106,4.65219,4.06578,0.0247189,46.504,0.219781
2025-05-02,105.241,59.5007,4.65625,4.08599,0.04403,45.7401,0.219781
2025-05-05,102.328,59.6693,4.62818,4.08882,0.0530289,42.6583,0.219781
2025-05-06,103.754,58.2115,4.64203,4.06408,0.0252514,45.5429,0.219781
2025-05-07,103.655,58.4495,4.64107,4.06816,0.0295415,45.2058,0.219781
