Date,COP Raw Price,PSX Raw Price,COP Log Price,PSX Log Price,Residual,Spread,Beta
2025-01-02,98.4366,112.306,4.58941,4.72123,-0.0666107,13.8695,0.819255
2025-01-03,99.4301,113.955,4.59945,4.73581,-0.0602599,14.5252,0.819255
2025-01-06,98.3481,113.052,4.58851,4.72785,-0.0592529,14.704,0.819255
2025-01-07,100.001,113.072,4.60518,4.72802,-0.0727297,13.0712,0.819255
2025-01-08,99.9514,114.112,4.60468,4.73718,-0.0631666,14.1609,0.819255
2025-01-10,100.246,111.835,4.60763,4.71702,-0.0857404,11.5885,0.819255
2025-01-13,102.519,113.847,4.63004,4.73486,-0.0862679,11.3287,0.819255
2025-01-14,103.158,115.114,4.63626,4.74592,-0.0802999,11.9557,0.819255
2025-01-15,103.748,116.812,4.64196,4.76056,-0.0703288,13.0637,0.819255
2025-01-16,103.876,117.43,4.6432,4.76584,-0.0660578,13.5543,0.819255
2025-01-17,104.112,118.314,4.64547,4.77334,-0.0604224,14.2017,0.819255
2025-01-21,102.568,118.274,4.63052,4.77301,-0.0485118,15.7066,0.819255
2025-01-22,101.368,116.37,4.61875,4.75677,-0.0551025,15.0023,0.819255
2025-01-23,102.282,120.365,4.62774,4.79053,-0.0287069,18.0827,0.819255
2025-01-24,100.158,119.619,4.60675,4.78431,-0.0177281,19.4612,0.819255
2025-01-27,101.004,120.817,4.61516,4.79427,-0.0146563,19.8129,0.819255
2025-01-28,99.7153,118.952,4.60232,4.77872,-0.0196954,19.2363,0.819255
2025-01-29,99.8923,119.914,4.60409,4.78677,-0.013094,20.0213,0.819255
2025-01-30,99.794,118.618,4.60311,4.77591,-0.0231514,18.8239,0.819255
2025-01-31,97.2072,115.702,4.57684,4.75102,-0.0265199,18.4953,0.819255
2025-02-03,96.8629,115.693,4.5733,4.75094,-0.0236983,18.8298,0.819255
2025-02-04,98.9284,121.337,4.5944,4.79857,0.0066494,22.4085,0.819255
2025-02-05,98.5645,121.052,4.59071,4.79622,0.00731991,22.4878,0.819255
2025-02-06,98.2989,118.598,4.58801,4.77574,-0.0109505,20.2993,0.819255
2025-02-07,96.7449,118.088,4.57208,4.77143,-0.0022082,21.3429,0.819255
2025-02-10,97.8465,121.435,4.5834,4.79938,0.0164672,23.5886,0.819255
2025-02-11,100.04,127.168,4.60557,4.84551,0.044432,27.1278,0.819255
2025-02-12,96.7842,122.741,4.57248,4.81007,0.0361038,25.9564,0.819255
2025-02-13,95.3089,123.231,4.55712,4.81406,0.0526793,27.9226,0.819255
2025-02-14,95.4477,125.685,4.55858,4.83378,0.0712051,30.2378,0.819255
2025-02-18,96.6276,127.884,4.57086,4.85113,0.0784826,31.2567,0.819255
2025-02-19,98.7297,127.57,4.59239,4.84867,0.0583918,28.8404,0.819255
2025-02-20,101.139,129.131,4.6165,4.86083,0.0507982,27.9917,0.819255
2025-02-21,97.1135,126.412,4.57588,4.83955,0.062793,29.2984,0.819255
2025-02-24,97.9861,125.867,4.58483,4.83523,0.0511462,27.881,0.819255
2025-02-25,96.2608,125.055,4.56706,4.82875,0.0592265,28.7942,0.819255
2025-02-26,95.3188,124.243,4.55723,4.82224,0.0607673,28.924,0.819255
2025-02-27,96.5483,126.194,4.57004,4.83782,0.0658497,29.6457,0.819255
2025-02-28,98.3133,128.452,4.58816,4.85556,0.0687451,30.1389,0.819255
2025-03-03,91.8483,123.797,4.52014,4.81864,0.0875582,31.9487,0.819255
2025-03-04,89.8751,121.123,4.49842,4.79681,0.0835119,31.2477,0.819255
2025-03-05,88.13,118.597,4.47881,4.77573,0.0785038,30.4672,0.819255
2025-03-06,87.8523,121.618,4.47566,4.80089,0.106242,33.7657,0.819255
2025-03-07,89.8652,124.976,4.49831,4.82812,0.114917,35.1105,0.819255
2025-03-10,92.116,124.926,4.52305,4.82772,0.0942531,32.8101,0.819255
2025-03-11,94.6049,122.371,4.54971,4.80706,0.0517448,27.766,0.819255
2025-03-12,96.9251,122.797,4.57394,4.81053,0.0353688,25.8716,0.819255
2025-03-13,95.3783,121.331,4.55785,4.79852,0.0365395,25.9526,0.819255
2025-03-14,98.115,125.52,4.58614,4.83247,0.0473113,27.4055,0.819255
2025-03-17,98.5215,127.957,4.59028,4.85169,0.0631489,29.4355,0.819255
2025-03-18,99.6816,127.184,4.60198,4.84564,0.0475024,27.5028,0.819255
2025-03-19,100.475,127.769,4.60991,4.85022,0.0455928,27.2939,0.819255
2025-03-20,101.447,127.591,4.61953,4.84883,0.0363113,26.1439,0.819255
2025-03-21,101.06,124.292,4.61571,4.82264,0.0132502,23.2324,0.819255
2025-03-24,101.328,125.263,4.61836,4.83042,0.0188618,23.9353,0.819255
2025-03-25,101.685,124.292,4.62188,4.82264,0.00820164,22.6077,0.819255
2025-03-26,102.329,125.362,4.62819,4.83121,0.0115948,23.0329,0.819255
2025-03-27,101.952,123.53,4.62451,4.81648,-0.000107302,21.5773,0.819255
2025-03-28,101.506,120.598,4.62012,4.79246,-0.0205333,19.0918,0.819255
2025-03-31,104.134,122.301,4.64568,4.80649,-0.0274437,18.1677,0.819255
2025-04-01,104.501,123.163,4.64919,4.81351,-0.0233041,18.6625,0.819255
2025-04-02,105.205,122.876,4.65591,4.81118,-0.0311396,17.6713,0.819255
2025-04-03,94.4462,106.157,4.54803,4.66492,-0.0890165,11.7108,0.819255
2025-04-04,85.5618,97.8669,4.44924,4.58361,-0.089392,12.3051,0.819255
