Date,EOG Raw Price,WMB Raw Price,EOG Log Price,WMB Log Price,Residual,Spread,Beta
2025-04-11,107.555,55.9207,4.67801,4.02393,-0.0348363,51.6347,-0.111397
2025-04-14,106.664,56.8826,4.66968,4.04099,-0.0187085,49.7809,-0.111397
2025-04-15,106.505,58.0528,4.66819,4.06135,0.00148895,48.4522,-0.111397
2025-04-16,108.24,57.7751,4.68435,4.05656,-0.00150556,50.4649,-0.111397
2025-04-17,110.5,58.1321,4.70502,4.06272,0.00695656,52.3679,-0.111397
2025-04-21,109.11,55.9703,4.69236,4.02482,-0.0323514,53.1397,-0.111397
2025-04-22,111.32,57.7156,4.71241,4.05553,0.000589589,53.6044,-0.111397
2025-04-23,111.57,57.9933,4.71465,4.06033,0.00563898,53.5767,-0.111397
2025-04-24,113.46,59.1139,4.73145,4.07947,0.0266487,54.3461,-0.111397
2025-04-25,113.07,58.5387,4.72801,4.06969,0.0164876,54.5313,-0.111397
2025-04-28,114.14,59.1635,4.73743,4.0803,0.0281528,54.9765,-0.111397
2025-04-29,112.93,59.1734,4.72677,4.08047,0.0271331,53.7566,-0.111397
2025-04-30,110.33,58.0826,4.70348,4.06187,0.00593174,52.2474,-0.111397
2025-05-01,111.68,58.3106,4.71564,4.06578,0.0112057,53.3694,-0.111397
2025-05-02,110.86,59.5007,4.70827,4.08599,0.0305875,51.3593,-0.111397
2025-05-05,108.52,59.6693,4.68693,4.08882,0.0310404,48.8507,-0.111397
2025-05-06,108.72,58.2115,4.68878,4.06408,0.00651136,50.5085,-0.111397
2025-05-07,107.97,58.4495,4.68185,4.06816,0.00982042,49.5205,-0.111397
2025-05-08,109.71,56.5851,4.69784,4.03575,-0.0208153,53.1249,-0.111397
2025-05-09,111.12,57.1801,4.71061,4.04621,-0.00893234,53.9399,-0.111397
2025-05-12,114.06,56.6546,4.73672,4.03697,-0.0152577,57.4054,-0.111397
2025-05-13,116.65,57.5867,4.75918,4.05329,0.00356334,59.0633,-0.111397
2025-05-14,115.59,57.7156,4.75005,4.05553,0.00478261,57.8744,-0.111397
2025-05-15,115.86,58.2809,4.75238,4.06527,0.0147887,57.5791,-0.111397
2025-05-16,115.5,58.3007,4.74927,4.06561,0.0147823,57.1993,-0.111397
2025-05-19,113.95,58.0528,4.73576,4.06135,0.00901577,55.8972,-0.111397
2025-05-20,112.58,58.2809,4.72366,4.06527,0.0115896,54.2991,-0.111397
2025-05-21,111.38,57.4479,4.71295,4.05088,-0.00400037,53.9321,-0.111397
2025-05-22,110.79,57.2694,4.70764,4.04777,-0.00770404,53.5206,-0.111397
2025-05-23,110.18,58.4991,4.70212,4.06901,0.0129256,51.6809,-0.111397
2025-05-27,111.23,59.5998,4.7116,4.08765,0.0326239,51.6302,-0.111397
2025-05-28,110.45,60.1155,4.70456,4.09627,0.0404551,50.3345,-0.111397
2025-05-29,109.88,59.7684,4.69939,4.09048,0.0340883,50.1116,-0.111397
2025-05-30,108.57,60.0064,4.6874,4.09445,0.0367264,48.5636,-0.111397
2025-06-02,111.34,60.7601,4.71259,4.10693,0.0520146,50.5799,-0.111397
2025-06-03,112.82,60.6014,4.72579,4.10432,0.0508708,52.2186,-0.111397
2025-06-04,110.77,59.6197,4.70746,4.08799,0.0324951,51.1503,-0.111397
2025-06-05,111.03,60.056,4.7098,4.09528,0.0400483,50.974,-0.111397
2025-06-06,114.05,60.056,4.73664,4.09528,0.0430378,53.994,-0.111397
2025-06-09,114.33,59.1635,4.73909,4.0803,0.0283381,55.1665,-0.111397
2025-06-10,117.88,58.4693,4.76967,4.0685,0.0199418,59.4107,-0.111397
2025-06-11,119.92,58.9255,4.78682,4.07627,0.0296248,60.9945,-0.111397
2025-06-12,120.59,59.58,4.7924,4.08732,0.0412916,61.01,-0.111397
2025-06-13,125.28,59.78,4.83055,4.09067,0.0488931,65.5,-0.111397
