Date,EOG Raw Price,WMB Raw Price,EOG Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,122.706,54.9218,4.80979,4.00591,-0.038181,67.7841,-0.111397
2025-01-03,124.536,55.6294,4.82459,4.01871,-0.0237295,68.9066,-0.111397
2025-01-06,124.359,54.853,4.82317,4.00466,-0.0379439,69.5059,-0.111397
2025-01-07,125.51,54.5974,4.83239,3.99999,-0.041587,70.9127,-0.111397
2025-01-08,126.396,55.423,4.83942,4.01499,-0.0257955,70.9726,-0.111397
2025-01-10,129.298,54.5679,4.86212,3.99945,-0.0388148,74.7303,-0.111397
2025-01-13,132.329,55.0692,4.88529,4.00859,-0.0270901,77.2595,-0.111397
2025-01-14,133.588,57.0644,4.89476,4.04418,0.00955484,76.5238,-0.111397
2025-01-15,134.857,57.0152,4.90422,4.04332,0.00974665,77.8422,-0.111397
2025-01-16,135.832,58.1652,4.91142,4.06329,0.0305167,77.6664,-0.111397
2025-01-17,135.341,58.1259,4.9078,4.06261,0.0294376,77.2152,-0.111397
2025-01-21,134.806,59.5903,4.90384,4.08749,0.0538785,75.2156,-0.111397
2025-01-22,132.804,58.1848,4.88888,4.06362,0.0283438,74.6194,-0.111397
2025-01-23,132.765,58.4699,4.88858,4.06851,0.0331972,74.2947,-0.111397
2025-01-24,130.624,58.5485,4.87232,4.06986,0.0327306,72.0757,-0.111397
2025-01-27,130.763,53.6146,4.87339,3.98182,-0.0551855,77.1484,-0.111397
2025-01-28,129.068,54.2534,4.86034,3.99367,-0.0447933,74.815,-0.111397
2025-01-29,129.049,54.3812,4.86019,3.99602,-0.0424581,74.6674,-0.111397
2025-01-30,128.603,55.6196,4.85673,4.01854,-0.0203266,72.9831,-0.111397
2025-01-31,124.649,54.4795,4.8255,3.99782,-0.0445166,70.1694,-0.111397
2025-02-03,125.253,55.2363,4.83034,4.01162,-0.0301818,70.0171,-0.111397
2025-02-04,126.958,54.7645,4.84385,4.00304,-0.0372538,72.1932,-0.111397
2025-02-05,126.542,55.8751,4.84057,4.02312,-0.0175426,70.6664,-0.111397
2025-02-06,125.531,55.0495,4.83255,4.00823,-0.0333219,70.4813,-0.111397
2025-02-07,125.352,54.9807,4.83113,4.00698,-0.0347308,70.3717,-0.111397
2025-02-10,129.376,55.2068,4.86272,4.01109,-0.0271087,74.1688,-0.111397
2025-02-11,131.09,54.2927,4.87588,3.99439,-0.0423377,76.7972,-0.111397
2025-02-12,127.671,53.8799,4.84946,3.98676,-0.0529136,73.7913,-0.111397
2025-02-13,127.85,56.4747,4.85085,4.03379,-0.00572416,71.3749,-0.111397
2025-02-14,128.137,56.0029,4.8531,4.0254,-0.0138628,72.1341,-0.111397
2025-02-18,129.752,56.8088,4.86563,4.03969,0.00182105,72.9433,-0.111397
2025-02-19,133.31,57.2708,4.89267,4.04779,0.0129328,76.0388,-0.111397
2025-02-20,134.439,57.4477,4.90111,4.05087,0.0169571,76.9916,-0.111397
2025-02-21,131.873,56.455,4.88184,4.03344,-0.00262089,75.4178,-0.111397
2025-02-24,132.418,56.3469,4.88596,4.03153,-0.00407824,76.0709,-0.111397
2025-02-25,130.129,55.2166,4.86852,4.01126,-0.026284,74.9121,-0.111397
2025-02-26,128.662,55.9243,4.85719,4.024,-0.0148121,72.7379,-0.111397
2025-02-27,129.425,55.2952,4.8631,4.01269,-0.025465,74.1299,-0.111397
2025-02-28,125.788,57.1823,4.8346,4.04624,0.00491798,68.6061,-0.111397
2025-03-03,119.447,56.6123,4.78287,4.03623,-0.010864,62.8343,-0.111397
2025-03-04,121.002,55.826,4.79581,4.02224,-0.0234087,65.1763,-0.111397
2025-03-05,120.745,55.2559,4.79368,4.01198,-0.0339099,65.4887,-0.111397
2025-03-06,121.082,53.6735,4.79646,3.98292,-0.062655,67.408,-0.111397
2025-03-07,124.124,53.4475,4.82128,3.9787,-0.0641114,70.6762,-0.111397
2025-03-10,124.748,53.0937,4.8263,3.97206,-0.0701947,71.6543,-0.111397
2025-03-11,123.361,54.0077,4.81511,3.98913,-0.0543711,69.353,-0.111397
2025-03-12,123.143,55.3346,4.81334,4.0134,-0.0302972,67.8081,-0.111397
2025-03-13,119.992,55.2166,4.78742,4.01126,-0.0353186,64.7749,-0.111397
2025-03-14,122.796,56.7934,4.81052,4.03942,-0.00458924,66.0025,-0.111397
2025-03-17,122.459,57.9041,4.80778,4.05879,0.0144724,64.5549,-0.111397
2025-03-18,121.458,57.914,4.79957,4.05896,0.0137295,63.5441,-0.111397
2025-03-19,123.807,58.8263,4.81872,4.07459,0.0314935,64.9803,-0.111397
2025-03-20,123.172,59.2527,4.81359,4.08181,0.0381441,63.9197,-0.111397
2025-03-21,124.035,59.104,4.82056,4.0793,0.0364074,64.9305,-0.111397
2025-03-24,127.106,60.5816,4.84502,4.10399,0.0638254,66.5248,-0.111397
2025-03-25,126.224,60.4031,4.83806,4.10104,0.0600989,65.8214,-0.111397
2025-03-26,128.008,59.4511,4.85209,4.08515,0.0457756,68.557,-0.111397
2025-03-27,125.58,58.9354,4.83295,4.07644,0.0349308,66.645,-0.111397
2025-03-28,125.442,58.6974,4.83184,4.0724,0.0307611,66.7442,-0.111397
2025-03-31,127.077,59.2627,4.84479,4.08198,0.0417876,67.814,-0.111397
2025-04-01,128.127,60.0659,4.85302,4.09544,0.0561678,68.0611,-0.111397
2025-04-02,128.791,61.0873,4.85819,4.1123,0.0736057,67.7036,-0.111397
2025-04-03,118.802,58.5387,4.77746,4.06969,0.0219967,60.2637,-0.111397
2025-04-04,109.547,54.1159,4.69636,3.99113,-0.0655998,55.4313,-0.111397
2025-04-07,108.041,54.3935,4.68251,3.99625,-0.0620242,53.6474,-0.111397
2025-04-08,104.008,53.8779,4.64447,3.98672,-0.0757877,50.13,-0.111397
2025-04-09,113.015,55.9505,4.72752,4.02447,-0.0287883,57.0649,-0.111397
2025-04-10,103.661,54.6117,4.64113,4.00025,-0.0626313,49.0493,-0.111397
