Date,VLO Raw Price,MTDR Raw Price,VLO Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,121.125,57.3103,4.79682,4.04848,0.226736,63.8144,1.49996
2025-01-03,122.216,58.2872,4.80579,4.06538,0.230179,63.9293,1.49996
2025-01-06,120.112,57.5767,4.78842,4.05312,0.243972,62.535,1.49996
2025-01-07,121.951,58.9286,4.80362,4.07633,0.244386,63.0224,1.49996
2025-01-08,123.131,59.2838,4.81325,4.08234,0.235949,63.8474,1.49996
2025-01-10,125.059,60.4383,4.82879,4.10162,0.231934,64.6207,1.49996
2025-01-13,131.157,61.1389,4.8764,4.11315,0.172046,70.0181,1.49996
2025-01-14,131.855,61.8987,4.88171,4.1255,0.176432,69.9566,1.49996
2025-01-15,135.642,62.7769,4.91002,4.13959,0.148051,72.8651,1.49996
2025-01-16,137.078,62.5401,4.92055,4.13581,0.128475,74.5379,1.49996
2025-01-17,138.73,62.9249,4.93253,4.14194,0.116637,75.8055,1.49996
2025-01-21,137.235,61.8888,4.9217,4.12534,0.116286,75.3466,1.49996
2025-01-22,132.859,62.2046,4.88928,4.13043,0.169993,70.654,1.49996
2025-01-23,138.396,61.3757,4.93012,4.11701,0.0953293,77.0202,1.49996
2025-01-24,137.334,60.31,4.92241,4.0995,0.0893704,77.0237,1.49996
2025-01-27,138.986,58.8102,4.93437,4.07431,0.0462474,80.1759,1.49996
2025-01-28,135.858,59.4811,4.91161,4.08566,0.0917324,76.3772,1.49996
2025-01-29,137.186,59.4614,4.92134,4.08533,0.0768121,77.7248,1.49996
2025-01-30,134.281,58.751,4.89993,4.07331,0.0968995,75.5299,1.49996
2025-01-31,131.881,57.2314,4.8819,4.0471,0.097741,74.6498,1.49996
2025-02-03,135.034,56.7775,4.90553,4.03914,0.0543371,78.257,1.49996
2025-02-04,141.787,57.5965,4.95433,4.05346,-0.00453501,84.1907,1.49996
2025-02-05,139.358,57.2018,4.93704,4.04658,0.0145118,82.156,1.49996
2025-02-06,133.16,55.7216,4.89155,4.02037,0.0565295,77.4387,1.49996
2025-02-07,131.961,55.9289,4.8825,4.02408,0.0738176,76.0317,1.49996
2025-02-10,135.659,58.4747,4.91015,4.06859,0.076868,77.1845,1.49996
2025-02-11,135.738,58.5832,4.91073,4.07045,0.0778457,77.1553,1.49996
2025-02-12,129.809,55.6723,4.86606,4.01948,0.0938796,74.1365,1.49996
2025-02-13,129.888,56.363,4.86667,4.03181,0.105294,73.5251,1.49996
2025-02-14,134.172,56.4321,4.89912,4.03304,0.057849,77.7397,1.49996
2025-02-18,137.028,57.034,4.92018,4.04365,0.036868,79.9935,1.49996
2025-02-19,135.996,55.8795,4.91263,4.0232,0.0277493,80.1168,1.49996
2025-02-20,137.97,55.7315,4.92703,4.02055,0.00348948,82.238,1.49996
2025-02-21,133.607,52.4062,4.8949,3.95902,-0.00983292,81.2004,1.49996
2025-02-24,133.924,52.6923,4.89727,3.96447,-0.00794542,81.2315,1.49996
2025-02-25,132.536,51.7648,4.88685,3.94671,-0.010076,80.7709,1.49996
2025-02-26,129.065,51.4392,4.86032,3.9404,0.0234148,77.6259,1.49996
2025-02-27,128.54,51.8141,4.85624,3.94766,0.0367979,76.7254,1.49996
2025-02-28,129.63,51.9561,4.86469,3.9504,0.0268594,77.6742,1.49996
2025-03-03,127.32,47.3898,4.8467,3.85841,-0.038157,79.9301,1.49996
2025-03-04,126.537,46.0894,4.84053,3.83058,-0.0567237,80.4471,1.49996
2025-03-05,120.736,45.3846,4.7936,3.81517,-0.00174551,75.3511,1.49996
2025-03-06,124.94,44.4614,4.82783,3.79462,-0.0736399,80.4786,1.49996
2025-03-07,125.783,44.9379,4.83456,3.80528,-0.0730651,80.845,1.49996
2025-03-10,125.733,44.6898,4.83416,3.79974,-0.0780115,81.0436,1.49996
2025-03-11,121.995,46.6552,4.80398,3.84279,0.0103022,75.3398,1.49996
2025-03-12,124.127,47.9258,4.8213,3.86965,0.011186,76.2011,1.49996
2025-03-13,124.742,46.5858,4.82625,3.84129,-0.024585,78.156,1.49996
2025-03-14,128.054,48.2634,4.85245,3.87667,-0.0285116,79.7903,1.49996
2025-03-17,131.832,49.9906,4.88153,3.91183,-0.036962,81.841,1.49996
2025-03-18,130.919,50.1891,4.87458,3.9158,-0.0225828,80.7302,1.49996
2025-03-19,132.714,52.234,4.8882,3.95573,-0.0030705,80.4801,1.49996
2025-03-20,133.696,51.9263,4.89557,3.94983,-0.0200335,81.7695,1.49996
2025-03-21,130.404,51.1322,4.87064,3.93441,0.00195154,79.2716,1.49996
2025-03-24,130.84,52.5814,4.87398,3.96236,0.0248913,78.2586,1.49996
2025-03-25,130.89,51.9362,4.87435,3.95002,0.0119759,78.9534,1.49996
2025-03-26,133.388,51.8568,4.89327,3.94849,-0.01792,81.5316,1.49996
2025-03-27,132.109,51.1222,4.88363,3.93422,-0.0177331,80.987,1.49996
2025-03-28,130.374,50.1395,4.87041,3.91481,-0.0173108,80.2345,1.49996
2025-03-31,130.959,50.7152,4.87488,3.92623,-0.0126093,80.2438,1.49996
2025-04-01,132.615,50.7351,4.88745,3.92662,-0.0310657,81.8799,1.49996
2025-04-02,132.496,51.8469,4.88655,3.94829,-0.00804224,80.6491,1.49996
2025-04-03,113.329,44.2431,4.73029,3.7897,0.0677459,69.0855,1.49996
2025-04-04,103.809,38.0985,4.64256,3.64017,0.0498208,65.7109,1.49996
2025-04-07,105.773,38.0488,4.66129,3.63887,0.0204136,67.7238,1.49996
2025-04-08,104.295,36.401,4.64723,3.5946,-0.00276093,67.8942,1.49996
2025-04-09,114.925,42.1882,4.74428,3.74214,-0.00079325,72.7368,1.49996
2025-04-10,108.093,37.5624,4.68299,3.626,-0.0250011,70.5306,1.49996
2025-04-11,109.769,39.1209,4.69838,3.66666,-0.0074239,70.6479,1.49996
2025-04-14,109.402,38.9422,4.69503,3.66208,-0.00698002,70.4597,1.49996
2025-04-15,106.645,38.6643,4.66951,3.65492,0.0241359,67.981,1.49996
2025-04-16,106.229,39.8356,4.6656,3.68476,0.0598504,66.3932,1.49996
2025-04-17,109.134,41.1658,4.69258,3.71761,0.0522237,67.9684,1.49996
2025-04-21,107.924,39.7364,4.68143,3.68227,0.0336022,68.1881,1.49996
2025-04-22,111.514,40.7191,4.71415,3.7067,0.00895634,70.7949,1.49996
2025-04-23,113.537,40.5404,4.73213,3.7023,-0.0224065,72.9964,1.49996
2025-04-24,112.406,40.4511,4.72212,3.70009,-0.00960379,71.9553,1.49996
2025-04-25,112.912,40.7687,4.72661,3.70792,-0.00851481,72.1434,1.49996
2025-04-28,113.785,41.2353,4.73431,3.71929,-0.00868306,72.5494,1.49996
2025-04-29,114.548,40.7191,4.741,3.7067,-0.0313115,73.8291,1.49996
2025-04-30,115.113,39.25,4.74592,3.66995,-0.0754414,75.8635,1.49996
