Date,XOM Raw Price,VLO Raw Price,XOM Log Price,VLO Log Price,Residual,Spread,Beta
2025-02-10,108.982,135.659,4.69119,4.91015,0.0557936,26.6767,1.03549
2025-02-11,109.67,135.738,4.69748,4.91073,0.0498668,26.0685,1.03549
2025-02-12,106.37,129.809,4.66693,4.86606,0.0368323,23.4385,1.03549
2025-02-13,107.143,129.888,4.67417,4.86667,0.0299466,22.7449,1.03549
2025-02-14,107.252,134.172,4.67518,4.89912,0.061341,26.9196,1.03549
2025-02-18,109.135,137.028,4.69258,4.92018,0.0643832,27.8927,1.03549
2025-02-19,109.293,135.996,4.69404,4.91263,0.0553257,26.7029,1.03549
2025-02-20,110.978,137.97,4.70933,4.92703,0.0538933,26.9917,1.03549
2025-02-21,109.68,133.607,4.69757,4.8949,0.0339426,23.9267,1.03549
2025-02-24,110.255,133.924,4.70279,4.89727,0.0309031,23.6693,1.03549
2025-02-25,108.729,132.536,4.68885,4.88685,0.0349148,23.8071,1.03549
2025-02-26,108.461,129.065,4.68639,4.86032,0.0109311,20.604,1.03549
2025-02-27,109.145,128.54,4.69268,4.85624,0.000343838,19.3948,1.03549
2025-02-28,110.314,129.63,4.70333,4.86469,-0.00224017,19.3163,1.03549
2025-03-03,106.777,127.32,4.67074,4.8467,0.0135251,20.5433,1.03549
2025-03-04,106.559,126.537,4.66869,4.84053,0.00946974,19.978,1.03549
2025-03-05,104.478,120.736,4.64897,4.7936,-0.0170363,16.258,1.03549
2025-03-06,106.638,124.94,4.66944,4.82783,-0.00399713,18.3022,1.03549
2025-03-07,108.025,125.783,4.68236,4.83456,-0.0106573,17.7579,1.03549
2025-03-10,110.78,125.733,4.70754,4.83416,-0.0371256,14.9536,1.03549
2025-03-11,108.164,121.995,4.68365,4.80398,-0.0425633,13.8313,1.03549
2025-03-12,108.134,124.127,4.68337,4.8213,-0.0249542,15.9929,1.03549
2025-03-13,107.678,124.742,4.67915,4.82625,-0.0156395,17.0635,1.03549
2025-03-14,110.879,128.054,4.70844,4.85245,-0.0197652,17.1749,1.03549
2025-03-17,112.722,131.832,4.72492,4.88153,-0.00775986,19.1098,1.03549
2025-03-18,112.603,130.919,4.72387,4.87458,-0.0136109,18.3164,1.03549
2025-03-19,114.357,132.714,4.73932,4.8882,-0.0159991,18.3574,1.03549
2025-03-20,114.842,133.696,4.74356,4.89557,-0.0130164,18.8535,1.03549
2025-03-21,114.446,130.404,4.7401,4.87064,-0.0343684,15.9578,1.03549
2025-03-24,114.743,130.84,4.7427,4.87398,-0.0337144,16.0968,1.03549
2025-03-25,115.526,130.89,4.7495,4.87435,-0.0403756,15.3636,1.03549
2025-03-26,117.191,133.388,4.7638,4.89327,-0.0362791,16.1978,1.03549
2025-03-27,116.814,132.109,4.76058,4.88363,-0.0425827,15.2951,1.03549
2025-03-28,116.656,130.374,4.75923,4.87041,-0.0543988,13.7184,1.03549
2025-03-31,117.845,130.959,4.76937,4.87488,-0.0604224,13.1144,1.03549
2025-04-01,117.954,132.615,4.77029,4.88745,-0.0488142,14.6613,1.03549
2025-04-02,117.587,132.496,4.76718,4.88655,-0.0464883,14.909,1.03549
2025-04-03,111.404,113.329,4.71316,4.73029,-0.146816,1.92463,1.03549
2025-04-04,103.388,103.809,4.63849,4.64256,-0.157225,0.421555,1.03549
2025-04-07,102.001,105.773,4.62498,4.66129,-0.124501,3.77212,1.03549
2025-04-08,99.8504,104.295,4.60367,4.64723,-0.116506,4.44485,1.03549
2025-04-09,104.834,114.925,4.65238,4.74428,-0.0698899,10.0906,1.03549
2025-04-10,99.018,108.093,4.5953,4.68299,-0.0720714,9.07497,1.03549
2025-04-11,102.199,109.769,4.62692,4.69838,-0.0894268,7.57005,1.03549
2025-04-14,102.446,109.402,4.62934,4.69503,-0.0952816,6.95544,1.03549
2025-04-15,102.159,106.645,4.62653,4.66951,-0.117893,4.48618,1.03549
2025-04-16,103.239,106.229,4.63705,4.6656,-0.132696,2.98965,1.03549
2025-04-17,105.944,109.134,4.66291,4.69258,-0.132496,3.18993,1.03549
2025-04-21,104.389,107.924,4.64812,4.68143,-0.128325,3.53587,1.03549
2025-04-22,107.312,111.514,4.67574,4.71415,-0.124204,4.20232,1.03549
2025-04-23,106.39,113.537,4.66711,4.73213,-0.097296,7.14668,1.03549
2025-04-24,107.639,112.406,4.67878,4.72212,-0.119383,4.76778,1.03549
2025-04-25,107.579,112.912,4.67823,4.72661,-0.114322,5.33294,1.03549
2025-04-28,107.639,113.785,4.67878,4.73431,-0.107196,6.14608,1.03549
2025-04-29,107.371,114.548,4.67629,4.741,-0.0979311,7.17713,1.03549
2025-04-30,104.666,115.113,4.65077,4.74592,-0.0665867,10.4474,1.03549
2025-05-01,104.815,113.914,4.65219,4.73544,-0.0785338,9.09898,1.03549
2025-05-02,105.241,117.93,4.65625,4.77009,-0.0480876,12.6888,1.03549
2025-05-05,102.328,118.336,4.62818,4.77353,-0.0155784,16.0085,1.03549
2025-05-06,103.754,116.016,4.64203,4.75373,-0.0497202,12.2614,1.03549
2025-05-07,103.655,115.966,4.64107,4.7533,-0.0491583,12.3109,1.03549
2025-05-08,105.102,120.706,4.65493,4.79336,-0.0234513,15.604,1.03549
2025-05-09,106.331,121.896,4.66655,4.80317,-0.0256769,15.5652,1.03549
2025-05-12,108.164,129.392,4.68365,4.86285,0.016305,21.2285,1.03549
2025-05-13,108.461,133.973,4.68639,4.89764,0.0482558,25.5124,1.03549
2025-05-14,107.49,133.19,4.6774,4.89178,0.0517042,25.7001,1.03549
2025-05-15,108.58,134.231,4.68749,4.89956,0.0490433,25.6512,1.03549
2025-05-16,108.19,134.598,4.68389,4.90229,0.0554989,26.4081,1.03549
2025-05-19,106.47,133.2,4.66786,4.89185,0.0616516,26.73,1.03549
2025-05-20,104.95,132.21,4.65348,4.88439,0.0690811,27.26,1.03549
2025-05-21,103.66,127.8,4.64112,4.85047,0.0479627,24.14,1.03549
2025-05-22,102.97,128.72,4.63444,4.85764,0.0620513,25.75,1.03549
2025-05-23,103.03,128.55,4.63502,4.85632,0.0601266,25.52,1.03549
2025-05-27,103.52,130.71,4.63976,4.87298,0.0718768,27.19,1.03549
2025-05-28,102.11,126.93,4.62605,4.84364,0.0567323,24.82,1.03549
2025-05-29,102.69,129.16,4.63171,4.86105,0.0682834,26.47,1.03549
2025-05-30,102.3,128.97,4.62791,4.85958,0.0707514,26.67,1.03549
2025-06-02,103.05,128.3,4.63521,4.85437,0.0579789,25.25,1.03549
2025-06-03,103.8,130.95,4.64247,4.87482,0.0709141,27.15,1.03549
2025-06-04,102.3,126.54,4.62791,4.84056,0.05173,24.24,1.03549
2025-06-05,101.83,126.88,4.6233,4.84324,0.0591816,25.05,1.03549
2025-06-06,104.27,128.35,4.64698,4.85476,0.0461815,24.08,1.03549
2025-06-09,104.97,128.26,4.65367,4.85406,0.0385515,23.29,1.03549
2025-06-10,107.22,131.93,4.67488,4.88227,0.0448025,24.71,1.03549
2025-06-11,109.31,134.06,4.69419,4.89829,0.0408283,24.75,1.03549
2025-06-12,109.73,133.5,4.69802,4.8941,0.0326712,23.77,1.03549
2025-06-13,112.12,134.11,4.71957,4.89866,0.0149184,21.99,1.03549
