Date,FANG Raw Price,KMI Raw Price,FANG Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,164.468,27.5159,5.10271,3.31476,-0.00974037,136.952,0.199824
2025-01-03,168.59,27.6725,5.12747,3.32044,-0.00901106,140.917,0.199824
2025-01-06,167.288,27.2418,5.11972,3.30475,-0.0231488,140.046,0.199824
2025-01-07,170.029,27.2222,5.13597,3.30403,-0.0271159,142.807,0.199824
2025-01-08,168.619,27.6921,5.12764,3.32115,-0.00833892,140.927,0.199824
2025-01-10,172.347,27.5648,5.14951,3.31654,-0.0173141,144.782,0.199824
2025-01-13,175.148,27.9172,5.16563,3.32924,-0.007832,147.23,0.199824
2025-01-14,175.217,28.5045,5.16602,3.35006,0.0129089,146.712,0.199824
2025-01-15,177.07,28.8178,5.17655,3.36099,0.0217347,148.253,0.199824
2025-01-16,176.637,29.4247,5.17409,3.38183,0.043066,147.212,0.199824
2025-01-17,177.682,29.6694,5.17999,3.39012,0.0501693,148.013,0.199824
2025-01-21,174.497,30.5601,5.16191,3.4197,0.0833652,143.937,0.199824
2025-01-22,175.128,30.1294,5.16552,3.4055,0.0684501,144.998,0.199824
2025-01-23,174.181,29.8358,5.1601,3.39571,0.0597387,144.345,0.199824
2025-01-24,170.858,29.6302,5.14083,3.38879,0.0566745,141.228,0.199824
2025-01-27,169.221,26.8796,5.1312,3.29137,-0.0388285,142.341,0.199824
2025-01-28,166.903,26.8796,5.11742,3.29137,-0.0360731,140.024,0.199824
2025-01-29,168.491,26.723,5.12688,3.28552,-0.0438087,141.768,0.199824
2025-01-30,168.047,27.5061,5.12425,3.31441,-0.0143987,140.541,0.199824
2025-01-31,162.081,26.8992,5.0881,3.2921,-0.0294866,135.182,0.199824
2025-02-03,162.2,27.283,5.08883,3.30626,-0.0154643,134.917,0.199824
2025-02-04,163.994,27.2039,5.09983,3.30336,-0.0205682,136.79,0.199824
2025-02-05,162.476,27.3424,5.09053,3.30844,-0.0136311,135.133,0.199824
2025-02-06,157.811,26.4916,5.0614,3.27683,-0.0394192,131.32,0.199824
2025-02-07,155.938,26.7488,5.04946,3.28649,-0.0273706,129.189,0.199824
2025-02-10,159.419,26.7785,5.07153,3.2876,-0.0306735,132.64,0.199824
2025-02-11,159.764,26.5015,5.0737,3.2772,-0.041503,133.262,0.199824
2025-02-12,153.305,25.997,5.03243,3.25798,-0.0524768,127.308,0.199824
2025-02-13,154.005,26.274,5.03698,3.26858,-0.0427893,127.731,0.199824
2025-02-14,154.813,26.2641,5.04222,3.2682,-0.0442124,128.549,0.199824
2025-02-18,154.587,26.462,5.04075,3.27571,-0.0364146,128.125,0.199824
