Date,FANG Raw Price,KMI Raw Price,FANG Log Price,KMI Log Price,Residual,Spread,Beta
2025-02-19,158.038,26.6004,5.06284,3.28093,-0.0356071,131.438,0.199824
2025-02-20,159.843,26.3037,5.07419,3.26971,-0.0490951,133.539,0.199824
2025-02-21,153.955,26.1256,5.03666,3.26292,-0.0483889,127.83,0.199824
2025-02-24,153.078,26.185,5.03095,3.26519,-0.0449772,126.893,0.199824
2025-02-25,149.814,25.819,5.00939,3.25111,-0.0547469,123.995,0.199824
2025-02-26,150.317,25.8882,5.01274,3.25379,-0.0527382,124.428,0.199824
2025-02-27,153.433,25.9278,5.03326,3.25531,-0.0553111,127.505,0.199824
2025-02-28,156.756,26.8082,5.05469,3.28871,-0.0262002,129.948,0.199824
2025-03-03,145.948,26.8478,4.98325,3.29018,-0.0104498,119.1,0.199824
2025-03-04,143.029,26.6994,4.96305,3.28464,-0.011955,116.33,0.199824
2025-03-05,140.722,26.4422,4.94678,3.27496,-0.0183848,114.279,0.199824
2025-03-06,138.934,26.0267,4.934,3.25912,-0.0316676,112.907,0.199824
2025-03-07,139.143,25.8585,4.9355,3.25264,-0.0384497,113.284,0.199824
2025-03-10,139.609,25.8585,4.93885,3.25264,-0.0391189,113.751,0.199824
2025-03-11,143.651,26.1256,4.96739,3.26292,-0.0345459,117.526,0.199824
2025-03-12,145.538,26.2344,4.98044,3.26707,-0.0329971,119.304,0.199824
2025-03-13,144.793,26.2542,4.97531,3.26783,-0.031218,118.539,0.199824
2025-03-14,149.163,26.8082,5.00504,3.28871,-0.0162785,122.355,0.199824
2025-03-17,151.973,27.4908,5.0237,3.31385,0.00513412,124.483,0.199824
2025-03-18,153.93,27.2237,5.0365,3.30409,-0.00718513,126.706,0.199824
2025-03-19,156.512,27.5501,5.05313,3.31601,0.00141074,128.962,0.199824
2025-03-20,157.386,27.7578,5.0587,3.32352,0.00781019,129.628,0.199824
2025-03-21,157.406,27.6292,5.05883,3.31887,0.00314131,129.776,0.199824
2025-03-24,159.898,28.4008,5.07454,3.34642,0.0275457,131.497,0.199824
2025-03-25,160.484,28.5196,5.0782,3.35059,0.0309859,131.965,0.199824
2025-03-26,161.964,28.1733,5.08737,3.33838,0.0169374,133.791,0.199824
2025-03-27,159.124,27.926,5.06968,3.32956,0.0116559,131.198,0.199824
2025-03-28,156.452,28.0645,5.05275,3.33451,0.0199862,128.388,0.199824
2025-03-31,158.776,28.2228,5.06749,3.34013,0.0226638,130.553,0.199824
2025-04-01,159.759,28.3217,5.07367,3.34363,0.0249292,131.437,0.199824
2025-04-02,160.375,28.6086,5.07751,3.35371,0.0342388,131.766,0.199824
2025-04-03,140.304,27.4215,4.94381,3.31133,0.018576,112.883,0.199824
2025-04-04,122.518,25.0177,4.80826,3.21958,-0.0460817,97.5004,0.199824
2025-04-07,123.67,25.0968,4.81762,3.22274,-0.0447935,98.5733,0.199824
2025-04-08,118.427,24.9385,4.77429,3.21641,-0.0424628,93.488,0.199824
2025-04-09,133.998,25.9673,4.89783,3.25684,-0.0267227,108.031,0.199824
2025-04-10,122.31,25.5123,4.80656,3.23916,-0.0261635,96.7973,0.199824
2025-04-11,128.119,26.185,4.85296,3.26519,-0.00941132,101.934,0.199824
2025-04-14,126.759,26.5114,4.84228,3.27758,0.00511188,100.247,0.199824
2025-04-15,126.262,26.9269,4.83836,3.29313,0.0214463,99.3352,0.199824
2025-04-16,129.321,26.6598,4.8623,3.28316,0.00669454,102.661,0.199824
2025-04-17,136.69,26.8082,4.91771,3.28871,0.00117143,109.881,0.199824
2025-04-21,131.436,25.5123,4.87852,3.23916,-0.040544,105.924,0.199824
2025-04-22,135.597,26.3136,4.90969,3.27008,-0.0158477,109.284,0.199824
2025-04-23,134.604,26.3136,4.90234,3.27008,-0.0143788,108.29,0.199824
2025-04-24,135.22,26.5807,4.9069,3.28018,-0.00519155,108.639,0.199824
2025-04-25,135.816,26.5609,4.9113,3.27944,-0.00681475,109.255,0.199824
2025-04-28,136.868,26.7785,4.91902,3.2876,-0.00019735,110.09,0.199824
2025-04-29,135.706,26.917,4.91049,3.29276,0.00666468,108.789,0.199824
2025-04-30,131.098,26.3,4.87595,3.26957,-0.00962141,104.798,0.199824
2025-05-01,133.899,26.3,4.89709,3.26957,-0.0138451,107.599,0.199824
2025-05-02,135.865,26.83,4.91166,3.28952,0.00319352,109.035,0.199824
2025-05-05,132.161,26.87,4.88402,3.29101,0.010207,105.291,0.199824
2025-05-06,131.069,27.21,4.87572,3.30358,0.0244396,103.859,0.199824
2025-05-07,128.675,27.62,4.85729,3.31854,0.0430778,101.055,0.199824
2025-05-08,135.24,27.04,4.90705,3.29732,0.0119125,108.2,0.199824
2025-05-09,136.938,27.31,4.91953,3.30725,0.0193545,109.628,0.199824
2025-05-12,141.933,27.31,4.95536,3.30725,0.0121951,114.623,0.199824
2025-05-13,145.161,27.5,4.97784,3.31419,0.014635,117.661,0.199824
2025-05-14,143.82,27.46,4.96856,3.31273,0.0150335,116.36,0.199824
2025-05-15,141.95,28,4.95547,3.3322,0.0371229,113.95,0.199824
2025-05-16,141.13,28.09,4.94968,3.33541,0.0414897,113.04,0.199824
2025-05-19,139.35,28,4.93699,3.3322,0.0408169,111.35,0.199824
2025-05-20,138.35,27.98,4.92979,3.33149,0.0415414,110.37,0.199824
2025-05-21,136.31,27.47,4.91493,3.31309,0.0261144,108.84,0.199824
2025-05-22,136.29,27.34,4.91478,3.30835,0.0214001,108.95,0.199824
2025-05-23,135.86,27.86,4.91162,3.32719,0.0408727,108,0.199824
2025-05-27,137.49,28.19,4.92355,3.33897,0.0502648,109.3,0.199824
2025-05-28,136.28,27.95,4.91471,3.33042,0.0434811,108.33,0.199824
2025-05-29,137.81,27.92,4.92588,3.32934,0.0401763,109.89,0.199824
2025-05-30,134.55,28.04,4.90194,3.33363,0.0492489,106.51,0.199824
2025-06-02,137.59,28.65,4.92428,3.35515,0.0663057,108.94,0.199824
2025-06-03,142.28,28.56,4.9578,3.35201,0.0564615,113.72,0.199824
2025-06-04,139.35,28.03,4.93699,3.33328,0.0418877,111.32,0.199824
2025-06-05,137.45,28.24,4.92326,3.34074,0.0520951,109.21,0.199824
2025-06-06,140.56,28.14,4.94563,3.33719,0.0440768,112.42,0.199824
2025-06-09,142.13,27.53,4.95674,3.31528,0.0199415,114.6,0.199824
2025-06-10,145.57,27.38,4.98066,3.30981,0.00969914,118.19,0.199824
2025-06-11,148.92,27.52,5.00341,3.31491,0.010253,121.4,0.199824
2025-06-12,149.33,27.66,5.00616,3.31999,0.0147778,121.67,0.199824
2025-06-13,154.91,27.64,5.04284,3.31926,0.0067238,127.27,0.199824
