Date,FANG Raw Price,AR Raw Price,FANG Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,164.468,35.57,5.10271,3.5715,-0.099938,128.898,0.407076
2025-01-03,168.59,34.94,5.12747,3.55363,-0.127885,133.65,0.407076
2025-01-06,167.288,36.01,5.11972,3.5838,-0.0945654,131.278,0.407076
2025-01-07,170.029,36.68,5.13597,3.60223,-0.0827474,133.349,0.407076
2025-01-08,168.619,37.86,5.12764,3.6339,-0.0476936,130.759,0.407076
2025-01-10,172.347,38.32,5.14951,3.64597,-0.0445179,134.027,0.407076
2025-01-13,175.148,38.3,5.16563,3.64545,-0.0516017,136.848,0.407076
2025-01-14,175.217,38.59,5.16602,3.65299,-0.0442188,136.627,0.407076
2025-01-15,177.07,40.23,5.17655,3.69461,-0.00688359,136.84,0.407076
2025-01-16,176.637,40.57,5.17409,3.70303,0.00253104,136.067,0.407076
2025-01-17,177.682,40.46,5.17999,3.70031,-0.00258589,137.222,0.407076
2025-01-21,174.497,39.93,5.16191,3.68713,-0.00840813,134.567,0.407076
2025-01-22,175.128,40.74,5.16552,3.70721,0.0102047,134.388,0.407076
2025-01-23,174.181,40.55,5.1601,3.70254,0.00773651,133.631,0.407076
2025-01-24,170.858,40.15,5.14083,3.69262,0.00566508,130.708,0.407076
2025-01-27,169.221,36.35,5.1312,3.59319,-0.0898443,132.871,0.407076
2025-01-28,166.903,37.22,5.11742,3.61685,-0.0605788,129.683,0.407076
2025-01-29,168.491,37.35,5.12688,3.62033,-0.0609463,131.141,0.407076
2025-01-30,168.047,37.85,5.12425,3.63363,-0.0465747,130.197,0.407076
2025-01-31,162.081,37.32,5.0881,3.61953,-0.0459612,124.761,0.407076
2025-02-03,162.2,38.33,5.08883,3.64623,-0.0195547,123.87,0.407076
2025-02-04,163.994,38.73,5.09983,3.65661,-0.0136528,125.264,0.407076
2025-02-05,162.476,39.6,5.09053,3.67883,0.012349,122.876,0.407076
2025-02-06,157.811,38.3,5.0614,3.64545,-0.00917264,119.511,0.407076
2025-02-07,155.938,37.85,5.04946,3.63363,-0.0161296,118.088,0.407076
2025-02-10,159.419,40.02,5.07153,3.68938,0.0306315,119.399,0.407076
2025-02-11,159.764,40.02,5.0737,3.68938,0.0297511,119.744,0.407076
2025-02-12,153.305,39.38,5.03243,3.67326,0.0304297,113.925,0.407076
2025-02-13,154.005,40.15,5.03698,3.69262,0.0479392,113.855,0.407076
2025-02-14,154.813,39.84,5.04222,3.68487,0.0380563,114.973,0.407076
2025-02-18,154.587,39.74,5.04075,3.68236,0.03614,114.847,0.407076
2025-02-19,158.038,40.35,5.06284,3.69759,0.0423842,117.688,0.407076
2025-02-20,159.843,39.51,5.07419,3.67655,0.0167245,120.333,0.407076
2025-02-21,153.955,38.15,5.03666,3.64153,-0.00302714,115.805,0.407076
2025-02-24,153.078,37.9,5.03095,3.63495,-0.00727452,115.178,0.407076
2025-02-25,149.814,37.35,5.00939,3.62033,-0.0131187,112.464,0.407076
2025-02-26,150.317,37.04,5.01274,3.612,-0.0228175,113.277,0.407076
2025-02-27,153.433,35.58,5.03326,3.57178,-0.0713849,117.853,0.407076
2025-02-28,156.756,36.7,5.05469,3.60278,-0.0491148,120.056,0.407076
2025-03-03,145.948,36.15,4.98325,3.58768,-0.0351329,109.798,0.407076
2025-03-04,143.029,36.52,4.96305,3.59786,-0.0167258,106.509,0.407076
2025-03-05,140.722,36.38,4.94678,3.59402,-0.0139455,104.342,0.407076
2025-03-06,138.934,33.78,4.934,3.51987,-0.0828917,105.154,0.407076
2025-03-07,139.143,33.64,4.9355,3.51572,-0.0876554,105.503,0.407076
2025-03-10,139.609,34.69,4.93885,3.54645,-0.0582831,104.919,0.407076
2025-03-11,143.651,35.86,4.96739,3.57962,-0.03673,107.791,0.407076
2025-03-12,145.538,36.01,4.98044,3.5838,-0.0378681,109.528,0.407076
2025-03-13,144.793,36.37,4.97531,3.59374,-0.0258318,108.423,0.407076
2025-03-14,149.163,37.57,5.00504,3.62621,-0.00547337,111.593,0.407076
2025-03-17,151.973,38.9,5.0237,3.66099,0.0217165,113.073,0.407076
2025-03-18,153.93,39.87,5.0365,3.68562,0.0411394,114.06,0.407076
2025-03-19,156.512,41.02,5.05313,3.71406,0.0628032,115.492,0.407076
2025-03-20,157.386,40.97,5.0587,3.71284,0.0593169,116.416,0.407076
2025-03-21,157.406,40.77,5.05883,3.70795,0.054372,116.636,0.407076
2025-03-24,159.898,41.21,5.07454,3.71868,0.0587104,118.688,0.407076
2025-03-25,160.484,41.42,5.0782,3.72376,0.0623043,119.064,0.407076
2025-03-26,161.964,40.97,5.08737,3.71284,0.0476445,120.994,0.407076
2025-03-27,159.124,39.53,5.06968,3.67706,0.0190662,119.594,0.407076
2025-03-28,156.452,39.69,5.05275,3.6811,0.0299977,116.762,0.407076
2025-03-31,158.776,40.44,5.06749,3.69982,0.0427158,118.336,0.407076
2025-04-01,159.759,40.92,5.07367,3.71162,0.0520025,118.839,0.407076
2025-04-02,160.375,42,5.07751,3.73767,0.0764873,118.375,0.407076
2025-04-03,140.304,38.79,4.94381,3.65816,0.0514061,101.514,0.407076
2025-04-04,122.518,33.46,4.80826,3.51035,-0.0412242,89.0581,0.407076
2025-04-07,123.67,34.15,4.81762,3.53076,-0.024622,89.5201,0.407076
2025-04-08,118.427,32.24,4.77429,3.47321,-0.0645402,86.1866,0.407076
2025-04-09,133.998,34.89,4.89783,3.5522,-0.0358357,99.1083,0.407076
2025-04-10,122.31,31.92,4.80656,3.46323,-0.0876486,90.3896,0.407076
2025-04-11,128.119,33.1,4.85296,3.49953,-0.0702387,95.0192,0.407076
2025-04-14,126.759,33.23,4.84228,3.50345,-0.0619729,93.5286,0.407076
2025-04-15,126.262,33.1,4.83836,3.49953,-0.064295,93.1621,0.407076
2025-04-16,129.321,34.3,4.8623,3.53515,-0.0384269,95.0208,0.407076
2025-04-17,136.69,34.42,4.91771,3.53864,-0.0574931,102.27,0.407076
2025-04-21,131.436,32.06,4.87852,3.46761,-0.112568,99.3761,0.407076
