Date,FANG Raw Price,AR Raw Price,FANG Log Price,AR Log Price,Residual,Spread,Beta
2025-04-22,135.597,32.83,4.90969,3.49134,-0.101522,102.767,0.407076
2025-04-23,134.604,34.29,4.90234,3.53485,-0.0550183,100.314,0.407076
2025-04-24,135.22,34.54,4.9069,3.54212,-0.0496119,100.68,0.407076
2025-04-25,135.816,35.33,4.9113,3.56473,-0.0287873,100.486,0.407076
2025-04-28,136.868,35.93,4.91902,3.58157,-0.0150903,100.938,0.407076
2025-04-29,135.706,36.18,4.91049,3.58851,-0.00468579,99.5264,0.407076
2025-04-30,131.098,34.83,4.87595,3.55048,-0.0286506,96.2684,0.407076
2025-05-01,133.899,34.65,4.89709,3.5453,-0.0424364,99.249,0.407076
2025-05-02,135.865,35.76,4.91166,3.57683,-0.0168388,100.105,0.407076
2025-05-05,132.161,35.49,4.88402,3.56925,-0.013165,96.6711,0.407076
2025-05-06,131.069,35.5,4.87572,3.56953,-0.00950451,95.5686,0.407076
2025-05-07,128.675,36.71,4.85729,3.60305,0.031514,91.9653,0.407076
2025-05-08,135.24,37.39,4.90705,3.6214,0.0296135,97.8497,0.407076
2025-05-09,136.938,38.71,4.91953,3.6561,0.0592284,98.2279,0.407076
2025-05-12,141.933,39.4,4.95536,3.67377,0.0623112,102.533,0.407076
2025-05-13,145.161,41.04,4.97784,3.71455,0.0939394,104.121,0.407076
2025-05-14,143.82,40.5,4.96856,3.7013,0.0844713,103.32,0.407076
2025-05-15,141.95,40.23,4.95547,3.69461,0.08311,101.72,0.407076
2025-05-16,141.13,39.8,4.94968,3.68387,0.0747222,101.33,0.407076
2025-05-19,139.35,39.42,4.93699,3.67427,0.0702955,99.93,0.407076
2025-05-20,138.35,39.77,4.92979,3.68311,0.0820669,98.58,0.407076
2025-05-21,136.31,39.11,4.91493,3.66638,0.0713794,97.2,0.407076
2025-05-22,136.29,39.05,4.91478,3.66484,0.0699038,97.24,0.407076
2025-05-23,135.86,39.49,4.91162,3.67605,0.0823948,96.37,0.407076
2025-05-27,137.49,40.17,4.92355,3.69312,0.0946127,97.32,0.407076
2025-05-28,136.28,38.97,4.91471,3.66279,0.0678829,97.31,0.407076
2025-05-29,137.81,38.84,4.92588,3.65945,0.0599967,98.97,0.407076
2025-05-30,134.55,37.45,4.90194,3.62301,0.0332982,97.1,0.407076
2025-06-02,137.59,38.65,4.92428,3.65455,0.0557432,98.94,0.407076
2025-06-03,142.28,38.36,4.9578,3.64702,0.034567,103.92,0.407076
2025-06-04,139.35,37.3,4.93699,3.61899,0.0150155,102.05,0.407076
2025-06-05,137.45,37.19,4.92326,3.61604,0.0176507,100.26,0.407076
2025-06-06,140.56,38.65,4.94563,3.65455,0.0470496,101.91,0.407076
2025-06-09,142.13,38.92,4.95674,3.66151,0.0494893,103.21,0.407076
2025-06-10,145.57,38.39,4.98066,3.6478,0.0260429,107.18,0.407076
2025-06-11,148.92,39.22,5.00341,3.66919,0.0381709,109.7,0.407076
2025-06-12,149.33,40.04,5.00616,3.68988,0.0577438,109.29,0.407076
2025-06-13,154.91,41.66,5.04284,3.72954,0.0824724,113.25,0.407076
