Date,VLO Raw Price,AR Raw Price,VLO Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,121.125,35.57,4.79682,3.5715,-0.0268942,85.5547,0.726438
2025-01-03,122.216,34.94,4.80579,3.55363,-0.0512829,87.2765,0.726438
2025-01-06,120.112,36.01,4.78842,3.5838,-0.00849887,84.1017,0.726438
2025-01-07,121.951,36.68,4.80362,3.60223,-0.00110331,85.2709,0.726438
2025-01-08,123.131,37.86,4.81325,3.6339,0.0235633,85.2712,0.726438
2025-01-10,125.059,38.32,4.82879,3.64597,0.024355,86.739,0.726438
2025-01-13,131.157,38.3,4.8764,3.64545,-0.0107526,92.857,0.726438
2025-01-14,131.855,38.59,4.88171,3.65299,-0.0070668,93.2653,0.726438
2025-01-15,135.642,40.23,4.91002,3.69461,0.0139847,95.412,0.726438
2025-01-16,137.078,40.57,4.92055,3.70303,0.0147506,96.508,0.726438
2025-01-17,138.73,40.46,4.93253,3.70031,0.00333112,98.2704,0.726438
2025-01-21,137.235,39.93,4.9217,3.68713,-0.00198391,97.3054,0.726438
2025-01-22,132.859,40.74,4.88928,3.70721,0.0416443,92.1185,0.726438
2025-01-23,138.396,40.55,4.93012,3.70254,0.00730636,97.846,0.726438
2025-01-24,137.334,40.15,4.92241,3.69262,0.00299018,97.1837,0.726438
2025-01-27,138.986,36.35,4.93437,3.59319,-0.105126,102.636,0.726438
2025-01-28,135.858,37.22,4.91161,3.61685,-0.0649399,98.6384,0.726438
2025-01-29,137.186,37.35,4.92134,3.62033,-0.0685185,99.8362,0.726438
2025-01-30,134.281,37.85,4.89993,3.63363,-0.0396706,96.4308,0.726438
2025-01-31,131.881,37.32,4.8819,3.61953,-0.0406732,94.5612,0.726438
2025-02-03,135.034,38.33,4.90553,3.64623,-0.0311341,96.7044,0.726438
2025-02-04,141.787,38.73,4.95433,3.65661,-0.0562007,103.057,0.726438
2025-02-05,139.358,39.6,4.93704,3.67883,-0.0214314,99.7578,0.726438
2025-02-06,133.16,38.3,4.89155,3.64545,-0.0217645,94.8603,0.726438
2025-02-07,131.961,37.85,4.8825,3.63363,-0.0270084,94.1105,0.726438
2025-02-10,135.659,40.02,4.91015,3.68938,0.00865937,95.6391,0.726438
2025-02-11,135.738,40.02,4.91073,3.68938,0.00823469,95.7185,0.726438
2025-02-12,129.809,39.38,4.86606,3.67326,0.0245616,90.4288,0.726438
2025-02-13,129.888,40.15,4.86667,3.69262,0.0434822,89.7381,0.726438
2025-02-14,134.172,39.84,4.89912,3.68487,0.0121602,94.3318,0.726438
2025-02-18,137.028,39.74,4.92018,3.68236,-0.00565255,97.2875,0.726438
2025-02-19,135.996,40.35,4.91263,3.69759,0.0150683,95.6463,0.726438
2025-02-20,137.97,39.51,4.92703,3.67655,-0.016434,98.4595,0.726438
2025-02-21,133.607,38.15,4.8949,3.64153,-0.0281189,95.4566,0.726438
2025-02-24,133.924,37.9,4.89727,3.63495,-0.0364167,96.0239,0.726438
2025-02-25,132.536,37.35,4.88685,3.62033,-0.0434656,95.1856,0.726438
2025-02-26,129.065,37.04,4.86032,3.612,-0.0325242,92.0251,0.726438
2025-02-27,128.54,35.58,4.85624,3.57178,-0.0697748,92.9595,0.726438
2025-02-28,129.63,36.7,4.86469,3.60278,-0.0449201,92.9303,0.726438
2025-03-03,127.32,36.15,4.8467,3.58768,-0.0469558,91.1699,0.726438
2025-03-04,126.537,36.52,4.84053,3.59786,-0.0322894,90.0165,0.726438
2025-03-05,120.736,36.38,4.7936,3.59402,-0.00204087,84.3557,0.726438
2025-03-06,124.94,33.78,4.82783,3.51987,-0.101057,91.1601,0.726438
2025-03-07,125.783,33.64,4.83456,3.51572,-0.110094,92.1429,0.726438
2025-03-10,125.733,34.69,4.83416,3.54645,-0.0790723,91.0433,0.726438
2025-03-11,121.995,35.86,4.80398,3.57962,-0.0239753,86.1351,0.726438
2025-03-12,124.127,36.01,4.8213,3.5838,-0.0323863,88.117,0.726438
2025-03-13,124.742,36.37,4.82625,3.59374,-0.0260278,88.3718,0.726438
2025-03-14,128.054,37.57,4.85245,3.62621,-0.0126016,90.4837,0.726438
2025-03-17,131.832,38.9,4.88153,3.66099,0.00106496,92.9316,0.726438
2025-03-18,130.919,39.87,4.87458,3.68562,0.0307392,91.0493,0.726438
2025-03-19,132.714,41.02,4.8882,3.71406,0.0492837,91.6941,0.726438
2025-03-20,133.696,40.97,4.89557,3.71284,0.0427104,92.7258,0.726438
2025-03-21,130.404,40.77,4.87064,3.70795,0.0559283,89.6337,0.726438
2025-03-24,130.84,41.21,4.87398,3.71868,0.0642363,89.63,0.726438
2025-03-25,130.89,41.42,4.87435,3.72376,0.0690439,89.4696,0.726438
2025-03-26,133.388,40.97,4.89327,3.71284,0.0443825,92.4184,0.726438
2025-03-27,132.109,39.53,4.88363,3.67706,0.0156022,92.5793,0.726438
