Date,ENB Raw Price,WMB Raw Price,ENB Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,42.98,54.9218,3.76073,4.00591,-0.0193427,11.9418,0.669773
2025-01-03,43.09,55.6294,3.76329,4.01871,-0.00825236,12.5394,0.669773
2025-01-06,42.99,54.853,3.76097,4.00466,-0.0207521,11.863,0.669773
2025-01-07,43.64,54.5974,3.77597,3.99999,-0.0354727,10.9574,0.669773
2025-01-08,44.02,55.423,3.78464,4.01499,-0.0262712,11.403,0.669773
2025-01-10,43.48,54.5679,3.7723,3.99945,-0.0335527,11.0879,0.669773
2025-01-13,43.4,55.0692,3.77046,4.00859,-0.0231754,11.6692,0.669773
2025-01-14,44.07,57.0644,3.78578,4.04418,0.00215355,12.9944,0.669773
2025-01-15,44.33,57.0152,3.79166,4.04332,-0.00264792,12.6852,0.669773
2025-01-16,44.03,58.1652,3.78487,4.06329,0.0218685,14.1352,0.669773
2025-01-17,44.51,58.1259,3.79571,4.06261,0.0139302,13.6159,0.669773
2025-01-21,45.31,59.5903,3.81353,4.08749,0.0268812,14.2803,0.669773
2025-01-22,44.76,58.1848,3.80131,4.06362,0.0111929,13.4248,0.669773
2025-01-23,44.86,58.4699,3.80355,4.06851,0.0145848,13.6099,0.669773
2025-01-24,45.06,58.5485,3.80799,4.06986,0.0129492,13.4885,0.669773
2025-01-27,44.7,53.6146,3.79997,3.98182,-0.0697125,8.91457,0.669773
2025-01-28,44.46,54.2534,3.79459,3.99367,-0.0542615,9.79342,0.669773
2025-01-29,44.26,54.3812,3.79008,3.99602,-0.0488895,10.1212,0.669773
2025-01-30,44.5,55.6196,3.79549,4.01854,-0.0299945,11.1196,0.669773
2025-01-31,43.24,54.4795,3.76677,3.99782,-0.0314679,11.2395,0.669773
2025-02-03,42.92,55.2363,3.75934,4.01162,-0.0126969,12.3163,0.669773
2025-02-04,43.72,54.7645,3.77781,4.00304,-0.0336437,11.0445,0.669773
2025-02-05,43.93,55.8751,3.7826,4.02312,-0.0167761,11.9451,0.669773
2025-02-06,44.2,55.0495,3.78872,4.00823,-0.035766,10.8495,0.669773
2025-02-07,44.45,54.9807,3.79436,4.00698,-0.0407942,10.5307,0.669773
2025-02-10,44.81,55.2068,3.80243,4.01109,-0.0420937,10.3968,0.669773
2025-02-11,45.25,54.2927,3.8122,3.99439,-0.0653337,9.04274,0.669773
2025-02-12,45.1,53.8799,3.80888,3.98676,-0.070742,8.77994,0.669773
2025-02-13,45.45,56.4747,3.81661,4.03379,-0.0288858,11.0247,0.669773
2025-02-14,43.07,56.0029,3.76283,4.0254,-0.0012501,12.9329,0.669773
2025-02-18,42.75,56.8088,3.75537,4.03969,0.0180332,14.0588,0.669773
2025-02-19,42.31,57.2708,3.74502,4.04779,0.0330611,14.9608,0.669773
2025-02-20,41.98,57.4477,3.73719,4.05087,0.0413899,15.4677,0.669773
2025-02-21,41.78,56.455,3.73242,4.03344,0.0271576,14.675,0.669773
2025-02-24,41.54,56.3469,3.72666,4.03153,0.0290993,14.8069,0.669773
2025-02-25,41.65,55.2166,3.7293,4.01126,0.00706478,13.5666,0.669773
2025-02-26,41.75,55.9243,3.7317,4.024,0.0181931,14.1743,0.669773
2025-02-27,41.73,55.2952,3.73122,4.01269,0.00720249,13.5652,0.669773
2025-02-28,42.73,57.1823,3.7549,4.04624,0.0248996,14.4523,0.669773
2025-03-03,42.67,56.6123,3.7535,4.03623,0.0158216,13.9423,0.669773
2025-03-04,41.55,55.826,3.7269,4.02224,0.0196503,14.276,0.669773
2025-03-05,42.49,55.2559,3.74927,4.01198,-0.00559708,12.7659,0.669773
2025-03-06,41.6,53.6735,3.7281,3.98292,-0.0204744,12.0735,0.669773
2025-03-07,42,53.4475,3.73767,3.9787,-0.0311044,11.4475,0.669773
2025-03-10,42.68,53.0937,3.75373,3.97206,-0.0485036,10.4137,0.669773
2025-03-11,42.3,54.0077,3.74479,3.98913,-0.0254442,11.7077,0.669773
2025-03-12,42.54,55.3346,3.75044,4.0134,-0.00496278,12.7946,0.669773
2025-03-13,42.55,55.2166,3.75068,4.01126,-0.00725391,12.6666,0.669773
2025-03-14,42.83,56.7934,3.75724,4.03942,0.016509,13.9634,0.669773
2025-03-17,43.5,57.9041,3.77276,4.05879,0.0254804,14.4041,0.669773
2025-03-18,43.41,57.914,3.77069,4.05896,0.0270388,14.504,0.669773
2025-03-19,43.75,58.8263,3.77849,4.07459,0.037444,15.0763,0.669773
2025-03-20,44.23,59.2527,3.7894,4.08181,0.0373584,15.0227,0.669773
2025-03-21,43.87,59.104,3.78123,4.0793,0.0403185,15.234,0.669773
2025-03-24,44.26,60.5816,3.79008,4.10399,0.0590833,16.3216,0.669773
2025-03-25,44.42,60.4031,3.79369,4.10104,0.0537155,15.9831,0.669773
2025-03-26,44.52,59.4511,3.79594,4.08515,0.036323,14.9311,0.669773
2025-03-27,44.36,58.9354,3.79234,4.07644,0.0300226,14.5754,0.669773
2025-03-28,44.46,58.6974,3.79459,4.0724,0.0244679,14.2374,0.669773
2025-03-31,44.31,59.2627,3.79121,4.08198,0.0363153,14.9527,0.669773
2025-04-01,44.57,60.0659,3.79706,4.09544,0.04586,15.4959,0.669773
2025-04-02,45.14,61.0873,3.80977,4.1123,0.0542108,15.9473,0.669773
2025-04-03,45.34,58.5387,3.81419,4.06969,0.00863374,13.1987,0.669773
2025-04-04,43.35,54.1159,3.76931,3.99113,-0.0398664,10.7659,0.669773
2025-04-07,41.95,54.3935,3.73648,3.99625,-0.0127611,12.4435,0.669773
2025-04-08,41.09,53.8779,3.71576,3.98672,-0.0084132,12.7879,0.669773
2025-04-09,41.77,55.9505,3.73218,4.02447,0.0183405,14.1805,0.669773
2025-04-10,41.82,54.6117,3.73337,4.00025,-0.0066793,12.7917,0.669773
2025-04-11,43.24,55.9207,3.76677,4.02393,-0.0053572,12.6807,0.669773
2025-04-14,44.02,56.8826,3.78464,4.04099,-0.000276037,12.8626,0.669773
2025-04-15,44.28,58.0528,3.79053,4.06135,0.0161428,13.7728,0.669773
2025-04-16,44.57,57.7751,3.79706,4.05656,0.00697601,13.2051,0.669773
2025-04-17,45.37,58.1321,3.81485,4.06272,0.00122085,12.7621,0.669773
2025-04-21,44.99,55.9703,3.80644,4.02482,-0.0310436,10.9803,0.669773
2025-04-22,45.64,57.7156,3.82078,4.05553,-0.00994377,12.0756,0.669773
2025-04-23,45.61,57.9933,3.82013,4.06033,-0.00470389,12.3833,0.669773
2025-04-24,46.36,59.1139,3.83644,4.07947,0.00351059,12.7539,0.669773
