Date,ENB Raw Price,WMB Raw Price,ENB Log Price,WMB Log Price,Residual,Spread,Beta
2025-04-25,46.19,58.5387,3.83276,4.06969,-0.00380638,12.3487,0.669773
2025-04-28,46.64,59.1635,3.84246,4.0803,0.000315987,12.5235,0.669773
2025-04-29,46.64,59.1734,3.84246,4.08047,0.000483549,12.5334,0.669773
2025-04-30,46.69,58.0826,3.84353,4.06187,-0.0188408,11.3926,0.669773
2025-05-01,46.48,58.3106,3.83902,4.06578,-0.0119023,11.8307,0.669773
2025-05-02,46.86,59.5007,3.84716,4.08599,0.00284686,12.6407,0.669773
2025-05-05,46.59,59.6693,3.84139,4.08882,0.00954651,13.0793,0.669773
2025-05-06,46.16,58.2115,3.83211,4.06408,-0.00897727,12.0515,0.669773
2025-05-07,46.69,58.4495,3.84353,4.06816,-0.0125434,11.7595,0.669773
2025-05-08,45.78,56.5851,3.82385,4.03575,-0.0317771,10.8051,0.669773
2025-05-09,46.1,57.1801,3.83081,4.04621,-0.0259821,11.0801,0.669773
2025-05-12,44.55,56.6546,3.79661,4.03697,-0.0123097,12.1046,0.669773
2025-05-13,44.57,57.5867,3.79706,4.05329,0.00370943,13.0167,0.669773
2025-05-14,44.87,57.7156,3.80377,4.05553,0.00145249,12.8456,0.669773
2025-05-15,44.92,58.2809,3.80488,4.06527,0.0104528,13.3609,0.669773
2025-05-16,44.85,58.3007,3.80332,4.06561,0.0118375,13.4507,0.669773
2025-05-19,44.94,58.0528,3.80533,4.06135,0.0062334,13.1128,0.669773
2025-05-20,45.61,58.2809,3.82013,4.06527,0.000242805,12.6709,0.669773
2025-05-21,45.57,57.4479,3.81925,4.05088,-0.0135657,11.8779,0.669773
2025-05-22,45.17,57.2694,3.81043,4.04777,-0.0107727,12.0994,0.669773
2025-05-23,46.06,58.4991,3.82994,4.06901,-0.00259653,12.4391,0.669773
2025-05-27,46.04,59.5998,3.82951,4.08765,0.0163362,13.5598,0.669773
2025-05-28,45.57,60.1155,3.81925,4.09627,0.0318238,14.5455,0.669773
2025-05-29,45.85,59.7684,3.82538,4.09048,0.0219306,13.9184,0.669773
2025-05-30,46.48,60.0064,3.83902,4.09445,0.0167645,13.5264,0.669773
2025-06-02,47.16,60.7601,3.85355,4.10693,0.0195184,13.6001,0.669773
2025-06-03,47.07,60.6014,3.85164,4.10432,0.018183,13.5314,0.669773
2025-06-04,46.66,59.6197,3.84289,4.08799,0.00770964,12.9597,0.669773
2025-06-05,46.87,60.056,3.84738,4.09528,0.0119941,13.186,0.669773
2025-06-06,46.52,60.056,3.83988,4.09528,0.0170143,13.536,0.669773
2025-06-09,45.82,59.1635,3.82472,4.0803,0.0121963,13.3435,0.669773
2025-06-10,45.85,58.4693,3.82538,4.0685,-4.45981e-05,12.6193,0.669773
2025-06-11,45.87,58.9255,3.82581,4.07627,0.00743494,13.0555,0.669773
2025-06-12,46.81,59.58,3.8461,4.08732,0.0048944,12.77,0.669773
2025-06-13,46.67,59.78,3.8431,4.09067,0.0102518,13.11,0.669773
