Date,KMI Raw Price,ET Raw Price,KMI Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,27.5159,19.0293,3.31476,2.94598,0.0406665,8.4866,0.798819
2025-01-03,27.6725,18.9617,3.32044,2.94242,0.0325748,8.7108,0.798819
2025-01-06,27.2418,18.9424,3.30475,2.9414,0.0440867,8.29941,0.798819
2025-01-07,27.2222,18.8169,3.30403,2.93475,0.038013,8.40534,0.798819
2025-01-08,27.6921,19.0486,3.32115,2.94699,0.0365819,8.64348,0.798819
2025-01-10,27.5648,18.7493,3.31654,2.93116,0.0244243,8.81552,0.798819
2025-01-13,27.9172,18.7976,3.32924,2.93373,0.0168481,9.11964,0.798819
2025-01-14,28.5045,19.2417,3.35006,2.95708,0.0235683,9.26285,0.798819
2025-01-15,28.8178,19.3479,3.36099,2.96258,0.0203422,9.46988,0.798819
2025-01-16,29.4247,19.5506,3.38183,2.97301,0.0141185,9.87403,0.798819
2025-01-17,29.6694,19.5893,3.39012,2.97498,0.00947571,10.0801,0.798819
2025-01-21,30.5601,20.1878,3.4197,3.00508,0.015945,10.3723,0.798819
2025-01-22,30.1294,20.1975,3.4055,3.00556,0.0277614,9.93195,0.798819
2025-01-23,29.8358,20.3327,3.39571,3.01223,0.0422552,9.50313,0.798819
2025-01-24,29.6302,20.323,3.38879,3.01175,0.0473029,9.30722,0.798819
2025-01-27,26.8796,19.1258,3.29137,2.95104,0.0644156,7.75379,0.798819
2025-01-28,26.8796,19.6472,3.29137,2.97793,0.0913098,7.23244,0.798819
2025-01-29,26.723,19.821,3.28552,2.98674,0.104784,6.90203,0.798819
2025-01-30,27.5061,20.352,3.31441,3.01318,0.108149,7.15412,0.798819
2025-01-31,26.8992,19.7727,3.2921,2.9843,0.0970959,7.1265,0.798819
2025-02-03,27.283,20.043,3.30626,2.99788,0.0993575,7.24,0.798819
2025-02-04,27.2039,20.0527,3.30336,2.99836,0.10216,7.1512,0.798819
2025-02-05,27.3424,20.072,3.30844,2.99932,0.0990657,7.27039,0.798819
2025-02-06,26.4916,19.6665,3.27683,2.97892,0.103906,6.82514,0.798819
2025-02-07,26.7488,19.5537,3.28649,2.97316,0.0904346,7.19517,0.798819
2025-02-10,26.7785,19.7106,3.2876,2.98116,0.0975449,7.06787,0.798819
2025-02-11,26.5015,19.4359,3.2772,2.96712,0.0918151,7.0656,0.798819
2025-02-12,25.997,19.2789,3.25798,2.95901,0.0990593,6.71807,0.798819
2025-02-13,26.274,19.4457,3.26858,2.96763,0.0992076,6.82826,0.798819
2025-02-14,26.2641,19.6125,3.2682,2.97617,0.108049,6.65158,0.798819
2025-02-18,26.462,19.9167,3.27571,2.99156,0.117443,6.54528,0.798819
2025-02-19,26.6004,19.7401,3.28093,2.98265,0.104367,6.86037,0.798819
2025-02-20,26.3037,19.5635,3.26971,2.97366,0.104342,6.74021,0.798819
2025-02-21,26.1256,19.0239,3.26292,2.94569,0.0817977,7.10176,0.798819
2025-02-24,26.185,18.6118,3.26519,2.9238,0.0580862,7.57318,0.798819
2025-02-25,25.819,18.5627,3.25111,2.92116,0.0666918,7.25622,0.798819
2025-02-26,25.8882,18.7982,3.25379,2.93376,0.0771574,7.09,0.798819
2025-02-27,25.9278,18.5824,3.25531,2.92221,0.0643888,7.34541,0.798819
2025-02-28,26.8082,18.9257,3.28871,2.94052,0.0560248,7.88244,0.798819
2025-03-03,26.8478,18.6707,3.29018,2.92695,0.0412764,8.1771,0.798819
2025-03-04,26.6994,18.1212,3.28464,2.89708,0.0158348,8.57814,0.798819
2025-03-05,26.4422,17.8563,3.27496,2.88236,0.00884116,8.58584,0.798819
2025-03-06,26.0267,17.3658,3.25912,2.8545,-0.00636455,8.66092,0.798819
2025-03-07,25.8585,17.1303,3.25264,2.84085,-0.0148385,8.72822,0.798819
2025-03-10,25.8585,16.9341,3.25264,2.82933,-0.0263593,8.92444,0.798819
2025-03-11,26.1256,17.4933,3.26292,2.86182,-0.00207727,8.6323,0.798819
2025-03-12,26.2344,18.0526,3.26707,2.89329,0.0260707,8.18188,0.798819
2025-03-13,26.2542,17.8269,3.26783,2.88071,0.0128897,8.42732,0.798819
2025-03-14,26.8082,18.3763,3.28871,2.91106,0.0265644,8.43187,0.798819
2025-03-17,27.4908,18.5431,3.31385,2.9201,0.0155154,8.94765,0.798819
2025-03-18,27.2237,18.3273,3.30409,2.90839,0.0116061,8.8964,0.798819
2025-03-19,27.5501,18.5824,3.31601,2.92221,0.0159068,8.96775,0.798819
2025-03-20,27.7578,18.4941,3.32352,2.91745,0.00514284,9.26379,0.798819
2025-03-21,27.6292,18.2488,3.31887,2.9041,-0.00449895,9.38047,0.798819
2025-03-24,28.4008,18.5235,3.34642,2.91904,-0.0115602,9.87736,0.798819
2025-03-25,28.5196,18.5235,3.35059,2.91904,-0.0148922,9.99607,0.798819
2025-03-26,28.1733,18.5725,3.33838,2.92168,-0.00249014,9.60078,0.798819
2025-03-27,27.926,18.5235,3.32956,2.91904,0.00190803,9.40253,0.798819
2025-03-28,28.0645,18.3567,3.33451,2.90999,-0.0110887,9.70781,0.798819
2025-03-31,28.2228,18.239,3.34013,2.90356,-0.0220154,9.98382,0.798819
2025-04-01,28.3217,18.3763,3.34363,2.91106,-0.0173079,9.94539,0.798819
2025-04-02,28.6086,18.5725,3.35371,2.92168,-0.0147371,10.036,0.798819
2025-04-03,27.4215,17.3952,3.31133,2.85619,-0.0463736,10.0263,0.798819
2025-04-04,25.0177,15.8548,3.21958,2.76348,-0.065805,9.16283,0.798819
2025-04-07,25.0968,15.5703,3.22274,2.74537,-0.0864364,9.52649,0.798819
2025-04-08,24.9385,15.3545,3.21641,2.73141,-0.0953422,9.58406,0.798819
2025-04-09,25.9673,16.3552,3.25684,2.79455,-0.0644948,9.61212,0.798819
2025-04-10,25.5123,15.6096,3.23916,2.74788,-0.0970353,9.90272,0.798819
2025-04-11,26.185,16.0216,3.26519,2.77394,-0.0917685,10.1633,0.798819
2025-04-14,26.5114,16.5024,3.27758,2.8035,-0.0721011,10.009,0.798819
2025-04-15,26.9269,16.7869,3.29313,2.8206,-0.0674283,10.14,0.798819
2025-04-16,26.6598,16.6005,3.28316,2.80943,-0.0706319,10.0593,0.798819
2025-04-17,26.8082,16.9439,3.28871,2.82991,-0.0545911,9.86429,0.798819
2025-04-21,25.5123,16.2473,3.23916,2.78793,-0.056993,9.265,0.798819
2025-04-22,26.3136,16.6594,3.27008,2.81297,-0.0566499,9.6542,0.798819
2025-04-23,26.3136,16.7771,3.27008,2.82001,-0.0496076,9.53647,0.798819
2025-04-24,26.5807,17.2578,3.28018,2.84827,-0.0294229,9.32281,0.798819
2025-04-25,26.5609,17.1205,3.27944,2.84028,-0.036819,9.44039,0.798819
2025-04-28,26.7785,16.9537,3.2876,2.83049,-0.0531275,9.82481,0.798819
2025-04-29,26.917,16.7182,3.29276,2.8165,-0.0712343,10.1988,0.798819
2025-04-30,26.3,16.2277,3.26957,2.78672,-0.0824923,10.0723,0.798819
2025-05-01,26.3,16.2179,3.26957,2.78611,-0.0830971,10.0821,0.798819
2025-05-02,26.83,16.3552,3.28952,2.79455,-0.0906012,10.4748,0.798819
2025-05-05,26.87,15.8843,3.29101,2.76533,-0.121008,10.9857,0.798819
2025-05-06,27.21,15.5115,3.30358,2.74158,-0.154804,11.6985,0.798819
