Date,BP Raw Price,WMB Raw Price,BP Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,29.0449,54.9218,3.36884,4.00591,-0.0405546,25.8769,-0.00109925
2025-01-03,29.5689,55.6294,3.38672,4.01871,-0.0277326,26.0605,-0.00109925
2025-01-06,30.1026,54.853,3.40461,4.00466,-0.0417688,24.7503,-0.00109925
2025-01-07,30.8887,54.5974,3.43039,3.99999,-0.0464101,23.7087,-0.00109925
2025-01-08,30.1997,55.423,3.40783,4.01499,-0.0314265,25.2233,-0.00109925
2025-01-10,30.3646,54.5679,3.41328,3.99945,-0.046969,24.2033,-0.00109925
2025-01-13,30.2967,55.0692,3.41104,4.00859,-0.0378276,24.7725,-0.00109925
2025-01-14,30.1706,57.0644,3.40687,4.04418,-0.0022425,26.8938,-0.00109925
2025-01-15,30.3743,57.0152,3.4136,4.04332,-0.00309669,26.6409,-0.00109925
2025-01-16,30.8402,58.1652,3.42882,4.06329,0.0168883,27.325,-0.00109925
2025-01-17,30.7528,58.1259,3.42598,4.06261,0.0162091,27.373,-0.00109925
2025-01-21,30.5878,59.5903,3.4206,4.08749,0.0410855,29.0025,-0.00109925
2025-01-22,30.2094,58.1848,3.40815,4.06362,0.0172035,27.9755,-0.00109925
2025-01-23,30.5587,58.4699,3.41965,4.06851,0.0221028,27.9111,-0.00109925
2025-01-24,30.5199,58.5485,3.41838,4.06986,0.0234453,28.0286,-0.00109925
2025-01-27,30.5199,53.6146,3.41838,3.98182,-0.064589,23.0947,-0.00109925
2025-01-28,30.2385,54.2534,3.40912,3.99367,-0.052754,24.0149,-0.00109925
2025-01-29,30.2094,54.3812,3.40815,3.99602,-0.0504027,24.1718,-0.00109925
2025-01-30,30.6752,55.6196,3.42345,4.01854,-0.0278689,24.9444,-0.00109925
2025-01-31,30.1414,54.4795,3.4059,3.99782,-0.0485995,24.338,-0.00109925
2025-02-03,29.9571,55.2363,3.39977,4.01162,-0.0348105,25.2792,-0.00109925
2025-02-04,30.7043,54.7645,3.4244,4.00304,-0.043361,24.0602,-0.00109925
2025-02-05,30.7334,55.8751,3.42535,4.02312,-0.0232829,25.1417,-0.00109925
2025-02-06,31.0148,55.0495,3.43447,4.00823,-0.0381589,24.0347,-0.00109925
2025-02-07,31.3157,54.9807,3.44412,4.00698,-0.0393988,23.6651,-0.00109925
2025-02-10,33.4021,55.2068,3.50862,4.01109,-0.0352248,21.8047,-0.00109925
2025-02-11,33.5282,54.2927,3.51239,3.99439,-0.051916,20.7645,-0.00109925
2025-02-12,33.6544,53.8799,3.51614,3.98676,-0.0595442,20.2256,-0.00109925
2025-02-13,33.47,56.4747,3.51065,4.03379,-0.0125163,23.0047,-0.00109925
2025-02-14,33.9649,56.0029,3.52533,4.0254,-0.0208889,22.038,-0.00109925
