Date,BP Raw Price,WMB Raw Price,BP Log Price,WMB Log Price,Residual,Spread,Beta
2025-02-18,34.2658,56.8088,3.53415,4.03969,-0.00659079,22.5431,-0.00109925
2025-02-19,33.5185,57.2708,3.5121,4.04779,0.00148365,23.7523,-0.00109925
2025-02-20,33.6253,57.4477,3.51528,4.05087,0.00457147,23.8224,-0.00109925
2025-02-21,33.3497,56.455,3.50705,4.03344,-0.0128684,23.1053,-0.00109925
2025-02-24,33.2021,56.3469,3.50261,4.03153,-0.0147901,23.1448,-0.00109925
2025-02-25,32.7003,55.2166,3.48738,4.01126,-0.0350701,22.5164,-0.00109925
2025-02-26,32.159,55.9243,3.47069,4.024,-0.0223539,23.7652,-0.00109925
2025-02-27,32.592,55.2952,3.48407,4.01269,-0.0336508,22.7032,-0.00109925
2025-02-28,32.592,57.1823,3.48407,4.04624,-9.28635e-05,24.5903,-0.00109925
2025-03-03,31.3029,56.6123,3.44371,4.03623,-0.0101564,25.3094,-0.00109925
2025-03-04,30.9388,55.826,3.43201,4.02224,-0.0241555,24.8872,-0.00109925
2025-03-05,31.3718,55.2559,3.44591,4.01198,-0.0344039,23.8841,-0.00109925
2025-03-06,31.2045,53.6735,3.44056,3.98292,-0.0634653,22.469,-0.00109925
2025-03-07,31.5588,53.4475,3.45185,3.9787,-0.0676736,21.8887,-0.00109925
2025-03-10,31.6965,53.0937,3.45621,3.97206,-0.0743109,21.3971,-0.00109925
2025-03-11,31.4702,54.0077,3.44904,3.98913,-0.0572494,22.5375,-0.00109925
2025-03-12,31.6867,55.3346,3.4559,4.0134,-0.032971,23.6479,-0.00109925
2025-03-13,31.854,55.2166,3.46116,4.01126,-0.0350989,23.3626,-0.00109925
2025-03-14,32.8577,56.7934,3.49219,4.03942,-0.00690891,23.9357,-0.00109925
2025-03-17,33.2218,57.9041,3.50321,4.05879,0.0124709,24.6823,-0.00109925
2025-03-18,33.6745,57.914,3.51674,4.05896,0.0126571,24.2395,-0.00109925
2025-03-19,34.0583,58.8263,3.52807,4.07459,0.0283001,24.7681,-0.00109925
2025-03-20,34.196,59.2527,3.53211,4.08181,0.0355273,25.0567,-0.00109925
2025-03-21,33.9992,59.104,3.52634,4.0793,0.0330073,25.1048,-0.00109925
2025-03-24,33.5662,60.5816,3.51352,4.10399,0.0576858,27.0154,-0.00109925
2025-03-25,33.7434,60.4031,3.51878,4.10104,0.0547408,26.6597,-0.00109925
2025-03-26,33.8713,59.4511,3.52257,4.08515,0.0388585,25.5798,-0.00109925
2025-03-27,33.8615,58.9354,3.52228,4.07644,0.0301464,25.074,-0.00109925
2025-03-28,33.3202,58.6974,3.50616,4.0724,0.0260822,25.3772,-0.00109925
2025-03-31,33.2513,59.2627,3.50409,4.08198,0.0356638,26.0113,-0.00109925
2025-04-01,33.271,60.0659,3.50469,4.09544,0.0491276,26.7949,-0.00109925
2025-04-02,33.271,61.0873,3.50469,4.1123,0.0659898,27.8163,-0.00109925
2025-04-03,30.8404,58.5387,3.42883,4.06969,0.0232903,27.6983,-0.00109925
2025-04-04,27.9276,54.1159,3.32961,3.99113,-0.0553802,26.1883,-0.00109925
2025-04-07,26.7369,54.3935,3.28604,3.99625,-0.0503103,27.6567,-0.00109925
2025-04-08,25.6938,53.8779,3.24625,3.98672,-0.0598796,28.1841,-0.00109925
2025-04-09,27.4552,55.9505,3.31256,4.02447,-0.0220596,28.4952,-0.00109925
2025-04-10,25.8119,54.6117,3.25083,4.00025,-0.046346,28.7998,-0.00109925
2025-04-11,26.1661,55.9207,3.26447,4.02393,-0.0226443,29.7546,-0.00109925
2025-04-14,26.481,56.8826,3.27643,4.04099,-0.00557579,30.4016,-0.00109925
2025-04-15,26.7762,58.0528,3.28751,4.06135,0.0147995,31.2766,-0.00109925
2025-04-16,27.2191,57.7751,3.30392,4.05656,0.010023,30.5561,-0.00109925
2025-04-17,27.8685,58.1321,3.3275,4.06272,0.0162091,30.2636,-0.00109925
2025-04-21,27.6324,55.9703,3.31899,4.02482,-0.0216981,28.3379,-0.00109925
2025-04-22,28.4098,57.7156,3.34673,4.05553,0.00903963,29.3059,-0.00109925
2025-04-23,28.1441,57.9933,3.33734,4.06033,0.0138288,29.8492,-0.00109925
2025-04-24,28.5377,59.1139,3.35123,4.07947,0.0329826,30.5762,-0.00109925
2025-04-25,28.7247,58.5387,3.35776,4.06969,0.0232122,29.8141,-0.00109925
2025-04-28,28.6656,59.1635,3.3557,4.0803,0.0338259,30.4979,-0.00109925
2025-04-29,27.6225,59.1734,3.31863,4.08047,0.0339527,31.5509,-0.00109925
2025-04-30,27.0222,58.0826,3.29666,4.06187,0.0153218,31.0603,-0.00109925
2025-05-01,27.4355,58.3106,3.31184,4.06578,0.0192577,30.8751,-0.00109925
2025-05-02,27.6717,59.5007,3.32041,4.08599,0.0394699,31.8289,-0.00109925
2025-05-05,28.7148,59.6693,3.35741,4.08882,0.0423399,30.9544,-0.00109925
2025-05-06,27.9473,58.2115,3.33032,4.06408,0.017576,30.2642,-0.00109925
2025-05-07,27.6816,58.4495,3.32077,4.06816,0.0216457,30.7679,-0.00109925
2025-05-08,28.1342,56.5851,3.33699,4.03575,-0.0107531,28.4509,-0.00109925
2025-05-09,29.2954,57.1801,3.37743,4.04621,-0.000248243,27.8847,-0.00109925
2025-05-12,29.7087,56.6546,3.39144,4.03697,-0.00946716,26.9458,-0.00109925
2025-05-13,30.0728,57.5867,3.40362,4.05329,0.006866,27.5139,-0.00109925
2025-05-14,29.876,57.7156,3.39706,4.05553,0.00909495,27.8396,-0.00109925
2025-05-15,29.63,58.2809,3.38879,4.06527,0.0188321,28.6509,-0.00109925
2025-05-16,29.76,58.3007,3.39317,4.06561,0.0191771,28.5407,-0.00109925
2025-05-19,29.4,58.0528,3.38099,4.06135,0.0149023,28.6528,-0.00109925
2025-05-20,29.2,58.2809,3.37417,4.06527,0.018816,29.0809,-0.00109925
2025-05-21,28.88,57.4479,3.36315,4.05088,0.00440769,28.5679,-0.00109925
2025-05-22,28.94,57.2694,3.36522,4.04777,0.00129796,28.3294,-0.00109925
2025-05-23,29.09,58.4991,3.37039,4.06901,0.0225483,29.4091,-0.00109925
2025-05-27,29.15,59.5998,3.37245,4.08765,0.0411924,30.4498,-0.00109925
2025-05-28,28.94,60.1155,3.36522,4.09627,0.0497995,31.1755,-0.00109925
2025-05-29,29.17,59.7684,3.37314,4.09048,0.0440178,30.5984,-0.00109925
2025-05-30,29.1,60.0064,3.37074,4.09445,0.0479893,30.9064,-0.00109925
2025-06-02,29.58,60.7601,3.3871,4.10693,0.060489,31.1801,-0.00109925
2025-06-03,29.56,60.6014,3.38642,4.10432,0.0578735,31.0414,-0.00109925
2025-06-04,28.92,59.6197,3.36453,4.08799,0.0415164,30.6997,-0.00109925
2025-06-05,29.05,60.056,3.36902,4.09528,0.0488134,31.006,-0.00109925
2025-06-06,29.29,60.056,3.37725,4.09528,0.0488225,30.766,-0.00109925
2025-06-09,29.46,59.1635,3.38303,4.0803,0.033856,29.7035,-0.00109925
2025-06-10,30.23,58.4693,3.40883,4.0685,0.0220818,28.2393,-0.00109925
2025-06-11,30.81,58.9255,3.42784,4.07627,0.0298743,28.1155,-0.00109925
2025-06-12,30.92,59.58,3.4314,4.08732,0.0409244,28.66,-0.00109925
2025-06-13,31.72,59.78,3.45695,4.09067,0.0443036,28.06,-0.00109925
