Date,CVX Raw Price,VLO Raw Price,CVX Log Price,VLO Log Price,Residual,Spread,Beta
2025-01-02,143.354,121.125,4.96532,4.79682,-0.0260454,22.2298,0.720124
2025-01-03,144.468,122.216,4.97306,4.80579,-0.0226464,22.2519,0.720124
2025-01-06,143.892,120.112,4.96906,4.78842,-0.0371389,23.7802,0.720124
2025-01-07,146.169,121.951,4.98476,4.80362,-0.0332471,24.2177,0.720124
2025-01-08,146.862,123.131,4.9895,4.81325,-0.0270252,23.7312,0.720124
2025-01-10,149.637,125.059,5.00822,4.82879,-0.0249705,24.5785,0.720124
2025-01-13,151.797,131.157,5.02254,4.8764,0.0123213,20.6399,0.720124
2025-01-14,153.311,131.855,5.03247,4.88171,0.0104821,21.4561,0.720124
2025-01-15,154.709,135.642,5.04154,4.91002,0.0322624,19.0667,0.720124
2025-01-16,155.735,137.078,5.04815,4.92055,0.0380334,18.6567,0.720124
2025-01-17,157.777,138.73,5.06118,4.93253,0.0406339,19.0465,0.720124
2025-01-21,154.621,137.235,5.04098,4.9217,0.0443501,17.3854,0.720124
2025-01-22,152.833,132.859,5.02934,4.88928,0.0203142,19.9741,0.720124
2025-01-23,152.442,138.396,5.02678,4.93012,0.0629921,14.0458,0.720124
2025-01-24,152.09,137.334,5.02447,4.92241,0.0569508,14.7563,0.720124
2025-01-27,153.634,138.986,5.03457,4.93437,0.0616376,14.6478,0.720124
2025-01-28,152.637,135.858,5.02806,4.91161,0.0435637,16.7788,0.720124
2025-01-29,152.129,137.186,5.02473,4.92134,0.0556908,14.9429,0.720124
2025-01-30,152.745,134.281,5.02877,4.89993,0.0313771,18.4639,0.720124
2025-01-31,145.778,131.881,4.98208,4.8819,0.0469639,13.8966,0.720124
2025-02-03,145.924,135.034,4.98309,4.90553,0.0698685,10.8899,0.720124
2025-02-04,149.716,141.787,5.00874,4.95433,0.100195,7.92844,0.720124
2025-02-05,149.491,139.358,5.00724,4.93704,0.0839943,10.1331,0.720124
2025-02-06,148.426,133.16,5.00009,4.89155,0.0436528,15.2655,0.720124
2025-02-07,149.129,131.961,5.00481,4.8825,0.0311964,17.1688,0.720124
2025-02-10,152.207,135.659,5.02524,4.91015,0.0441274,16.5481,0.720124
2025-02-11,153.839,135.738,5.03591,4.91073,0.0370326,18.1006,0.720124
2025-02-12,151.357,129.809,5.01964,4.86606,0.00407767,21.5484,0.720124
2025-02-13,152.315,129.888,5.02595,4.86667,0.000146943,22.4267,0.720124
2025-02-14,153.471,134.172,5.03351,4.89912,0.0271499,19.2989,0.720124
2025-02-18,154.281,137.028,5.03877,4.92018,0.0444197,17.2533,0.720124
2025-02-19,155.338,135.996,5.0456,4.91263,0.031948,19.3416,0.720124
2025-02-20,156.879,137.97,5.05548,4.92703,0.0392437,18.9096,0.720124
2025-02-21,155.032,133.607,5.04363,4.8949,0.0156409,21.4251,0.720124
2025-02-24,155.99,133.924,5.04979,4.89727,0.0135753,22.0661,0.720124
2025-02-25,154.538,132.536,5.04044,4.88685,0.00989151,22.002,0.720124
2025-02-26,153.273,129.065,5.03222,4.86032,-0.0107263,24.208,0.720124
2025-02-27,154.785,128.54,5.04203,4.85624,-0.0218736,26.2451,0.720124
2025-02-28,156.711,129.63,5.0544,4.86469,-0.0223315,27.0809,0.720124
2025-03-03,151.248,127.32,5.01892,4.8467,-0.0147613,23.9279,0.720124
2025-03-04,150.171,126.537,5.01177,4.84053,-0.0157874,23.6343,0.720124
2025-03-05,148.995,120.736,5.00391,4.7936,-0.0570542,28.2595,0.720124
2025-03-06,151.109,124.94,5.018,4.82783,-0.032971,26.1694,0.720124
2025-03-07,154.459,125.783,5.03993,4.83456,-0.0420341,28.6757,0.720124
2025-03-10,155.674,125.733,5.04776,4.83416,-0.0480718,29.9405,0.720124
2025-03-11,152.226,121.995,5.02537,4.80398,-0.0621254,30.2308,0.720124
2025-03-12,150.833,124.127,5.01617,4.8213,-0.0381807,26.7058,0.720124
2025-03-13,151.761,124.742,5.02231,4.82625,-0.0376602,27.0197,0.720124
2025-03-14,155.13,128.054,5.04427,4.85245,-0.0272677,27.0768,0.720124
2025-03-17,156.81,131.832,5.05503,4.88153,-0.00594635,24.9784,0.720124
2025-03-18,158.875,130.919,5.06812,4.87458,-0.0223109,27.9555,0.720124
2025-03-19,162.076,132.714,5.08806,4.8882,-0.0230599,29.3618,0.720124
2025-03-20,162.787,133.696,5.09244,4.89557,-0.0188437,29.0914,0.720124
2025-03-21,162.767,130.404,5.09232,4.87064,-0.0436882,32.3637,0.720124
2025-03-24,163.034,130.84,5.09396,4.87398,-0.0415273,32.1942,0.720124
2025-03-25,163.943,130.89,5.09952,4.87435,-0.0451519,33.0535,0.720124
2025-03-26,165.949,133.388,5.11168,4.89327,-0.034997,32.5603,0.720124
2025-03-27,164.645,132.109,5.10379,4.88363,-0.0389515,32.5353,0.720124
2025-03-28,164.091,130.374,5.10042,4.87041,-0.0497499,33.7173,0.720124
2025-03-31,165.277,130.959,5.10762,4.87488,-0.0504566,34.3179,0.720124
2025-04-01,166.482,132.615,5.11489,4.88745,-0.0431236,33.8672,0.720124
2025-04-02,164.467,132.496,5.10271,4.88655,-0.0352503,31.9708,0.720124
2025-04-03,154.241,113.329,5.03852,4.73029,-0.145286,40.9127,0.720124
2025-04-04,141.556,103.809,4.95269,4.64256,-0.171218,37.7465,0.720124
