Date,MPC Raw Price,AR Raw Price,MPC Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,139.888,35.57,4.94084,3.5715,-0.029936,104.318,0.655489
2025-01-03,141.124,34.94,4.94964,3.55363,-0.0535718,106.184,0.655489
2025-01-06,138.939,36.01,4.93403,3.5838,-0.0131793,102.929,0.655489
2025-01-07,140.056,36.68,4.94204,3.60223,5.9518e-06,103.376,0.655489
2025-01-08,140.718,37.86,4.94676,3.6339,0.0285765,102.858,0.655489
2025-01-10,140.659,38.32,4.94634,3.64597,0.0409297,102.339,0.655489
2025-01-13,145.088,38.3,4.97734,3.64545,0.020085,106.788,0.655489
2025-01-14,147.728,38.59,4.99537,3.65299,0.0158094,109.138,0.655489
2025-01-15,150.229,40.23,5.01216,3.69461,0.0464233,109.999,0.655489
2025-01-16,149.982,40.57,5.01052,3.70303,0.0559185,109.412,0.655489
2025-01-17,150.971,40.46,5.01709,3.70031,0.0488967,110.511,0.655489
2025-01-21,149.112,39.93,5.0047,3.68713,0.0438311,109.182,0.655489
2025-01-22,145.939,40.74,4.98319,3.70721,0.0780155,105.199,0.655489
2025-01-23,152.563,40.55,5.02758,3.70254,0.0442436,112.013,0.655489
2025-01-24,149.893,40.15,5.00992,3.69262,0.0459011,109.743,0.655489
2025-01-27,150.872,36.35,5.01643,3.59319,-0.0577936,114.522,0.655489
2025-01-28,148.934,37.22,5.0035,3.61685,-0.0256678,111.714,0.655489
2025-01-29,149.676,37.35,5.00847,3.62033,-0.0254366,112.326,0.655489
2025-01-30,148.262,37.85,4.99898,3.63363,-0.00591756,110.412,0.655489
2025-01-31,144.06,37.32,4.97023,3.61953,-0.00117359,106.74,0.655489
2025-02-03,145.335,38.33,4.97904,3.64623,0.0197523,107.005,0.655489
2025-02-04,155.133,38.73,5.04428,3.65661,-0.0126301,116.403,0.655489
2025-02-05,155.529,39.6,5.04683,3.67883,0.00791564,115.929,0.655489
2025-02-06,150.21,38.3,5.01203,3.64545,-0.00265347,111.91,0.655489
2025-02-07,148.42,37.85,5.00005,3.63363,-0.00661649,110.57,0.655489
2025-02-10,152.039,40.02,5.02413,3.68938,0.0333425,112.019,0.655489
2025-02-11,153.541,40.02,5.03397,3.68938,0.0268953,113.521,0.655489
2025-02-12,147.52,39.38,4.99397,3.67326,0.0369962,108.14,0.655489
2025-02-13,152.345,40.15,5.02615,3.69262,0.0352655,112.195,0.655489
2025-02-14,154.293,39.84,5.03885,3.68487,0.0191874,114.453,0.655489
2025-02-18,157.229,39.74,5.0577,3.68236,0.00431676,117.489,0.655489
2025-02-19,155.758,40.35,5.0483,3.69759,0.0257141,115.408,0.655489
2025-02-20,157.378,39.51,5.05865,3.67655,-0.00210935,117.868,0.655489
2025-02-21,152.874,38.15,5.02961,3.64153,-0.0181022,114.724,0.655489
2025-02-24,151.84,37.9,5.02283,3.63495,-0.0202275,113.94,0.655489
2025-02-25,149.742,37.35,5.00891,3.62033,-0.0257251,112.392,0.655489
2025-02-26,145.476,37.04,4.98001,3.612,-0.0151149,108.436,0.655489
2025-02-27,147.146,35.58,4.99143,3.57178,-0.0628139,111.566,0.655489
2025-02-28,149.334,36.7,5.00618,3.60278,-0.0414941,112.634,0.655489
2025-03-03,144.999,36.15,4.97672,3.58768,-0.0372822,108.849,0.655489
2025-03-04,141.817,36.52,4.95453,3.59786,-0.0125543,105.297,0.655489
2025-03-05,134.359,36.38,4.90051,3.59402,0.0190147,97.9788,0.655489
2025-03-06,136.785,33.78,4.91841,3.51987,-0.0668669,103.005,0.655489
2025-03-07,136.775,33.64,4.91834,3.51572,-0.0709724,103.135,0.655489
2025-03-10,135.492,34.69,4.90892,3.54645,-0.0340602,100.802,0.655489
2025-03-11,133.961,35.86,4.89755,3.57962,0.0065613,98.101,0.655489
2025-03-12,136.348,36.01,4.91521,3.5838,-0.000839094,100.338,0.655489
2025-03-13,136.248,36.37,4.91448,3.59374,0.00958667,99.8781,0.655489
2025-03-14,140.355,37.57,4.94417,3.62621,0.0225828,102.785,0.655489
2025-03-17,145.337,38.9,4.97905,3.66099,0.0345085,106.437,0.655489
2025-03-18,145.177,39.87,4.97796,3.68562,0.0598563,105.307,0.655489
2025-03-19,148.727,41.02,5.00212,3.71406,0.0724566,107.707,0.655489
2025-03-20,151.094,40.97,5.0179,3.71284,0.0608889,110.124,0.655489
2025-03-21,149.115,40.77,5.00472,3.70795,0.0646365,108.345,0.655489
2025-03-24,147.842,41.21,4.99615,3.71868,0.08099,106.632,0.655489
2025-03-25,148.25,41.42,4.9989,3.72376,0.0842677,106.83,0.655489
2025-03-26,148.966,40.97,5.00372,3.71284,0.0701861,107.996,0.655489
2025-03-27,146.52,39.53,4.98716,3.67706,0.0452588,106.99,0.655489
2025-03-28,143.288,39.69,4.96486,3.6811,0.0639177,103.598,0.655489
2025-03-31,144.869,40.44,4.97583,3.69982,0.0754448,104.429,0.655489
2025-04-01,145.804,40.92,4.98226,3.71162,0.0830287,104.884,0.655489
2025-04-02,147.067,42,4.99089,3.73767,0.103427,105.067,0.655489
2025-04-03,127.866,38.79,4.85098,3.65816,0.115627,89.0756,0.655489
2025-04-04,120.388,33.46,4.79072,3.51035,0.00731516,86.9279,0.655489
2025-04-07,120.975,34.15,4.79558,3.53076,0.0245405,86.8246,0.655489
2025-04-08,117.882,32.24,4.76969,3.47321,-0.01604,85.6421,0.655489
2025-04-09,130.68,34.89,4.87275,3.5522,-0.00460468,95.7896,0.655489
2025-04-10,120.845,31.92,4.79451,3.46323,-0.0422885,88.9253,0.655489
2025-04-11,122.735,33.1,4.81002,3.49953,-0.0161567,89.6346,0.655489
2025-04-14,124.147,33.23,4.82146,3.50345,-0.0197349,90.9166,0.655489
2025-04-15,121.541,33.1,4.80025,3.49953,-0.00975281,88.4414,0.655489
2025-04-16,123.371,34.3,4.8152,3.53515,0.0160654,89.071,0.655489
2025-04-17,127,34.42,4.84419,3.53864,0.000552228,92.5805,0.655489
