Date,CVX Raw Price,KMI Raw Price,CVX Log Price,KMI Log Price,Residual,Spread,Beta
2025-02-19,155.338,26.6004,5.0456,3.28093,-0.0303663,128.737,0.130867
2025-02-20,156.879,26.3037,5.05548,3.26971,-0.0428776,130.575,0.130867
2025-02-21,155.032,26.1256,5.04363,3.26292,-0.0481198,128.906,0.130867
2025-02-24,155.99,26.185,5.04979,3.26519,-0.046657,129.805,0.130867
2025-02-25,154.538,25.819,5.04044,3.25111,-0.0595095,128.719,0.130867
2025-02-26,153.273,25.8882,5.03222,3.25379,-0.0557558,127.385,0.130867
2025-02-27,154.785,25.9278,5.04203,3.25531,-0.0555128,128.857,0.130867
2025-02-28,156.711,26.8082,5.0544,3.28871,-0.0237389,129.903,0.130867
2025-03-03,151.248,26.8478,5.01892,3.29018,-0.0176201,124.4,0.130867
2025-03-04,150.171,26.6994,5.01177,3.28464,-0.0222273,123.472,0.130867
2025-03-05,148.995,26.4422,5.00391,3.27496,-0.0308786,122.553,0.130867
2025-03-06,151.109,26.0267,5.018,3.25912,-0.04856,125.083,0.130867
2025-03-07,154.459,25.8585,5.03993,3.25264,-0.0579112,128.6,0.130867
2025-03-10,155.674,25.8585,5.04776,3.25264,-0.0589368,129.815,0.130867
2025-03-11,152.226,26.1256,5.02537,3.26292,-0.0457296,126.1,0.130867
2025-03-12,150.833,26.2344,5.01617,3.26707,-0.04037,124.598,0.130867
2025-03-13,151.761,26.2542,5.02231,3.26783,-0.0404194,125.507,0.130867
2025-03-14,155.13,26.8082,5.04427,3.28871,-0.0224122,128.322,0.130867
2025-03-17,156.81,27.4908,5.05503,3.31385,0.00132119,129.319,0.130867
2025-03-18,158.875,27.2237,5.06812,3.30409,-0.0101541,131.651,0.130867
2025-03-19,162.076,27.5501,5.08806,3.31601,-0.000844611,134.526,0.130867
2025-03-20,162.787,27.7578,5.09244,3.32352,0.0060944,135.029,0.130867
2025-03-21,162.767,27.6292,5.09232,3.31887,0.00146663,135.138,0.130867
2025-03-24,163.034,28.4008,5.09396,3.34642,0.0287964,134.633,0.130867
2025-03-25,163.943,28.5196,5.09952,3.35059,0.0322399,135.424,0.130867
2025-03-26,165.949,28.1733,5.11168,3.33838,0.0184342,137.775,0.130867
2025-03-27,164.645,27.926,5.10379,3.32956,0.0106499,136.719,0.130867
2025-03-28,164.091,28.0645,5.10042,3.33451,0.0160374,136.027,0.130867
2025-03-31,165.277,28.2228,5.10762,3.34013,0.0207192,137.054,0.130867
2025-04-01,166.482,28.3217,5.11489,3.34363,0.0232672,138.16,0.130867
2025-04-02,164.467,28.6086,5.10271,3.35371,0.0349394,135.858,0.130867
2025-04-03,154.241,27.4215,5.03852,3.31133,0.000960533,126.82,0.130867
2025-04-04,141.556,25.0177,4.95269,3.21958,-0.079553,116.538,0.130867
2025-04-07,138.463,25.0968,4.93061,3.22274,-0.0735042,113.367,0.130867
2025-04-08,135.282,24.9385,4.90736,3.21641,-0.076789,110.344,0.130867
2025-04-09,144.273,25.9673,4.97171,3.25684,-0.044784,118.305,0.130867
2025-04-10,133.356,25.5123,4.89302,3.23916,-0.0521659,107.843,0.130867
2025-04-11,133.998,26.185,4.89782,3.26519,-0.0267694,107.813,0.130867
2025-04-14,133.692,26.5114,4.89554,3.27758,-0.0140801,107.18,0.130867
2025-04-15,132.921,26.9269,4.88975,3.29313,0.00222655,105.994,0.130867
2025-04-16,133.731,26.6598,4.89583,3.28316,-0.00853731,107.071,0.130867
2025-04-17,136.211,26.8082,4.9142,3.28871,-0.00539137,109.403,0.130867
2025-04-21,132.121,25.5123,4.88372,3.23916,-0.0509483,106.608,0.130867
2025-04-22,135.648,26.3136,4.91006,3.27008,-0.0234717,109.334,0.130867
2025-04-23,135.035,26.3136,4.90554,3.27008,-0.0228794,108.722,0.130867
2025-04-24,137.396,26.5807,4.92287,3.28018,-0.0150487,110.816,0.130867
2025-04-25,137.061,26.5609,4.92042,3.27944,-0.015473,110.5,0.130867
2025-04-28,138.414,26.7785,4.93025,3.2876,-0.00859877,111.636,0.130867
2025-04-29,137.624,26.917,4.92452,3.29276,-0.00269096,110.707,0.130867
2025-04-30,134.423,26.3,4.90099,3.26957,-0.0228002,108.123,0.130867
2025-05-01,134.62,26.3,4.90246,3.26957,-0.0229924,108.32,0.130867
2025-05-02,136.833,26.83,4.91876,3.28952,-0.00517455,110.003,0.130867
2025-05-05,133.869,26.87,4.89686,3.29101,-0.000818945,106.999,0.130867
2025-05-06,133.968,27.21,4.8976,3.30358,0.0116586,106.758,0.130867
2025-05-07,134.156,27.62,4.899,3.31854,0.026431,106.536,0.130867
2025-05-08,135.391,27.04,4.90817,3.29732,0.00400895,108.351,0.130867
2025-05-09,136.823,27.31,4.91869,3.30725,0.0125672,109.513,0.130867
2025-05-12,139.916,27.31,4.94104,3.30725,0.00964239,112.606,0.130867
2025-05-13,140.637,27.5,4.94618,3.31419,0.0159026,113.137,0.130867
2025-05-14,139.965,27.46,4.94139,3.31273,0.0150736,112.505,0.130867
2025-05-15,140.548,28,4.94555,3.3322,0.0340039,112.548,0.130867
2025-05-16,140.39,28.09,4.94442,3.33541,0.0373603,112.3,0.130867
2025-05-19,138.49,28,4.9308,3.3322,0.0359344,110.49,0.130867
2025-05-20,137.27,27.98,4.92195,3.33149,0.0363778,109.29,0.130867
2025-05-21,135.56,27.47,4.90941,3.31309,0.0196228,108.09,0.130867
2025-05-22,135.29,27.34,4.90742,3.30835,0.0151401,107.95,0.130867
2025-05-23,136.54,27.86,4.91662,3.32719,0.0327776,108.68,0.130867
2025-05-27,137.83,28.19,4.92602,3.33897,0.0433224,109.64,0.130867
2025-05-28,136.02,27.95,4.9128,3.33042,0.0365022,108.07,0.130867
2025-05-29,137.91,27.92,4.9266,3.32934,0.0336224,109.99,0.130867
2025-05-30,136.7,28.04,4.91779,3.33363,0.0390645,108.66,0.130867
2025-06-02,137.84,28.65,4.92609,3.35515,0.059499,109.19,0.130867
2025-06-03,139.55,28.56,4.93842,3.35201,0.0547392,110.99,0.130867
2025-06-04,137.37,28.03,4.92268,3.33328,0.0380679,109.34,0.130867
2025-06-05,136.9,28.24,4.91925,3.34074,0.0459805,108.66,0.130867
2025-06-06,140.21,28.14,4.94314,3.33719,0.0393066,112.07,0.130867
2025-06-09,140.76,27.53,4.94706,3.31528,0.0168786,113.23,0.130867
2025-06-10,143.35,27.38,4.96529,3.30981,0.00902893,115.97,0.130867
2025-06-11,144.78,27.52,4.97522,3.31491,0.0128302,117.26,0.130867
2025-06-12,144.97,27.66,4.97653,3.31999,0.0177328,117.31,0.130867
2025-06-13,145.91,27.64,4.98299,3.31926,0.0161637,118.27,0.130867
