Date,CVX Raw Price,KMI Raw Price,CVX Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,143.354,27.5159,4.96532,3.31476,0.0139753,115.839,0.130867
2025-01-03,144.468,27.6725,4.97306,3.32044,0.0186381,116.796,0.130867
2025-01-06,143.892,27.2418,4.96906,3.30475,0.0034748,116.65,0.130867
2025-01-07,146.169,27.2222,4.98476,3.30403,0.000701416,118.946,0.130867
2025-01-08,146.862,27.6921,4.9895,3.32115,0.0171945,119.17,0.130867
2025-01-10,149.637,27.5648,5.00822,3.31654,0.0101389,122.073,0.130867
2025-01-13,151.797,27.9172,5.02254,3.32924,0.020967,123.88,0.130867
2025-01-14,153.311,28.5045,5.03247,3.35006,0.0404873,124.807,0.130867
2025-01-15,154.709,28.8178,5.04154,3.36099,0.050229,125.891,0.130867
2025-01-16,155.735,29.4247,5.04815,3.38183,0.0702051,126.31,0.130867
2025-01-17,157.777,29.6694,5.06118,3.39012,0.0767824,128.108,0.130867
2025-01-21,154.621,30.5601,5.04098,3.4197,0.109008,124.061,0.130867
2025-01-22,152.833,30.1294,5.02934,3.4055,0.0963366,122.703,0.130867
2025-01-23,152.442,29.8358,5.02678,3.39571,0.0868772,122.606,0.130867
2025-01-24,152.09,29.6302,5.02447,3.38879,0.080266,122.46,0.130867
2025-01-27,153.634,26.8796,5.03457,3.29137,-0.0184825,126.754,0.130867
2025-01-28,152.637,26.8796,5.02806,3.29137,-0.0176308,125.758,0.130867
2025-01-29,152.129,26.723,5.02473,3.28552,-0.0230382,125.406,0.130867
2025-01-30,152.745,27.5061,5.02877,3.31441,0.00531634,125.239,0.130867
2025-01-31,145.778,26.8992,4.98208,3.2921,-0.0108854,118.879,0.130867
2025-02-03,145.924,27.283,4.98309,3.30626,0.00315123,118.641,0.130867
2025-02-04,149.716,27.2039,5.00874,3.30336,-0.00311031,122.512,0.130867
2025-02-05,149.491,27.3424,5.00724,3.30844,0.00216428,122.148,0.130867
2025-02-06,148.426,26.4916,5.00009,3.27683,-0.0285086,121.934,0.130867
2025-02-07,149.129,26.7488,5.00481,3.28649,-0.0194655,122.38,0.130867
2025-02-10,152.207,26.7785,5.02524,3.2876,-0.0210302,125.429,0.130867
2025-02-11,153.839,26.5015,5.03591,3.2772,-0.0328232,127.338,0.130867
2025-02-12,151.357,25.997,5.01964,3.25798,-0.0499152,125.36,0.130867
2025-02-13,152.315,26.274,5.02595,3.26858,-0.0401424,126.041,0.130867
2025-02-14,153.471,26.2641,5.03351,3.2682,-0.0415085,127.207,0.130867
2025-02-18,154.281,26.462,5.03877,3.27571,-0.0346927,127.819,0.130867
