Date,COP Raw Price,MPC Raw Price,COP Log Price,MPC Log Price,Residual,Spread,Beta
2025-01-02,98.4366,139.888,4.58941,4.94084,-0.0562785,41.4512,0.298035
2025-01-03,99.4301,141.124,4.59945,4.94964,-0.0504755,41.6936,0.298035
2025-01-06,98.3481,138.939,4.58851,4.93403,-0.0628186,40.5906,0.298035
2025-01-07,100.001,140.056,4.60518,4.94204,-0.0597755,40.0554,0.298035
2025-01-08,99.9514,140.718,4.60468,4.94676,-0.0549104,40.767,0.298035
2025-01-10,100.246,140.659,4.60763,4.94634,-0.0562106,40.4126,0.298035
2025-01-13,102.519,145.088,4.63004,4.97734,-0.0318863,42.5698,0.298035
2025-01-14,103.158,147.728,4.63626,4.99537,-0.0157086,44.5702,0.298035
2025-01-15,103.748,150.229,4.64196,5.01216,-0.000618276,46.4814,0.298035
2025-01-16,103.876,149.982,4.6432,5.01052,-0.00263206,46.1064,0.298035
2025-01-17,104.112,150.971,4.64547,5.01709,0.00326177,46.859,0.298035
2025-01-21,102.568,149.112,4.63052,5.0047,-0.00467265,46.5445,0.298035
2025-01-22,101.368,145.939,4.61875,4.98319,-0.0226788,44.5708,0.298035
2025-01-23,102.282,152.563,4.62774,5.02758,0.0190339,50.2802,0.298035
2025-01-24,100.158,149.893,4.60675,5.00992,0.00763742,49.7353,0.298035
2025-01-27,101.004,150.872,4.61516,5.01643,0.0116396,49.8682,0.298035
2025-01-28,99.7153,148.934,4.60232,5.0035,0.00253886,49.2189,0.298035
2025-01-29,99.8923,149.676,4.60409,5.00847,0.00697654,49.7834,0.298035
2025-01-30,99.794,148.262,4.60311,4.99898,-0.00222045,48.4679,0.298035
2025-01-31,97.2072,144.06,4.57684,4.97023,-0.0231434,46.8529,0.298035
2025-02-03,96.8629,145.335,4.5733,4.97904,-0.0132718,48.4725,0.298035
2025-02-04,98.9284,155.133,4.5944,5.04428,0.0456795,56.2048,0.298035
2025-02-05,98.5645,155.529,4.59071,5.04683,0.0493239,56.9642,0.298035
2025-02-06,98.2989,150.21,4.58801,5.01203,0.0153294,51.9107,0.298035
2025-02-07,96.7449,148.42,4.57208,5.00005,0.00809401,51.6752,0.298035
2025-02-10,97.8465,152.039,4.5834,5.02413,0.0288075,54.1921,0.298035
2025-02-11,100.04,153.541,4.60557,5.03397,0.0320361,53.5016,0.298035
2025-02-12,96.7842,147.52,4.57248,4.99397,0.0018926,50.7362,0.298035
2025-02-13,95.3089,152.345,4.55712,5.02615,0.0386529,57.0363,0.298035
2025-02-14,95.4477,154.293,4.55858,5.03885,0.0509228,58.8452,0.298035
2025-02-18,96.6276,157.229,4.57086,5.0577,0.0661133,60.6016,0.298035
2025-02-19,98.7297,155.758,4.59239,5.0483,0.050295,57.0278,0.298035
2025-02-20,101.139,157.378,4.6165,5.05865,0.0534612,56.2391,0.298035
2025-02-21,97.1135,152.874,4.57588,5.02961,0.0365271,55.7604,0.298035
2025-02-24,97.9861,151.84,4.58483,5.02283,0.0270735,53.8537,0.298035
2025-02-25,96.2608,149.742,4.56706,5.00891,0.0184536,53.4809,0.298035
2025-02-26,95.3188,145.476,4.55723,4.98001,-0.00751703,50.157,0.298035
2025-02-27,96.5483,147.146,4.57004,4.99143,8.09077e-05,50.598,0.298035
2025-02-28,98.3133,149.334,4.58816,5.00618,0.00943915,51.0206,0.298035
2025-03-03,91.8483,144.999,4.52014,4.97672,0.000250282,53.1502,0.298035
2025-03-04,89.8751,141.817,4.49842,4.95453,-0.0154664,51.9414,0.298035
2025-03-05,88.13,134.359,4.47881,4.90051,-0.0636429,46.2288,0.298035
2025-03-06,87.8523,136.785,4.47566,4.91841,-0.0448056,48.9327,0.298035
2025-03-07,89.8652,136.775,4.49831,4.91834,-0.0516297,46.9099,0.298035
2025-03-10,92.116,135.492,4.52305,4.90892,-0.0684254,43.3763,0.298035
2025-03-11,94.6049,133.961,4.54971,4.89755,-0.0877372,39.3562,0.298035
2025-03-12,96.9251,136.348,4.57394,4.91521,-0.0773007,39.4224,0.298035
2025-03-13,95.3783,136.248,4.55785,4.91448,-0.0732354,40.8698,0.298035
2025-03-14,98.115,140.355,4.58614,4.94417,-0.0519705,42.2398,0.298035
2025-03-17,98.5215,145.337,4.59028,4.97905,-0.0183239,46.8151,0.298035
2025-03-18,99.6816,145.177,4.60198,4.97796,-0.0229082,45.4958,0.298035
2025-03-19,100.475,148.727,4.60991,5.00212,-0.00111261,48.2525,0.298035
2025-03-20,101.447,151.094,4.61953,5.0179,0.0118057,49.6473,0.298035
2025-03-21,101.06,149.115,4.61571,5.00472,-0.000238814,48.0553,0.298035
2025-03-24,101.328,147.842,4.61836,4.99615,-0.00959971,46.5147,0.298035
2025-03-25,101.685,148.25,4.62188,4.9989,-0.00789394,46.5655,0.298035
2025-03-26,102.329,148.966,4.62819,5.00372,-0.00495935,46.6369,0.298035
2025-03-27,101.952,146.52,4.62451,4.98716,-0.020417,44.5676,0.298035
2025-03-28,101.506,143.288,4.62012,4.96486,-0.041413,41.7821,0.298035
2025-03-31,104.134,144.869,4.64568,4.97583,-0.0380563,40.7355,0.298035
2025-04-01,104.501,145.804,4.64919,4.98226,-0.0326732,41.3033,0.298035
2025-04-02,105.205,147.067,4.65591,4.99089,-0.0260504,41.8621,0.298035
2025-04-03,94.4462,127.866,4.54803,4.85098,-0.133807,33.4194,0.298035
2025-04-04,85.5618,120.388,4.44924,4.79072,-0.164623,34.8261,0.298035
2025-04-07,84.947,120.975,4.44203,4.79558,-0.157613,36.0276,0.298035
2025-04-08,81.9624,117.882,4.40626,4.76969,-0.172848,35.9197,0.298035
2025-04-09,90.7378,130.68,4.50797,4.87275,-0.100099,39.9419,0.298035
2025-04-10,82.5871,120.845,4.41385,4.79451,-0.150285,38.2582,0.298035
2025-04-11,85.661,122.735,4.4504,4.81002,-0.145663,37.0737,0.298035
2025-04-14,85.7205,124.147,4.45109,4.82146,-0.134431,38.4262,0.298035
2025-04-15,84.9966,121.541,4.44261,4.80025,-0.153112,36.5448,0.298035
2025-04-16,85.6312,123.371,4.45005,4.8152,-0.140388,37.7398,0.298035
2025-04-17,88.2291,127,4.47994,4.84419,-0.120301,38.7714,0.298035
2025-04-21,86.8112,126.006,4.46374,4.83633,-0.123333,39.1949,0.298035
2025-04-22,89.0025,130.65,4.48866,4.87252,-0.0945725,41.6473,0.298035
2025-04-23,89.1711,133.543,4.49056,4.89443,-0.0732303,44.3723,0.298035
2025-04-24,91.0253,136.765,4.51114,4.91827,-0.0555255,45.7398,0.298035
2025-04-25,90.946,136.666,4.51027,4.91754,-0.0559929,45.7197,0.298035
2025-04-28,92.1458,136.805,4.52337,4.91856,-0.0588809,44.6591,0.298035
2025-04-29,91.1046,137.531,4.51201,4.92385,-0.0502023,46.4262,0.298035
2025-04-30,88.3679,136.636,4.48151,4.91732,-0.0476407,48.2679,0.298035
2025-05-01,89.885,136.944,4.49853,4.91957,-0.0504604,47.0591,0.298035
2025-05-02,90.6386,140.753,4.50688,4.947,-0.0255183,50.114,0.298035
2025-05-05,86.8707,142.523,4.46442,4.9595,-0.000367097,55.6519,0.298035
2025-05-06,86.8905,143.736,4.46465,4.96798,0.00804063,56.8452,0.298035
2025-05-07,86.9698,143.875,4.46556,4.96894,0.00873667,56.905,0.298035
2025-05-08,88.0705,149.125,4.47814,5.00479,0.0408304,61.0547,0.298035
2025-05-09,87.8424,150.04,4.47554,5.0109,0.047719,62.1975,0.298035
2025-05-12,91.4913,157.249,4.51624,5.05783,0.0825186,65.7578,0.298035
2025-05-13,93.3753,161.923,4.53663,5.08712,0.105731,68.5473,0.298035
2025-05-14,91.7888,162.599,4.51949,5.09129,0.115006,70.81,0.298035
2025-05-15,92.1755,164.359,4.52369,5.10205,0.124519,72.1833,0.298035
2025-05-16,91.65,163.195,4.51798,5.09495,0.119119,71.5454,0.298035
2025-05-19,90.41,161.356,4.50435,5.08361,0.111843,70.9458,0.298035
2025-05-20,89.69,160.62,4.49636,5.07904,0.109655,70.93,0.298035
