Date,COP Raw Price,MPC Raw Price,COP Log Price,MPC Log Price,Residual,Spread,Beta
2025-05-21,87.15,156.7,4.46763,5.05433,0.0935091,69.55,0.298035
2025-05-22,86.13,158.89,4.45586,5.06821,0.110897,72.76,0.298035
2025-05-23,85.19,159.11,4.44488,5.0696,0.115551,73.92,0.298035
2025-05-27,85.55,162.33,4.4491,5.08963,0.13433,76.78,0.298035
2025-05-28,84.58,158.61,4.4377,5.06645,0.114545,74.03,0.298035
2025-05-29,85.6,159.92,4.44969,5.07467,0.119198,74.32,0.298035
2025-05-30,85.35,160.74,4.44676,5.07979,0.125184,75.39,0.298035
2025-06-02,86.72,158.75,4.46268,5.06733,0.107981,72.03,0.298035
2025-06-03,87.91,161.97,4.47631,5.08741,0.123999,74.06,0.298035
2025-06-04,85.95,156.95,4.45377,5.05593,0.0992355,71,0.298035
2025-06-05,85.35,158.21,4.44676,5.06392,0.109319,72.86,0.298035
2025-06-06,87.22,160.12,4.46843,5.07592,0.11486,72.9,0.298035
2025-06-09,88.04,160.27,4.47779,5.07686,0.113008,72.23,0.298035
2025-06-10,91.18,162.64,4.51284,5.09154,0.117243,71.46,0.298035
2025-06-11,93.35,164.66,4.53636,5.10388,0.122576,71.31,0.298035
2025-06-12,94.69,165.07,4.55061,5.10637,0.120815,70.38,0.298035
2025-06-13,96.96,166.15,4.5743,5.11289,0.120276,69.19,0.298035
