Date,SHEL Raw Price,EOG Raw Price,SHEL Log Price,EOG Log Price,Residual,Spread,Beta
2025-01-02,61.7661,122.706,4.12335,4.80979,0.0548865,60.9398,0.509828
2025-01-03,63.1561,124.536,4.14561,4.82459,0.0583451,61.3799,0.509828
2025-01-06,63.3812,124.359,4.14917,4.82317,0.0551077,60.9777,0.509828
2025-01-07,64.5363,125.51,4.16723,4.83239,0.0551147,60.9738,0.509828
2025-01-08,63.3518,126.396,4.1487,4.83942,0.0715892,63.0438,0.509828
2025-01-10,63.5672,129.298,4.1521,4.86212,0.0925637,65.731,0.509828
2025-01-13,63.5868,132.329,4.15241,4.88529,0.115574,68.742,0.509828
2025-01-14,64.5167,133.588,4.16692,4.89476,0.117645,69.0715,0.509828
2025-01-15,64.9572,134.857,4.17373,4.90422,0.123632,69.9002,0.509828
2025-01-16,65.0453,135.832,4.17508,4.91142,0.130139,70.7863,0.509828
2025-01-17,65.3096,135.341,4.17914,4.9078,0.124454,70.0315,0.509828
2025-01-21,65.3585,134.806,4.17989,4.90384,0.12011,69.4474,0.509828
2025-01-22,64.5558,132.804,4.16753,4.88888,0.11145,68.2484,0.509828
2025-01-23,65.2508,132.765,4.17824,4.88858,0.105692,67.5138,0.509828
2025-01-24,64.0077,130.624,4.159,4.87232,0.099246,66.6165,0.509828
2025-01-27,63.763,130.763,4.15517,4.87339,0.10226,67,0.509828
2025-01-28,63.2148,129.068,4.14654,4.86034,0.093619,65.8536,0.509828
2025-01-29,63.4106,129.049,4.14963,4.86019,0.091889,65.638,0.509828
2025-01-30,65.241,128.603,4.17809,4.85673,0.0739189,63.3617,0.509828
2025-01-31,64.458,124.649,4.16601,4.8255,0.0488485,60.1909,0.509828
2025-02-03,63.7923,125.253,4.15563,4.83034,0.0589783,61.461,0.509828
2025-02-04,65.2215,126.958,4.17779,4.84385,0.0611984,61.7363,0.509828
2025-02-05,65.1236,126.542,4.17629,4.84057,0.0586807,61.418,0.509828
2025-02-06,64.7614,125.531,4.17071,4.83255,0.0535045,60.7694,0.509828
2025-02-07,64.4971,125.352,4.16662,4.83113,0.0541674,60.8554,0.509828
2025-02-10,64.732,129.376,4.17026,4.86272,0.0839043,64.6436,0.509828
2025-02-11,65.9556,131.09,4.18898,4.87588,0.087521,65.1343,0.509828
2025-02-12,65.3487,127.671,4.17974,4.84946,0.0658087,62.3225,0.509828
2025-02-13,65.9458,127.85,4.18883,4.85085,0.0625676,61.9038,0.509828
2025-02-14,66.4168,128.137,4.19595,4.8531,0.0611848,61.7202,0.509828
2025-02-18,67.0994,129.752,4.20618,4.86563,0.0684979,62.6527,0.509828
2025-02-19,66.8818,133.31,4.20293,4.89267,0.0972025,66.4278,0.509828
2025-02-20,67.6535,134.439,4.2144,4.90111,0.0997917,66.7858,0.509828
2025-02-21,65.9913,131.873,4.18952,4.88184,0.093199,65.8814,0.509828
2025-02-24,66.1793,132.418,4.19237,4.88596,0.0958731,66.2385,0.509828
2025-02-25,66.1892,130.129,4.19252,4.86852,0.0783591,63.9395,0.509828
2025-02-26,66.6839,128.662,4.19996,4.85719,0.0632287,61.9783,0.509828
2025-02-27,66.5553,129.425,4.19803,4.8631,0.0701259,62.8699,0.509828
2025-02-28,66.7433,125.788,4.20085,4.8346,0.0401867,59.0452,0.509828
2025-03-03,65.7539,119.447,4.18592,4.78287,-0.00393213,53.6926,0.509828
2025-03-04,65.4966,121.002,4.182,4.79581,0.0110069,55.5056,0.509828
2025-03-05,65.3977,120.745,4.18049,4.79368,0.00964612,55.3469,0.509828
2025-03-06,65.3087,121.082,4.17912,4.79646,0.0131272,55.7729,0.509828
2025-03-07,66.0804,124.124,4.19087,4.82128,0.0319526,58.0433,0.509828
2025-03-10,66.0804,124.748,4.19087,4.8263,0.0369695,58.6676,0.509828
2025-03-11,66.1002,123.361,4.19117,4.81511,0.0256337,57.2605,0.509828
2025-03-12,66.6641,123.143,4.19967,4.81334,0.0195337,56.4786,0.509828
2025-03-13,67.0203,119.992,4.205,4.78742,-0.00910548,52.9713,0.509828
2025-03-14,68.0393,122.796,4.22009,4.81052,0.00630296,54.7565,0.509828
