Date,FANG Raw Price,WMB Raw Price,FANG Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,164.468,54.9218,5.10271,4.00591,-0.0366176,109.546,-0.0374388
2025-01-03,168.59,55.6294,5.12747,4.01871,-0.0228884,112.96,-0.0374388
2025-01-06,167.288,54.853,5.11972,4.00466,-0.0372345,112.435,-0.0374388
2025-01-07,170.029,54.5974,5.13597,3.99999,-0.0412955,115.432,-0.0374388
2025-01-08,168.619,55.423,5.12764,4.01499,-0.026599,113.196,-0.0374388
2025-01-10,172.347,54.5679,5.14951,3.99945,-0.0413289,117.779,-0.0374388
2025-01-13,175.148,55.0692,5.16563,4.00859,-0.0315815,120.078,-0.0374388
2025-01-14,175.217,57.0644,5.16602,4.04418,0.00402297,118.152,-0.0374388
2025-01-15,177.07,57.0152,5.17655,4.04332,0.00355543,120.055,-0.0374388
2025-01-16,176.637,58.1652,5.17409,4.06329,0.0234319,118.471,-0.0374388
2025-01-17,177.682,58.1259,5.17999,4.06261,0.0229766,119.556,-0.0374388
2025-01-21,174.497,59.5903,5.16191,4.08749,0.0471817,114.906,-0.0374388
2025-01-22,175.128,58.1848,5.16552,4.06362,0.0234486,116.943,-0.0374388
2025-01-23,174.181,58.4699,5.1601,4.06851,0.0281324,115.711,-0.0374388
2025-01-24,170.858,58.5485,5.14083,4.06986,0.028755,112.309,-0.0374388
2025-01-27,169.221,53.6146,5.1312,3.98182,-0.0596398,115.606,-0.0374388
2025-01-28,166.903,54.2534,5.11742,3.99367,-0.0483108,112.65,-0.0374388
2025-01-29,168.491,54.3812,5.12688,3.99602,-0.045604,114.11,-0.0374388
2025-01-30,168.047,55.6196,5.12425,4.01854,-0.0231857,112.428,-0.0374388
2025-01-31,162.081,54.4795,5.0881,3.99782,-0.0452504,107.602,-0.0374388
2025-02-03,162.2,55.2363,5.08883,4.01162,-0.0314273,106.963,-0.0374388
2025-02-04,163.994,54.7645,5.09983,4.00304,-0.0395929,109.23,-0.0374388
2025-02-05,162.476,55.8751,5.09053,4.02312,-0.0198642,106.601,-0.0374388
2025-02-06,157.811,55.0495,5.0614,4.00823,-0.0358407,102.762,-0.0374388
2025-02-07,155.938,54.9807,5.04946,4.00698,-0.0375384,100.957,-0.0374388
2025-02-10,159.419,55.2068,5.07153,4.01109,-0.0326087,104.212,-0.0374388
