Date,COP Raw Price,MTDR Raw Price,COP Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,98.4366,57.3103,4.58941,4.04848,0.0714791,41.1263,1.95578
2025-01-03,99.4301,58.2872,4.59945,4.06538,0.0687424,41.1429,1.95578
2025-01-06,98.3481,57.5767,4.58851,4.05312,0.0778767,40.7714,1.95578
2025-01-07,100.001,58.9286,4.60518,4.07633,0.068497,41.072,1.95578
2025-01-08,99.9514,59.2838,4.60468,4.08234,0.0754689,40.6676,1.95578
2025-01-10,100.246,60.4383,4.60763,4.10162,0.0889907,39.8081,1.95578
2025-01-13,102.519,61.1389,4.63004,4.11315,0.056683,41.3796,1.95578
2025-01-14,103.158,61.8987,4.63626,4.1255,0.0568751,41.2591,1.95578
2025-01-15,103.748,62.7769,4.64196,4.13959,0.0598064,40.9711,1.95578
2025-01-16,103.876,62.5401,4.6432,4.13581,0.0536179,41.3358,1.95578
2025-01-17,104.112,62.9249,4.64547,4.14194,0.0553129,41.187,1.95578
2025-01-21,102.568,61.8888,4.63052,4.12534,0.0679365,40.6789,1.95578
2025-01-22,101.368,62.2046,4.61875,4.13043,0.0960418,39.1631,1.95578
2025-01-23,102.282,61.3757,4.62774,4.11701,0.0650578,40.9067,1.95578
2025-01-24,100.158,60.31,4.60675,4.0995,0.0885937,39.8479,1.95578
2025-01-27,101.004,58.8102,4.61516,4.07431,0.0469618,42.1936,1.95578
2025-01-28,99.7153,59.4811,4.60232,4.08566,0.0834169,40.2341,1.95578
2025-01-29,99.8923,59.4614,4.60409,4.08533,0.0796157,40.4309,1.95578
2025-01-30,99.794,58.751,4.60311,4.07331,0.0695222,41.043,1.95578
2025-01-31,97.2072,57.2314,4.57684,4.0471,0.0946823,39.9758,1.95578
2025-02-03,96.8629,56.7775,4.5733,4.03914,0.0936582,40.0855,1.95578
2025-02-04,98.9284,57.5965,4.5944,4.05346,0.066713,41.332,1.95578
2025-02-05,98.5645,57.2018,4.59071,4.04658,0.0670446,41.3627,1.95578
2025-02-06,98.2989,55.7216,4.58801,4.02037,0.0461051,42.5773,1.95578
2025-02-07,96.7449,55.9289,4.57208,4.02408,0.0809841,40.816,1.95578
2025-02-10,97.8465,58.4747,4.5834,4.06859,0.103353,39.3718,1.95578
2025-02-11,100.04,58.5832,4.60557,4.07045,0.0618497,41.4567,1.95578
2025-02-12,96.7842,55.6723,4.57248,4.01948,0.0755911,41.1119,1.95578
2025-02-13,95.3089,56.363,4.55712,4.03181,0.117965,38.9458,1.95578
2025-02-14,95.4477,56.4321,4.55858,4.03304,0.116343,39.0156,1.95578
2025-02-18,96.6276,57.034,4.57086,4.04365,0.102923,39.5936,1.95578
2025-02-19,98.7297,55.8795,4.59239,4.0232,0.0403819,42.8502,1.95578
2025-02-20,101.139,55.7315,4.6165,4.02055,-0.00942801,45.4077,1.95578
2025-02-21,97.1135,52.4062,4.57588,3.95902,0.00849001,44.7073,1.95578
2025-02-24,97.9861,52.6923,4.58483,3.96447,-0.00355885,45.2938,1.95578
2025-02-25,96.2608,51.7648,4.56706,3.94671,0.0134252,44.496,1.95578
2025-02-26,95.3188,51.4392,4.55723,3.9404,0.026348,43.8796,1.95578
2025-02-27,96.5483,51.8141,4.57004,3.94766,0.00854401,44.7342,1.95578
2025-02-28,98.3133,51.9561,4.58816,3.9504,-0.0241504,46.3572,1.95578
2025-03-03,91.8483,47.3898,4.52014,3.85841,0.0168923,44.4585,1.95578
2025-03-04,89.8751,46.0894,4.49842,3.83058,0.0315431,43.7857,1.95578
2025-03-05,88.13,45.3846,4.47881,3.81517,0.0544832,42.7453,1.95578
2025-03-06,87.8523,44.4614,4.47566,3.79462,0.0401032,43.3909,1.95578
2025-03-07,89.8652,44.9379,4.49831,3.80528,0.00645765,44.9273,1.95578
2025-03-10,92.116,44.6898,4.52305,3.79974,-0.047463,47.4263,1.95578
2025-03-11,94.6049,46.6552,4.54971,3.84279,-0.056563,47.9496,1.95578
2025-03-12,96.9251,47.9258,4.57394,3.86965,-0.0770813,48.9993,1.95578
2025-03-13,95.3783,46.5858,4.55785,3.84129,-0.0739774,48.7925,1.95578
2025-03-14,98.115,48.2634,4.58614,3.87667,-0.0939271,49.8516,1.95578
2025-03-17,98.5215,49.9906,4.59028,3.91183,-0.0668521,48.5309,1.95578
2025-03-18,99.6816,50.1891,4.60198,3.9158,-0.0857839,49.4925,1.95578
2025-03-19,100.475,52.234,4.60991,3.95573,-0.0613508,48.2409,1.95578
2025-03-20,101.447,51.9263,4.61953,3.94983,-0.0860836,49.5203,1.95578
2025-03-21,101.06,51.1322,4.61571,3.93441,-0.0940256,49.9278,1.95578
