Date,DVN Raw Price,AR Raw Price,DVN Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,32.9309,35.57,3.49441,3.5715,-0.0520542,2.63906,0.592301
2025-01-03,33.4535,34.94,3.51016,3.55363,-0.0792494,1.48651,0.592301
2025-01-06,33.276,36.01,3.50484,3.5838,-0.0459345,2.73398,0.592301
2025-01-07,34.2028,36.68,3.53231,3.60223,-0.0437706,2.47719,0.592301
2025-01-08,34.6564,37.86,3.54548,3.6339,-0.0199096,3.20365,0.592301
2025-01-10,35.4846,38.32,3.5691,3.64597,-0.0218209,2.83544,0.592301
2025-01-13,36.2536,38.3,3.59054,3.64545,-0.0350426,2.0464,0.592301
2025-01-14,36.6578,38.59,3.60163,3.65299,-0.0340672,1.93216,0.592301
2025-01-15,37.8903,40.23,3.63469,3.69461,-0.0120332,2.33971,0.592301
2025-01-16,37.8804,40.57,3.63443,3.70303,-0.00346317,2.68957,0.592301
2025-01-17,37.417,40.46,3.62213,3.70031,0.00111218,3.04297,0.592301
2025-01-21,36.2142,39.93,3.58945,3.68713,0.00728011,3.71584,0.592301
2025-01-22,35.948,40.74,3.58207,3.70721,0.0317327,4.79205,0.592301
2025-01-23,35.9381,40.55,3.5818,3.70254,0.0272204,4.6119,0.592301
2025-01-24,35.455,40.15,3.56826,3.69262,0.0253236,4.69503,0.592301
2025-01-27,34.8338,36.35,3.55059,3.59319,-0.063636,1.51617,0.592301
2025-01-28,34.3901,37.22,3.53777,3.61685,-0.0323913,2.82985,0.592301
2025-01-29,34.5775,37.35,3.5432,3.62033,-0.0321223,2.77252,0.592301
2025-01-30,34.5578,37.85,3.54263,3.63363,-0.0184864,3.29224,0.592301
2025-01-31,33.6211,37.32,3.51515,3.61953,-0.0163125,3.6989,0.592301
2025-02-03,33.276,38.33,3.50484,3.64623,0.0165018,5.05399,0.592301
2025-02-04,33.9366,38.73,3.52449,3.65661,0.0152402,4.79339,0.592301
2025-02-05,33.6605,39.6,3.51633,3.67883,0.0422928,5.93946,0.592301
2025-02-06,32.9506,38.3,3.49501,3.64545,0.0215386,5.34935,0.592301
2025-02-07,32.6844,37.85,3.4869,3.63363,0.0145243,5.16556,0.592301
2025-02-10,33.7789,40.02,3.51983,3.68938,0.0507648,6.24115,0.592301
2025-02-11,34.6268,40.02,3.54463,3.68938,0.0360803,5.39323,0.592301
2025-02-12,33.4929,39.38,3.51133,3.67326,0.0396785,5.88707,0.592301
2025-02-13,33.7394,40.15,3.51867,3.69262,0.0546999,6.41059,0.592301
2025-02-14,34.1535,39.84,3.53087,3.68487,0.0397235,5.68649,0.592301
2025-02-18,34.3901,39.74,3.53777,3.68236,0.0331207,5.34985,0.592301
2025-02-19,37.0424,40.35,3.61206,3.69759,0.00435039,3.30763,0.592301
2025-02-20,38.0086,39.51,3.63781,3.67655,-0.031939,1.5014,0.592301
2025-02-21,36.9635,38.15,3.60993,3.64153,-0.0504526,1.18651,0.592301
2025-02-24,36.786,37.9,3.60512,3.63495,-0.0541766,1.11398,0.592301
2025-02-25,35.3761,37.35,3.56604,3.62033,-0.0456469,1.9739,0.592301
2025-02-26,34.962,37.04,3.55426,3.612,-0.0470071,2.078,0.592301
2025-02-27,35.3761,35.58,3.56604,3.57178,-0.0941961,0.203899,0.592301
2025-02-28,35.7113,36.7,3.57547,3.60278,-0.0687892,0.988674,0.592301
2025-03-03,33.9267,36.15,3.5242,3.58768,-0.0535251,2.22326,0.592301
2025-03-04,33.769,36.52,3.51954,3.59786,-0.0405816,2.75101,0.592301
2025-03-05,33.1873,36.38,3.50217,3.59402,-0.0341304,3.19272,0.592301
