Date,BP Raw Price,MUR Raw Price,BP Log Price,MUR Log Price,Residual,Spread,Beta
2025-01-02,29.0449,30.1631,3.36884,3.40662,0.262064,1.1182,1.37108
2025-01-03,29.5689,30.0559,3.38672,3.40306,0.233988,0.487007,1.37108
2025-01-06,30.1026,29.9682,3.40461,3.40014,0.206539,0.134413,1.37108
2025-01-07,30.8887,30.8256,3.43039,3.42834,0.199403,0.0631104,1.37108
2025-01-08,30.1997,31.9265,3.40783,3.46344,0.265424,1.72681,1.37108
2025-01-10,30.3646,32.3746,3.41328,3.47738,0.271894,2.00999,1.37108
2025-01-13,30.2967,32.9592,3.41104,3.49527,0.29286,2.66248,1.37108
2025-01-14,30.1706,33.0274,3.40687,3.49734,0.300648,2.85684,1.37108
2025-01-15,30.3743,32.5987,3.4136,3.48427,0.278354,2.22437,1.37108
2025-01-16,30.8402,32.1993,3.42882,3.47194,0.245158,1.35912,1.37108
2025-01-17,30.7528,31.4101,3.42598,3.44713,0.224233,0.657309,1.37108
2025-01-21,30.5878,30.6794,3.4206,3.42359,0.20807,0.0915833,1.37108
2025-01-22,30.2094,30.0656,3.40815,3.40338,0.204931,0.143732,1.37108
2025-01-23,30.5587,29.6175,3.41965,3.38836,0.174148,0.941248,1.37108
2025-01-24,30.5199,28.9745,3.41838,3.36642,0.153941,1.54544,1.37108
2025-01-27,30.5199,28.7894,3.41838,3.36001,0.147532,1.73055,1.37108
2025-01-28,30.2385,28.4484,3.40912,3.34809,0.148318,1.79012,1.37108
2025-01-29,30.2094,28.4289,3.40815,3.34741,0.148954,1.78049,1.37108
2025-01-30,30.6752,26.7629,3.42345,3.28702,0.0675849,3.91228,1.37108
2025-01-31,30.1414,25.9445,3.4059,3.25596,0.0605949,4.19692,1.37108
2025-02-03,29.9571,24.8923,3.39977,3.21456,0.0276068,5.06474,1.37108
2025-02-04,30.7043,25.7886,3.4244,3.24993,0.0292018,4.91565,1.37108
2025-02-05,30.7334,25.9932,3.42535,3.25784,0.0358046,4.74017,1.37108
2025-02-06,31.0148,25.623,3.43447,3.24349,0.00896152,5.39181,1.37108
2025-02-07,31.3157,26.1296,3.44412,3.26307,0.0153056,5.18603,1.37108
2025-02-10,33.4021,27.3085,3.50862,3.3072,-0.0290012,6.09359,1.37108
2025-02-11,33.5282,27.9905,3.51239,3.33186,-0.0095034,5.53776,1.37108
2025-02-12,33.6544,26.9675,3.51614,3.29463,-0.0518844,6.68689,1.37108
2025-02-13,33.47,27.2013,3.51065,3.30327,-0.035719,6.26869,1.37108
2025-02-14,33.9649,27.5326,3.52533,3.31537,-0.0437405,6.43236,1.37108
2025-02-18,34.2658,27.7839,3.53415,3.32446,-0.0467439,6.48186,1.37108
2025-02-19,33.5185,27.981,3.5121,3.33153,-0.0094444,5.53752,1.37108
2025-02-20,33.6253,27.7938,3.51528,3.32481,-0.0205191,5.83153,1.37108
2025-02-21,33.3497,26.9166,3.50705,3.29274,-0.0413067,6.43317,1.37108
2025-02-24,33.2021,27.3108,3.50261,3.30728,-0.0206844,5.89132,1.37108
2025-02-25,32.7003,27.2615,3.48738,3.30548,-0.00160729,5.43873,1.37108
2025-02-26,32.159,26.542,3.47069,3.27873,-0.00547078,5.61699,1.37108
2025-02-27,32.592,26.3351,3.48407,3.2709,-0.0316362,6.25694,1.37108
2025-02-28,32.592,26.1084,3.48407,3.26226,-0.0402812,6.48363,1.37108
2025-03-03,31.3029,24.1076,3.44371,3.18253,-0.0646772,7.19527,1.37108
2025-03-04,30.9388,24.0781,3.43201,3.1813,-0.0498632,6.86074,1.37108
2025-03-05,31.3718,23.674,3.44591,3.16438,-0.0858433,7.69781,1.37108
2025-03-06,31.2045,23.812,3.44056,3.17019,-0.0727009,7.39254,1.37108
2025-03-07,31.5588,24.9947,3.45185,3.21866,-0.0397042,6.56409,1.37108
2025-03-10,31.6965,25.2805,3.45621,3.23003,-0.0343062,6.41604,1.37108
2025-03-11,31.4702,24.8862,3.44904,3.21432,-0.040198,6.58394,1.37108
2025-03-12,31.6867,24.768,3.4559,3.20955,-0.0543617,6.91871,1.37108
2025-03-13,31.854,24.5216,3.46116,3.19955,-0.0715793,7.33239,1.37108
2025-03-14,32.8577,25.6649,3.49219,3.24512,-0.0685467,7.19284,1.37108
2025-03-17,33.2218,26.2759,3.50321,3.26865,-0.0601256,6.94587,1.37108
2025-03-18,33.6745,25.724,3.51674,3.24742,-0.0999105,7.95048,1.37108
2025-03-19,34.0583,26.7096,3.52807,3.28502,-0.0778497,7.34867,1.37108
2025-03-20,34.196,26.4435,3.53211,3.27501,-0.0933976,7.75254,1.37108
2025-03-21,33.9992,26.3154,3.52634,3.27015,-0.0903408,7.68386,1.37108
2025-03-24,33.5662,26.8673,3.51352,3.29091,-0.052011,6.69894,1.37108
2025-03-25,33.7434,27.3404,3.51878,3.30836,-0.0417723,6.40299,1.37108
2025-03-26,33.8713,27.9416,3.52257,3.33012,-0.0252086,5.9297,1.37108
2025-03-27,33.8615,28.0894,3.52228,3.33539,-0.0195333,5.77202,1.37108
2025-03-28,33.3202,27.9613,3.50616,3.33082,-0.0020132,5.35892,1.37108
2025-03-31,33.2513,27.9909,3.50409,3.33188,0.00188111,5.26047,1.37108
2025-04-01,33.271,28.3358,3.50469,3.34413,0.0133184,4.93519,1.37108
2025-04-02,33.271,28.7892,3.50469,3.36,0.0291917,4.48182,1.37108
