Date,BP Raw Price,MUR Raw Price,BP Log Price,MUR Log Price,Residual,Spread,Beta
2025-04-03,30.8404,25.0439,3.42883,3.22063,-0.00616435,5.79645,1.37108
2025-04-04,27.9276,21.9985,3.32961,3.09097,0.000201653,5.92912,1.37108
2025-04-07,26.7369,21.1508,3.28604,3.05168,0.0206489,5.58602,1.37108
2025-04-08,25.6938,19.3374,3.24625,2.96204,-0.0144301,6.35641,1.37108
2025-04-09,27.4552,22.8461,3.31256,3.12878,0.0613963,4.60916,1.37108
2025-04-10,25.8119,19.6823,3.25083,2.97972,-0.0030354,6.12954,1.37108
2025-04-11,26.1661,20.5693,3.26447,3.0238,0.0223564,5.59677,1.37108
2025-04-14,26.481,20.2342,3.27643,3.00738,-0.0104709,6.24677,1.37108
2025-04-15,26.7762,19.8302,3.28751,2.9872,-0.0458444,6.94608,1.37108
2025-04-16,27.2191,20.2934,3.30392,3.01029,-0.0452428,6.92568,1.37108
2025-04-17,27.8685,21.0621,3.3275,3.04748,-0.0403916,6.80639,1.37108
2025-04-21,27.6324,20.5299,3.31899,3.02188,-0.0543166,7.10244,1.37108
2025-04-22,28.4098,21.0819,3.34673,3.04841,-0.0658286,7.32791,1.37108
2025-04-23,28.1441,20.2934,3.33734,3.01029,-0.0910635,7.85069,1.37108
2025-04-24,28.5377,20.5299,3.35123,3.02188,-0.0985179,8.00777,1.37108
2025-04-25,28.7247,20.7665,3.35776,3.03334,-0.0960156,7.9582,1.37108
2025-04-28,28.6656,20.9044,3.3557,3.03996,-0.0865718,7.76117,1.37108
2025-04-29,27.6225,20.9143,3.31863,3.04043,-0.0352785,6.70822,1.37108
2025-04-30,27.0222,20.2342,3.29666,3.00738,-0.0382112,6.788,1.37108
2025-05-01,27.4355,20.8059,3.31184,3.03524,-0.0311635,6.62966,1.37108
2025-05-02,27.6717,21.4662,3.32041,3.06648,-0.0116705,6.20549,1.37108
2025-05-05,28.7148,20.3131,3.35741,3.01127,-0.117619,8.40173,1.37108
2025-05-06,27.9473,20.6975,3.33032,3.03001,-0.0617249,7.24979,1.37108
2025-05-07,27.6816,20.6975,3.32077,3.03001,-0.0486276,6.98409,1.37108
2025-05-08,28.1342,21.072,3.33699,3.04795,-0.0529337,7.06223,1.37108
2025-05-09,29.2954,21.5451,3.37743,3.07015,-0.0861833,7.75034,1.37108
2025-05-12,29.7087,22.6489,3.39144,3.12011,-0.0554258,7.05978,1.37108
2025-05-13,30.0728,22.9939,3.40362,3.13523,-0.0570113,7.07892,1.37108
2025-05-14,29.876,22.6489,3.39706,3.12011,-0.0631247,7.22707,1.37108
2025-05-15,29.63,22.235,3.38879,3.10167,-0.0702337,7.395,1.37108
2025-05-16,29.76,22.08,3.39317,3.09467,-0.0832314,7.68,1.37108
2025-05-19,29.4,21.62,3.38099,3.07362,-0.0875979,7.78,1.37108
2025-05-20,29.2,21.61,3.37417,3.07316,-0.0787017,7.59,1.37108
2025-05-21,28.88,20.93,3.36315,3.04118,-0.0955658,7.95,1.37108
2025-05-22,28.94,21,3.36522,3.04452,-0.0950725,7.94,1.37108
2025-05-23,29.09,20.89,3.37039,3.03927,-0.107413,8.2,1.37108
2025-05-27,29.15,21.43,3.37245,3.06479,-0.0847163,7.72,1.37108
2025-05-28,28.94,21.23,3.36522,3.05542,-0.0841797,7.71,1.37108
2025-05-29,29.17,21.25,3.37314,3.05636,-0.0940916,7.92,1.37108
2025-05-30,29.1,20.93,3.37074,3.04118,-0.105971,8.17,1.37108
2025-06-02,29.58,21.27,3.3871,3.0573,-0.112288,8.31,1.37108
2025-06-03,29.56,22.03,3.38642,3.09241,-0.076253,7.53,1.37108
2025-06-04,28.92,21.67,3.36453,3.07593,-0.0627183,7.25,1.37108
2025-06-05,29.05,21.54,3.36902,3.06991,-0.0748847,7.51,1.37108
2025-06-06,29.29,22.5,3.37725,3.11352,-0.042562,6.79,1.37108
2025-06-09,29.46,23.02,3.38303,3.13636,-0.0276486,6.44,1.37108
2025-06-10,30.23,23.79,3.40883,3.16927,-0.0301225,6.44,1.37108
2025-06-11,30.81,24.32,3.42784,3.1913,-0.0341455,6.49,1.37108
2025-06-12,30.92,24.41,3.4314,3.19499,-0.0353381,6.51,1.37108
2025-06-13,31.72,25.43,3.45695,3.23593,-0.0294245,6.29,1.37108
