Date,KMI Raw Price,WMB Raw Price,KMI Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,27.5159,54.9218,3.31476,4.00591,-0.0467736,27.4059,0.569252
2025-01-03,27.6725,55.6294,3.32044,4.01871,-0.0372021,27.9569,0.569252
2025-01-06,27.2418,54.853,3.30475,4.00466,-0.0423284,27.6112,0.569252
2025-01-07,27.2222,54.5974,3.30403,3.99999,-0.0465887,27.3752,0.569252
2025-01-08,27.6921,55.423,3.32115,4.01499,-0.0413218,27.7309,0.569252
2025-01-10,27.5648,54.5679,3.31654,3.99945,-0.0542484,27.0031,0.569252
2025-01-13,27.9172,55.0692,3.32924,4.00859,-0.0523358,27.152,0.569252
2025-01-14,28.5045,57.0644,3.35006,4.04418,-0.0285977,28.5598,0.569252
2025-01-15,28.8178,57.0152,3.36099,4.04332,-0.0356807,28.1975,0.569252
2025-01-16,29.4247,58.1652,3.38183,4.06329,-0.0275762,28.7405,0.569252
2025-01-17,29.6694,58.1259,3.39012,4.06261,-0.032967,28.4565,0.569252
2025-01-21,30.5601,59.5903,3.4197,4.08749,-0.024924,29.0302,0.569252
2025-01-22,30.1294,58.1848,3.4055,4.06362,-0.0407124,28.0554,0.569252
2025-01-23,29.8358,58.4699,3.39571,4.06851,-0.0302502,28.6341,0.569252
2025-01-24,29.6302,58.5485,3.38879,4.06986,-0.0249708,28.9183,0.569252
2025-01-27,26.8796,53.6146,3.29137,3.98182,-0.0575447,26.735,0.569252
2025-01-28,26.8796,54.2534,3.29137,3.99367,-0.0456996,27.3738,0.569252
2025-01-29,26.723,54.3812,3.28552,3.99602,-0.0400206,27.6582,0.569252
2025-01-30,27.5061,55.6196,3.31441,4.01854,-0.0339453,28.1135,0.569252
2025-01-31,26.8992,54.4795,3.2921,3.99782,-0.041956,27.5803,0.569252
2025-02-03,27.283,55.2363,3.30626,4.01162,-0.0362254,27.9533,0.569252
2025-02-04,27.2039,54.7645,3.30336,4.00304,-0.0431494,27.5606,0.569252
2025-02-05,27.3424,55.8751,3.30844,4.02312,-0.025963,28.5328,0.569252
2025-02-06,26.4916,55.0495,3.27683,4.00823,-0.0228557,28.5579,0.569252
2025-02-07,26.7488,54.9807,3.28649,4.00698,-0.0296063,28.2319,0.569252
2025-02-10,26.7785,55.2068,3.2876,4.01109,-0.0261344,28.4283,0.569252
2025-02-11,26.5015,54.2927,3.2772,3.99439,-0.0369111,27.7912,0.569252
2025-02-12,25.997,53.8799,3.25798,3.98676,-0.0336021,27.8829,0.569252
2025-02-13,26.274,56.4747,3.26858,4.03379,0.00739889,30.2007,0.569252
2025-02-14,26.2641,56.0029,3.2682,4.0254,-0.000775483,29.7388,0.569252
2025-02-18,26.462,56.8088,3.27571,4.03969,0.00924087,30.3469,0.569252
2025-02-19,26.6004,57.2708,3.28093,4.04779,0.0143681,30.6703,0.569252
2025-02-20,26.3037,57.4477,3.26971,4.05087,0.0238389,31.144,0.569252
2025-02-21,26.1256,56.455,3.26292,4.03344,0.0102748,30.3294,0.569252
2025-02-24,26.185,56.3469,3.26519,4.03153,0.0070662,30.1619,0.569252
2025-02-25,25.819,55.2166,3.25111,4.01126,-0.00518393,29.3977,0.569252
2025-02-26,25.8882,55.9243,3.25379,4.024,0.00602589,30.0361,0.569252
2025-02-27,25.9278,55.2952,3.25531,4.01269,-0.00615509,29.3675,0.569252
2025-02-28,26.8082,57.1823,3.28871,4.04624,0.00839399,30.3741,0.569252
2025-03-03,26.8478,56.6123,3.29018,4.03623,-0.00246476,29.7645,0.569252
2025-03-04,26.6994,55.826,3.28464,4.02224,-0.0132961,29.1266,0.569252
2025-03-05,26.4422,55.2559,3.27496,4.01198,-0.0180495,28.8138,0.569252
2025-03-06,26.0267,53.6735,3.25912,3.98292,-0.0380895,27.6469,0.569252
2025-03-07,25.8585,53.4475,3.25264,3.9787,-0.0386201,27.589,0.569252
2025-03-10,25.8585,53.0937,3.25264,3.97206,-0.0452622,27.2351,0.569252
2025-03-11,26.1256,54.0077,3.26292,3.98913,-0.0340425,27.8821,0.569252
2025-03-12,26.2344,55.3346,3.26707,4.0134,-0.0121377,29.1001,0.569252
2025-03-13,26.2542,55.2166,3.26783,4.01126,-0.0147005,28.9624,0.569252
