Date,KMI Raw Price,WMB Raw Price,KMI Log Price,WMB Log Price,Residual,Spread,Beta
2025-03-14,26.8082,56.7934,3.28871,4.03942,0.00156902,29.9852,0.569252
2025-03-17,27.4908,57.9041,3.31385,4.05879,0.0066243,30.4133,0.569252
2025-03-18,27.2237,57.914,3.30409,4.05896,0.0123533,30.6903,0.569252
2025-03-19,27.5501,58.8263,3.31601,4.07459,0.0211985,31.2762,0.569252
2025-03-20,27.7578,59.2527,3.32352,4.08181,0.0241449,31.4949,0.569252
2025-03-21,27.6292,59.104,3.31887,4.0793,0.0242746,31.4747,0.569252
2025-03-24,28.4008,60.5816,3.34642,4.10399,0.0332878,32.1807,0.569252
2025-03-25,28.5196,60.4031,3.35059,4.10104,0.0279626,31.8835,0.569252
2025-03-26,28.1733,59.4511,3.33838,4.08515,0.0190293,31.2778,0.569252
2025-03-27,27.926,58.9354,3.32956,4.07644,0.0153365,31.0094,0.569252
2025-03-28,28.0645,58.6974,3.33451,4.0724,0.00847379,30.6329,0.569252
2025-03-31,28.2228,59.2627,3.34013,4.08198,0.0148563,31.0399,0.569252
2025-04-01,28.3217,60.0659,3.34363,4.09544,0.0263277,31.7442,0.569252
2025-04-02,28.6086,61.0873,3.35371,4.1123,0.0374528,32.4788,0.569252
2025-04-03,27.4215,58.5387,3.31133,4.06969,0.0189612,31.1172,0.569252
2025-04-04,25.0177,54.1159,3.21958,3.99113,-0.00737429,29.0982,0.569252
2025-04-07,25.0968,54.3935,3.22274,3.99625,-0.00405428,29.2967,0.569252
2025-04-08,24.9385,53.8779,3.21641,3.98672,-0.00997842,28.9393,0.569252
2025-04-09,25.9673,55.9505,3.25684,4.02447,0.00475656,29.9831,0.569252
2025-04-10,25.5123,54.6117,3.23916,4.00025,-0.00939815,29.0994,0.569252
2025-04-11,26.185,55.9207,3.26519,4.02393,-0.000526289,29.7357,0.569252
2025-04-14,26.5114,56.8826,3.27758,4.04099,0.00947615,30.3712,0.569252
2025-04-15,26.9269,58.0528,3.29313,4.06135,0.0209873,31.1259,0.569252
2025-04-16,26.6598,57.7751,3.28316,4.05656,0.0218674,31.1153,0.569252
2025-04-17,26.8082,58.1321,3.28871,4.06272,0.024868,31.324,0.569252
2025-04-21,25.5123,55.9703,3.23916,4.02482,0.0151748,30.458,0.569252
2025-04-22,26.3136,57.7156,3.27008,4.05553,0.0282783,31.4021,0.569252
2025-04-23,26.3136,57.9933,3.27008,4.06033,0.0330778,31.6797,0.569252
2025-04-24,26.5807,59.1139,3.28018,4.07947,0.0464673,32.5332,0.569252
2025-04-25,26.5609,58.5387,3.27944,4.06969,0.0371136,31.9779,0.569252
2025-04-28,26.7785,59.1635,3.2876,4.0803,0.0430844,32.385,0.569252
2025-04-29,26.917,59.1734,3.29276,4.08047,0.0403155,32.2564,0.569252
2025-04-30,26.3,58.0826,3.26957,4.06187,0.0349092,31.7826,0.569252
2025-05-01,26.3,58.3106,3.26957,4.06578,0.0388284,32.0107,0.569252
2025-05-02,26.83,59.5007,3.28952,4.08599,0.0476736,32.6707,0.569252
2025-05-05,26.87,59.6693,3.29101,4.08882,0.0496549,32.7992,0.569252
2025-05-06,27.21,58.2115,3.30358,4.06408,0.0177629,31.0015,0.569252
2025-05-07,27.62,58.4495,3.31854,4.06816,0.0133296,30.8295,0.569252
2025-05-08,27.04,56.5851,3.29732,4.03575,-0.00700586,29.5451,0.569252
2025-05-09,27.31,57.1801,3.30725,4.04621,-0.00220135,29.8701,0.569252
2025-05-12,27.31,56.6546,3.30725,4.03697,-0.0114357,29.3446,0.569252
2025-05-13,27.5,57.5867,3.31419,4.05329,0.00093743,30.0867,0.569252
2025-05-14,27.46,57.7156,3.31273,4.05553,0.00400222,30.2556,0.569252
2025-05-15,28,58.2809,3.3322,4.06527,0.00266273,30.2809,0.569252
2025-05-16,28.09,58.3007,3.33541,4.06561,0.00117616,30.2107,0.569252
2025-05-19,28,58.0528,3.3322,4.06135,-0.00125849,30.0528,0.569252
2025-05-20,27.98,58.2809,3.33149,4.06527,0.00306949,30.3009,0.569252
2025-05-21,27.47,57.4479,3.31309,4.05088,-0.000855027,29.9779,0.569252
2025-05-22,27.34,57.2694,3.30835,4.04777,-0.00126672,29.9294,0.569252
2025-05-23,27.86,58.4991,3.32719,4.06901,0.00925255,30.6391,0.569252
2025-05-27,28.19,59.5998,3.33897,4.08765,0.0211912,31.4098,0.569252
2025-05-28,27.95,60.1155,3.33042,4.09627,0.0346735,32.1655,0.569252
2025-05-29,27.92,59.7684,3.32934,4.09048,0.0294944,31.8484,0.569252
2025-05-30,28.04,60.0064,3.33363,4.09445,0.0310272,31.9664,0.569252
2025-06-02,28.65,60.7601,3.35515,4.10693,0.0312578,32.1101,0.569252
2025-06-03,28.56,60.6014,3.35201,4.10432,0.0304341,32.0414,0.569252
2025-06-04,28.03,59.6197,3.33328,4.08799,0.0247642,31.5897,0.569252
2025-06-05,28.24,60.056,3.34074,4.09528,0.0278073,31.816,0.569252
2025-06-06,28.14,60.056,3.33719,4.09528,0.0298267,31.916,0.569252
2025-06-09,27.53,59.1635,3.31528,4.0803,0.0273293,31.6335,0.569252
2025-06-10,27.38,58.4693,3.30981,4.0685,0.0186369,31.0893,0.569252
2025-06-11,27.52,58.9255,3.31491,4.07627,0.0235052,31.4055,0.569252
2025-06-12,27.66,59.58,3.31999,4.08732,0.0316629,31.92,0.569252
2025-06-13,27.64,59.78,3.31926,4.09067,0.0354258,32.14,0.569252
