Date,OXY Raw Price,VLO Raw Price,OXY Log Price,VLO Log Price,Residual,Spread,Beta
2025-05-21,40.9017,127.8,3.71117,4.85047,0.0647307,86.8983,0.582931
2025-05-22,40.852,128.72,3.70996,4.85764,0.0726127,87.868,0.582931
2025-05-23,41.0608,128.55,3.71505,4.85632,0.0683189,87.4892,0.582931
2025-05-27,41.389,130.71,3.72301,4.87298,0.0803417,89.321,0.582931
2025-05-28,40.8918,126.93,3.71093,4.84364,0.0580417,86.0382,0.582931
2025-05-29,41.2299,129.16,3.71916,4.86105,0.0706578,87.9301,0.582931
2025-05-30,40.5536,128.97,3.70263,4.85958,0.0788258,88.4164,0.582931
2025-06-02,41.21,128.3,3.71868,4.85437,0.0642584,87.09,0.582931
2025-06-03,42.453,130.95,3.7484,4.87482,0.067379,88.4969,0.582931
2025-06-04,41.6774,126.54,3.72996,4.84056,0.0438713,84.8626,0.582931
2025-06-05,41.5879,126.88,3.72781,4.84324,0.0478077,85.2921,0.582931
2025-06-06,42.3039,128.35,3.74488,4.85476,0.0493762,86.0461,0.582931
2025-06-09,43,128.26,3.7612,4.85406,0.0391606,85.26,0.582931
2025-06-10,43.91,131.93,3.78214,4.88227,0.0551649,88.02,0.582931
2025-06-11,44.84,134.06,3.8031,4.89829,0.0589635,89.22,0.582931
2025-06-12,44.76,133.5,3.80131,4.8941,0.0558185,88.74,0.582931
2025-06-13,46.45,134.11,3.83838,4.89866,0.038773,87.66,0.582931
