Date,OXY Raw Price,VLO Raw Price,OXY Log Price,VLO Log Price,Residual,Spread,Beta
2025-01-02,49.2819,121.125,3.89756,4.79682,-0.0975643,71.8429,0.582931
2025-01-03,49.9745,122.216,3.91151,4.80579,-0.0967264,72.242,0.582931
2025-01-06,50.2317,120.112,3.91665,4.78842,-0.117091,69.88,0.582931
2025-01-07,51.0034,121.951,3.93189,4.80362,-0.110782,70.9475,0.582931
2025-01-08,50.6472,123.131,3.92488,4.81325,-0.0970654,72.4839,0.582931
2025-01-10,50.7561,125.059,3.92703,4.82879,-0.0827818,74.3029,0.582931
2025-01-13,52.1214,131.157,3.95358,4.8764,-0.050646,79.0355,0.582931
2025-01-14,51.5278,131.855,3.94212,4.88171,-0.0386584,80.3275,0.582931
2025-01-15,52.1412,135.642,3.95396,4.91002,-0.0172431,83.5008,0.582931
2025-01-16,51.7455,137.078,3.94634,4.92055,-0.00227088,85.3325,0.582931
2025-01-17,51.419,138.73,3.94001,4.93253,0.0134012,87.3114,0.582931
2025-01-21,50.014,137.235,3.9123,4.9217,0.0187157,87.2213,0.582931
2025-01-22,49.6677,132.859,3.90536,4.88928,-0.0096467,83.1908,0.582931
2025-01-23,49.8063,138.396,3.90814,4.93012,0.0295637,88.5897,0.582931
2025-01-24,48.7674,137.334,3.88706,4.92241,0.0341463,88.5663,0.582931
2025-01-27,49.0345,138.986,3.89252,4.93437,0.0429218,89.9516,0.582931
2025-01-28,48.4805,135.858,3.88116,4.91161,0.0267853,87.3779,0.582931
2025-01-29,48.3123,137.186,3.87769,4.92134,0.038537,88.8739,0.582931
2025-01-30,48.4013,134.281,3.87953,4.89993,0.0160581,85.8795,0.582931
2025-01-31,46.1554,131.881,3.83201,4.8819,0.0257232,85.7258,0.582931
2025-02-03,45.8784,135.034,3.82599,4.90553,0.0528609,89.1561,0.582931
2025-02-04,47.0854,141.787,3.85196,4.95433,0.0865195,94.7017,0.582931
2025-02-05,46.8579,139.358,3.84712,4.93704,0.072061,92.4999,0.582931
2025-02-06,46.4819,133.16,3.83906,4.89155,0.0312665,86.6784,0.582931
2025-02-07,46.284,131.961,3.8348,4.8825,0.0247023,85.6765,0.582931
2025-02-10,47.867,135.659,3.86843,4.91015,0.0327405,87.7921,0.582931
2025-02-11,48.0946,135.738,3.87317,4.91073,0.0305604,87.6439,0.582931
2025-02-12,47.3229,129.809,3.85699,4.86606,-0.0046775,82.4859,0.582931
2025-02-13,47.3723,129.888,3.85804,4.86667,-0.00467565,82.5158,0.582931
2025-02-14,47.5504,134.172,3.86179,4.89912,0.0255844,86.6213,0.582931
2025-02-18,48.3222,137.028,3.87789,4.92018,0.0372606,88.7054,0.582931
2025-02-19,50.4494,135.996,3.92097,4.91263,0.00459366,85.5469,0.582931
2025-02-20,51.5377,137.97,3.94231,4.92703,0.0065574,86.4318,0.582931
2025-02-21,49.8854,133.607,3.90973,4.8949,-0.0065814,83.7211,0.582931
2025-02-24,49.3313,133.924,3.89856,4.89727,0.00230137,84.5925,0.582931
2025-02-25,48.3716,132.536,3.87891,4.88685,0.00333393,84.164,0.582931
2025-02-26,48.0352,129.065,3.87193,4.86032,-0.0191328,81.0298,0.582931
2025-02-27,48.1342,128.54,3.87399,4.85624,-0.0244125,80.4054,0.582931
2025-02-28,48.3222,129.63,3.87789,4.86469,-0.0182348,81.3081,0.582931
2025-03-03,45.9575,127.32,3.82772,4.8467,-0.00697105,81.3624,0.582931
2025-03-04,46.0367,126.537,3.82944,4.84053,-0.0141458,80.4999,0.582931
2025-03-05,45.0275,120.736,3.80727,4.7936,-0.0481518,75.7083,0.582931
2025-03-06,45.2253,124.94,3.81166,4.82783,-0.016478,79.7147,0.582931
2025-03-07,46.7391,125.783,3.84458,4.83456,-0.028947,79.0438,0.582931
2025-03-10,47.0971,125.733,3.85221,4.83416,-0.0337892,78.6362,0.582931
2025-03-11,46.0231,121.995,3.82914,4.80398,-0.0505249,75.9719,0.582931
2025-03-12,45.8441,124.127,3.82525,4.8213,-0.0309288,78.2828,0.582931
2025-03-13,45.1977,124.742,3.81105,4.82625,-0.0177104,79.544,0.582931
2025-03-14,46.2717,128.054,3.83453,4.85245,-0.00519645,81.7819,0.582931
2025-03-17,46.9977,131.832,3.8501,4.88153,0.014805,84.8339,0.582931
2025-03-18,47.3855,130.919,3.85832,4.87458,0.00307024,83.5338,0.582931
2025-03-19,47.6938,132.714,3.8648,4.8882,0.012906,85.0203,0.582931
2025-03-20,47.6938,133.696,3.8648,4.89557,0.0202758,86.002,0.582931
2025-03-21,47.6739,130.404,3.86438,4.87064,-0.00441298,82.7298,0.582931
2025-03-24,47.654,130.84,3.86397,4.87398,-0.00082959,83.186,0.582931
2025-03-25,48.738,130.89,3.88646,4.87435,-0.0135616,82.1516,0.582931
2025-03-26,49.4739,133.388,3.90144,4.89327,-0.00338643,83.9145,0.582931
2025-03-27,49.2352,132.109,3.89661,4.88363,-0.0102035,82.8741,0.582931
2025-03-28,48.559,130.374,3.88278,4.87041,-0.015364,81.815,0.582931
2025-03-31,49.086,130.959,3.89357,4.87488,-0.0171796,81.873,0.582931
2025-04-01,48.917,132.615,3.89012,4.88745,-0.00260284,83.698,0.582931
2025-04-02,49.0562,132.496,3.89297,4.88655,-0.00515735,83.4398,0.582931
2025-04-03,43.6563,113.329,3.77635,4.73029,-0.0934379,69.6722,0.582931
2025-04-04,40.315,103.809,3.69672,4.64256,-0.134757,63.4943,0.582931
2025-04-07,38.5349,105.773,3.65156,4.66129,-0.0896968,67.2378,0.582931
2025-04-08,35.9096,104.295,3.581,4.64723,-0.0626314,68.3856,0.582931
2025-04-09,40.0067,114.925,3.68905,4.74428,-0.0285586,74.9183,0.582931
2025-04-10,36.2676,108.093,3.59092,4.68299,-0.0326478,71.8254,0.582931
2025-04-11,37.4609,109.769,3.6233,4.69838,-0.0361354,72.3079,0.582931
2025-04-14,37.6896,109.402,3.62939,4.69503,-0.0430317,71.7123,0.582931
2025-04-15,37.5902,106.645,3.62674,4.66951,-0.0670115,69.0551,0.582931
2025-04-16,38.2366,106.229,3.64379,4.6656,-0.0808632,67.9922,0.582931
2025-04-17,39.4896,109.134,3.67604,4.69258,-0.0726767,69.6446,0.582931
2025-04-21,38.8034,107.924,3.65851,4.68143,-0.0736055,69.121,0.582931
2025-04-22,39.7481,111.514,3.68256,4.71415,-0.0549091,71.7658,0.582931
2025-04-23,39.6089,113.537,3.67905,4.73213,-0.0348865,73.9279,0.582931
2025-04-24,40.1459,112.406,3.69252,4.72212,-0.0527428,72.2605,0.582931
2025-04-25,40.136,112.912,3.69227,4.72661,-0.0481095,72.7761,0.582931
2025-04-28,40.2851,113.785,3.69598,4.73431,-0.0425736,73.4996,0.582931
2025-04-29,40.126,114.548,3.69203,4.741,-0.0335789,74.4222,0.582931
2025-04-30,39.1913,115.113,3.66845,4.74592,-0.0149161,75.9222,0.582931
2025-05-01,40.2155,113.914,3.69425,4.73544,-0.0404332,73.6981,0.582931
2025-05-02,40.3846,117.93,3.69845,4.77009,-0.00823155,77.545,0.582931
2025-05-05,38.5946,118.336,3.65311,4.77353,0.0216378,79.7415,0.582931
2025-05-06,39.062,116.016,3.66515,4.75373,-0.00518172,76.9538,0.582931
2025-05-07,38.7935,115.966,3.65825,4.7533,-0.00158846,77.1727,0.582931
2025-05-08,41.21,120.706,3.71868,4.79336,0.00324486,79.496,0.582931
2025-05-09,41.926,121.896,3.73591,4.80317,0.00301323,79.9699,0.582931
2025-05-12,43.6166,129.392,3.77544,4.86285,0.039651,85.7757,0.582931
2025-05-13,44.1436,133.973,3.78745,4.89764,0.0674418,89.8298,0.582931
2025-05-14,43.5768,133.19,3.77452,4.89178,0.0691114,89.6133,0.582931
2025-05-15,43.1293,134.231,3.7642,4.89956,0.0829153,91.102,0.582931
2025-05-16,42.8011,134.598,3.75656,4.90229,0.0900973,91.797,0.582931
2025-05-19,42.0752,133.2,3.73946,4.89185,0.0896273,91.1248,0.582931
2025-05-20,41.6674,132.21,3.72972,4.88439,0.0878435,90.5426,0.582931
