Date,RRC Raw Price,OKE Raw Price,RRC Log Price,OKE Log Price,Residual,Spread,Beta
2025-05-08,36.6476,82.25,3.60135,4.40976,-0.0798327,45.6024,0.706075
2025-05-09,37.7751,82.3,3.63165,4.41037,-0.10062,44.5249,0.706075
2025-05-12,38.9125,85.04,3.66132,4.44312,-0.0888161,46.1275,0.706075
2025-05-13,40.5289,86.51,3.70201,4.46026,-0.100414,45.9811,0.706075
2025-05-14,40.3293,86.61,3.69708,4.46142,-0.095774,46.2807,0.706075
2025-05-15,40.2096,86.03,3.69411,4.4547,-0.100394,45.8204,0.706075
2025-05-16,40.03,85.67,3.68963,4.4505,-0.101426,45.64,0.706075
2025-05-19,39.3415,84.73,3.67228,4.43947,-0.10021,45.3885,0.706075
2025-05-20,39.6309,83.71,3.67961,4.42736,-0.117496,44.0791,0.706075
2025-05-21,39.2318,81.83,3.66949,4.40464,-0.133064,42.5982,0.706075
2025-05-22,39.3216,81.37,3.67177,4.39901,-0.140315,42.0484,0.706075
2025-05-23,39.4613,81.14,3.67532,4.39618,-0.14565,41.6787,0.706075
2025-05-27,39.7207,81.74,3.68187,4.40354,-0.142909,42.0193,0.706075
2025-05-28,39.2518,80.59,3.67,4.38937,-0.148692,41.3382,0.706075
2025-05-29,39.122,80.68,3.66669,4.39049,-0.145239,41.558,0.706075
2025-05-30,37.9547,80.84,3.63639,4.39247,-0.121868,42.8853,0.706075
2025-06-02,38.8327,82.51,3.65926,4.41292,-0.117568,43.6773,0.706075
2025-06-03,38.9524,83.24,3.66234,4.42173,-0.110934,44.2876,0.706075
2025-06-04,37.6254,80.52,3.62768,4.38851,-0.119682,42.8946,0.706075
2025-06-05,37.3161,81.19,3.61942,4.39679,-0.105568,43.8739,0.706075
2025-06-06,38.3039,81.72,3.64555,4.4033,-0.117508,43.4161,0.706075
2025-06-09,38.7229,81.12,3.65643,4.39593,-0.13256,42.3971,0.706075
2025-06-10,38.6431,81.72,3.65437,4.4033,-0.123734,43.0769,0.706075
2025-06-11,39.2418,82.9,3.66974,4.41764,-0.120252,43.6582,0.706075
2025-06-12,40.03,82.65,3.68963,4.41461,-0.137314,42.62,0.706075
2025-06-13,41.39,83.75,3.72304,4.42784,-0.147683,42.36,0.706075
