Date,RRC Raw Price,OKE Raw Price,RRC Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,35.8827,99.4384,3.58026,4.59954,0.124835,63.5557,0.706075
2025-01-03,35.7434,100.542,3.57636,4.61058,0.138625,64.7991,0.706075
2025-01-06,36.6392,99.2918,3.60112,4.59806,0.108629,62.6526,0.706075
2025-01-07,36.6093,99.282,3.6003,4.59796,0.109107,62.6727,0.706075
2025-01-08,37.3459,100.494,3.62022,4.61009,0.107171,63.1477,0.706075
2025-01-10,37.9929,99.4188,3.6374,4.59934,0.0842911,61.426,0.706075
2025-01-13,38.3114,101.598,3.64575,4.62102,0.100076,63.2864,0.706075
2025-01-14,39.4361,103.611,3.67468,4.64064,0.0992632,64.1744,0.706075
2025-01-15,40.1429,104.431,3.69244,4.64853,0.0946125,64.2885,0.706075
2025-01-16,41.0984,106.171,3.71597,4.66505,0.0945194,65.0721,0.706075
2025-01-17,40.8794,106.464,3.71063,4.6678,0.101049,65.5842,0.706075
2025-01-21,40.7799,107.333,3.70819,4.67594,0.110905,66.5534,0.706075
2025-01-22,40.8097,103.865,3.70892,4.64309,0.0775376,63.0549,0.706075
2025-01-23,40.3718,102.487,3.69813,4.62973,0.0718028,62.1151,0.706075
2025-01-24,39.9836,102.135,3.68847,4.6263,0.0751868,62.1516,0.706075
2025-01-27,37.0971,98.1486,3.61354,4.58648,0.0882801,61.0516,0.706075
2025-01-28,37.2264,98.2952,3.61702,4.58798,0.0873137,61.0687,0.706075
2025-01-29,37.4156,98.0802,3.62209,4.58579,0.0815465,60.6647,0.706075
2025-01-30,37.3957,97.5819,3.62155,4.58069,0.0768287,60.1863,0.706075
2025-01-31,36.8681,94.9438,3.60735,4.55328,0.0594529,58.0757,0.706075
2025-02-03,37.2663,96.4152,3.61809,4.56866,0.0672481,59.149,0.706075
2025-02-04,37.5649,95.8128,3.62607,4.5624,0.0553453,58.2479,0.706075
2025-02-05,38.7593,96.6917,3.65737,4.57153,0.0423758,57.9324,0.706075
2025-02-06,37.4554,94.6278,3.62315,4.54995,0.0449607,57.1724,0.706075
2025-02-07,37.0771,94.6179,3.613,4.54985,0.0520227,57.5407,0.706075
2025-02-10,39.5257,97.462,3.67695,4.57946,0.036485,57.9363,0.706075
2025-02-11,39.3864,97.6991,3.67342,4.58189,0.0414077,58.3127,0.706075
2025-02-12,38.3014,96.4054,3.64549,4.56856,0.0478,58.1039,0.706075
2025-02-13,38.6199,97.7386,3.65377,4.5823,0.0556869,59.1186,0.706075
2025-02-14,38.4906,96.6325,3.65041,4.57092,0.0466756,58.1419,0.706075
2025-02-18,38.7394,97.4127,3.65686,4.57896,0.0501666,58.6733,0.706075
2025-02-19,39.7148,97.9657,3.68173,4.58462,0.038269,58.2508,0.706075
2025-02-20,39.4859,97.4028,3.67594,4.57885,0.0365884,57.9169,0.706075
2025-02-21,38.3014,96.8794,3.64549,4.57347,0.0527049,58.5779,0.706075
2025-02-24,37.8137,96.8991,3.63267,4.57367,0.0619577,59.0854,0.706075
2025-02-25,37.326,94.5784,3.61969,4.54943,0.0468821,57.2524,0.706075
2025-02-26,38.3711,94.5685,3.6473,4.54932,0.0272793,56.1974,0.706075
2025-02-27,36.2311,95.4375,3.58992,4.55847,0.0769467,59.2065,0.706075
2025-02-28,36.9477,99.1409,3.6095,4.59654,0.101187,62.1931,0.706075
2025-03-03,36.6292,95.5561,3.60085,4.55971,0.0704711,58.9268,0.706075
2025-03-04,37.6843,92.623,3.62924,4.52854,0.019245,54.9387,0.706075
2025-03-05,37.3558,90.7269,3.62049,4.50785,0.0047427,53.3711,0.706075
2025-03-06,35.2158,88.6234,3.5615,4.4844,0.0229388,53.4076,0.706075
2025-03-07,35.0566,88.4555,3.55696,4.4825,0.024243,53.399,0.706075
2025-03-10,36.2908,90.2825,3.59156,4.50294,0.0202554,53.9917,0.706075
2025-03-11,37.2762,91.4676,3.61836,4.51598,0.0143798,54.1913,0.706075
2025-03-12,37.4255,91.8132,3.62235,4.51976,0.0153293,54.3877,0.706075
2025-03-13,37.2862,92.3366,3.61862,4.52544,0.0236477,55.0504,0.706075
2025-03-14,38.234,95.2302,3.64373,4.5563,0.0367786,56.9961,0.706075
2025-03-17,38.8826,97.2152,3.66055,4.57693,0.0455321,58.3326,0.706075
2025-03-18,39.5511,96.7905,3.67759,4.57255,0.0291182,57.2394,0.706075
2025-03-19,40.4191,98.8051,3.6993,4.59315,0.0343898,58.386,0.706075
2025-03-20,40.1797,99.3977,3.69336,4.59913,0.0445643,59.218,0.706075
2025-03-21,39.7905,98.104,3.68363,4.58603,0.0383349,58.3134,0.706075
2025-03-24,40.5788,101.027,3.70324,4.61539,0.0538462,60.4484,0.706075
2025-03-25,40.05,101.106,3.69013,4.61617,0.0638897,61.0562,0.706075
2025-03-26,39.7506,100,3.68263,4.60517,0.0581867,60.2494,0.706075
2025-03-27,38.703,97.4522,3.65592,4.57936,0.051236,58.7492,0.706075
2025-03-28,39.1021,97.2547,3.66618,4.57733,0.0419635,58.1526,0.706075
2025-03-31,39.8404,97.9855,3.68488,4.58482,0.0362416,58.145,0.706075
2025-04-01,40.1298,98.262,3.69212,4.58764,0.0339501,58.1322,0.706075
2025-04-02,40.5189,99.1211,3.70177,4.59634,0.0358422,58.6022,0.706075
2025-04-03,37.9846,91.5466,3.63718,4.51685,0.00195117,53.562,0.706075
2025-04-04,33.375,79.8539,3.50781,4.3802,-0.0433498,46.4789,0.706075
2025-04-07,33.4348,79.9033,3.5096,4.38082,-0.0439969,46.4684,0.706075
2025-04-08,32.028,77.7306,3.46661,4.35325,-0.0412114,45.7027,0.706075
2025-04-09,34.4825,83.8041,3.54045,4.42848,-0.0181161,49.3216,0.706075
2025-04-10,32.1777,80.2292,3.47127,4.38489,-0.0128657,48.0515,0.706075
2025-04-11,33.3151,81.5327,3.50601,4.401,-0.0212761,48.2176,0.706075
2025-04-14,33.3849,82.3425,3.5081,4.41089,-0.0128715,48.9576,0.706075
2025-04-15,33.2652,83.1128,3.50451,4.4202,-0.00102343,49.8476,0.706075
2025-04-16,34.0235,83.7449,3.52705,4.42777,-0.00936221,49.7214,0.706075
2025-04-17,34.1033,85.1571,3.52939,4.4445,0.00570583,51.0538,0.706075
2025-04-21,32.5468,80.8019,3.48268,4.392,-0.0138062,48.2551,0.706075
2025-04-22,33.2153,83.0042,3.50301,4.41889,-0.00127165,49.7889,0.706075
2025-04-23,33.9736,83.6066,3.52558,4.42612,-0.00997846,49.633,0.706075
2025-04-24,33.784,85.2065,3.51999,4.44508,0.012927,51.4224,0.706075
2025-04-25,34.712,85.2361,3.54708,4.44542,-0.00585694,50.5241,0.706075
2025-04-28,35.1709,86.7767,3.56022,4.46334,0.00278142,51.6057,0.706075
2025-04-29,35.0213,86.7668,3.55596,4.46322,0.00567859,51.7455,0.706075
2025-04-30,33.8539,81.1377,3.52205,4.39615,-0.0374604,47.2838,0.706075
2025-05-01,34.1432,79.923,3.53056,4.38106,-0.0585537,45.7798,0.706075
2025-05-02,34.9315,81.75,3.55339,4.40367,-0.0520668,46.8185,0.706075
2025-05-05,34.9814,80.15,3.55482,4.3839,-0.0728405,45.1686,0.706075
2025-05-06,34.9514,79.29,3.55396,4.37311,-0.0830238,44.3386,0.706075
2025-05-07,35.7396,80.25,3.57626,4.38515,-0.0867357,44.5104,0.706075
