Date,XOM Raw Price,PSX Raw Price,XOM Log Price,PSX Log Price,Residual,Spread,Beta
2025-01-02,105.388,112.306,4.65765,4.72123,0.000352355,6.91811,1.51136
2025-01-03,105.928,113.955,4.66276,4.73581,0.00720302,8.02705,1.51136
2025-01-06,105.81,113.052,4.66165,4.72785,0.000929131,7.24184,1.51136
2025-01-07,106.802,113.072,4.67098,4.72802,-0.0129994,6.26955,1.51136
2025-01-08,105.015,114.112,4.6541,4.73718,0.0216683,9.09747,1.51136
2025-01-10,104.632,111.835,4.65045,4.71702,0.0070317,7.20313,1.51136
2025-01-13,107.333,113.847,4.67593,4.73486,-0.0136507,6.51469,1.51136
2025-01-14,107.755,115.114,4.67986,4.74592,-0.00852434,7.35867,1.51136
2025-01-15,109.513,116.812,4.69604,4.76056,-0.0183375,7.29891,1.51136
2025-01-16,109.326,117.43,4.69434,4.76584,-0.0104798,8.10394,1.51136
2025-01-17,110.308,118.314,4.70328,4.77334,-0.0165009,8.00529,1.51136
2025-01-21,109.474,118.274,4.69568,4.77301,-0.00535189,8.8008,1.51136
2025-01-22,107.568,116.37,4.67813,4.75677,0.00495117,8.80174,1.51136
2025-01-23,108.177,120.365,4.68377,4.79053,0.0301754,12.188,1.51136
2025-01-24,106.714,119.619,4.67015,4.78431,0.0445418,12.9053,1.51136
2025-01-27,108.197,120.817,4.68395,4.79427,0.0336455,12.6199,1.51136
2025-01-28,106.105,118.952,4.66443,4.77872,0.0475943,12.8467,1.51136
2025-01-29,106.724,119.914,4.67024,4.78677,0.0468615,13.1899,1.51136
2025-01-30,107.608,118.618,4.67849,4.77591,0.0235317,11.0103,1.51136
2025-01-31,104.917,115.702,4.65317,4.75102,0.0369216,10.7859,1.51136
2025-02-03,105.172,115.693,4.6556,4.75094,0.033163,10.5207,1.51136
2025-02-04,107.991,121.337,4.68204,4.79857,0.040826,13.3464,1.51136
2025-02-05,107.912,121.052,4.68132,4.79622,0.0395771,13.1403,1.51136
2025-02-06,106.488,118.598,4.66803,4.77574,0.0391733,12.1103,1.51136
2025-02-07,106.94,118.088,4.67227,4.77143,0.0284619,11.1481,1.51136
