Date,XOM Raw Price,PSX Raw Price,XOM Log Price,PSX Log Price,Residual,Spread,Beta
2025-02-10,108.982,121.435,4.69119,4.79938,0.0278159,12.4526,1.51136
2025-02-11,109.67,127.168,4.69748,4.84551,0.064439,17.4978,1.51136
2025-02-12,106.37,122.741,4.66693,4.81007,0.0751758,16.3703,1.51136
2025-02-13,107.143,123.231,4.67417,4.81406,0.0682247,16.0883,1.51136
2025-02-14,107.252,125.685,4.67518,4.83378,0.0864061,18.4333,1.51136
2025-02-18,109.135,127.884,4.69258,4.85113,0.07745,18.7494,1.51136
2025-02-19,109.293,127.57,4.69404,4.84867,0.0727968,18.2768,1.51136
2025-02-20,110.978,129.131,4.70933,4.86083,0.0618409,18.153,1.51136
2025-02-21,109.68,126.412,4.69757,4.83955,0.0583411,16.732,1.51136
2025-02-24,110.255,125.867,4.70279,4.83523,0.0461239,15.6126,1.51136
2025-02-25,108.729,125.055,4.68885,4.82875,0.0607139,16.3264,1.51136
2025-02-26,108.461,124.243,4.68639,4.82224,0.0579217,15.7817,1.51136
2025-02-27,109.145,126.194,4.69268,4.83782,0.0640071,17.0492,1.51136
2025-02-28,110.314,128.452,4.70333,4.85556,0.0656393,18.1382,1.51136
2025-03-03,106.777,123.797,4.67074,4.81864,0.0779844,17.0205,1.51136
2025-03-04,106.559,121.123,4.66869,4.79681,0.0592347,14.5643,1.51136
2025-03-05,104.478,118.597,4.64897,4.77573,0.0679673,14.1194,1.51136
2025-03-06,106.638,121.618,4.66944,4.80089,0.0621912,14.9802,1.51136
2025-03-07,108.025,124.976,4.68236,4.82812,0.0698911,16.9506,1.51136
2025-03-10,110.78,124.926,4.70754,4.82772,0.0314383,14.1465,1.51136
2025-03-11,108.164,122.371,4.68365,4.80706,0.0468879,14.207,1.51136
2025-03-12,108.134,122.797,4.68337,4.81053,0.0507777,14.6626,1.51136
2025-03-13,107.678,121.331,4.67915,4.79852,0.0451525,13.6526,1.51136
2025-03-14,110.879,125.52,4.70844,4.83247,0.0348329,14.6417,1.51136
2025-03-17,112.722,127.957,4.72492,4.85169,0.0291429,15.2352,1.51136
2025-03-18,112.603,127.184,4.72387,4.84564,0.0246822,14.5815,1.51136
2025-03-19,114.357,127.769,4.73932,4.85022,0.00590756,13.412,1.51136
2025-03-20,114.842,127.591,4.74356,4.84883,-0.00189193,12.7482,1.51136
2025-03-21,114.446,124.292,4.7401,4.82264,-0.0228568,9.84636,1.51136
2025-03-24,114.743,125.263,4.7427,4.83042,-0.0189983,10.5197,1.51136
2025-03-25,115.526,124.292,4.7495,4.82264,-0.0370529,8.76631,1.51136
2025-03-26,117.191,125.362,4.7638,4.83121,-0.0501059,8.17133,1.51136
2025-03-27,116.814,123.53,4.76058,4.81648,-0.0599664,6.71552,1.51136
2025-03-28,116.656,120.598,4.75923,4.79246,-0.0819333,3.94231,1.51136
2025-03-31,117.845,122.301,4.76937,4.80649,-0.0832329,4.45685,1.51136
2025-04-01,117.954,123.163,4.77029,4.81351,-0.0776092,5.20954,1.51136
2025-04-02,117.587,122.876,4.76718,4.81118,-0.075239,5.28894,1.51136
2025-04-03,111.404,106.157,4.71316,4.66492,-0.139858,5.24691,1.51136
2025-04-04,103.388,97.8669,4.63849,4.58361,-0.108307,5.52085,1.51136
2025-04-07,102.001,95.6681,4.62498,4.56089,-0.110614,6.33244,1.51136
2025-04-08,99.8504,91.9836,4.60367,4.52161,-0.117688,7.86673,1.51136
2025-04-09,104.834,102.146,4.65238,4.6264,-0.0865165,2.68876,1.51136
2025-04-10,99.018,96.0643,4.5953,4.56502,-0.0616299,2.95373,1.51136
2025-04-11,102.199,96.4506,4.62692,4.56903,-0.105402,5.74815,1.51136
2025-04-14,102.446,96.8864,4.62934,4.57354,-0.104553,5.56007,1.51136
2025-04-15,102.159,95.2917,4.62653,4.55694,-0.116903,6.86735,1.51136
2025-04-16,103.239,95.6483,4.63705,4.56068,-0.129063,7.59084,1.51136
2025-04-17,105.944,98.1542,4.66291,4.58654,-0.142292,7.79007,1.51136
2025-04-21,104.389,96.0841,4.64812,4.56522,-0.141251,8.30444,1.51136
2025-04-22,107.312,99.937,4.67574,4.60454,-0.143674,7.37466,1.51136
2025-04-23,106.39,101.799,4.66711,4.623,-0.112179,4.59109,1.51136
2025-04-24,107.639,103.691,4.67878,4.64141,-0.111399,3.94781,1.51136
2025-04-25,107.579,102.978,4.67823,4.63451,-0.117465,4.60149,1.51136
2025-04-28,107.639,104.77,4.67878,4.65177,-0.101041,2.86822,1.51136
2025-04-29,107.371,104.988,4.67629,4.65385,-0.0952019,2.38278,1.51136
2025-04-30,104.666,103.067,4.65077,4.63538,-0.0751087,1.59918,1.51136
2025-05-01,104.815,102.473,4.65219,4.62959,-0.083036,2.34209,1.51136
2025-05-02,105.241,106.127,4.65625,4.66464,-0.0541226,0.88662,1.51136
2025-05-05,102.328,105.88,4.62818,4.6623,-0.0140327,3.55218,1.51136
2025-05-06,103.754,104.384,4.64203,4.64808,-0.0491875,0.62973,1.51136
2025-05-07,103.655,104.543,4.64107,4.64959,-0.0462265,0.887291,1.51136
2025-05-08,105.102,108.148,4.65493,4.6835,-0.0332693,3.04588,1.51136
2025-05-09,106.331,109.861,4.66655,4.69922,-0.0351154,3.53068,1.51136
2025-05-12,108.164,117.547,4.68365,4.76684,0.00667267,9.38349,1.51136
2025-05-13,108.461,124.372,4.68639,4.82327,0.0589574,15.9105,1.51136
2025-05-14,107.49,123.51,4.6774,4.81632,0.065597,16.0198,1.51136
2025-05-15,108.58,123.579,4.68749,4.81688,0.0509095,14.9992,1.51136
2025-05-16,108.19,124.53,4.68389,4.82455,0.0640125,16.34,1.51136
2025-05-19,106.47,122.18,4.66786,4.8055,0.0691817,15.71,1.51136
2025-05-20,104.95,120.9,4.65348,4.79496,0.0803823,15.95,1.51136
2025-05-21,103.66,111.78,4.64112,4.71653,0.0206431,8.12,1.51136
2025-05-22,102.97,112.98,4.63444,4.72721,0.0414151,10.01,1.51136
2025-05-23,103.03,113.13,4.63502,4.72854,0.0418615,10.1,1.51136
2025-05-27,103.52,114.33,4.63976,4.73909,0.0452422,10.81,1.51136
2025-05-28,102.11,112.77,4.62605,4.72535,0.0522304,10.66,1.51136
2025-05-29,102.69,114.68,4.63171,4.74215,0.0604653,11.99,1.51136
2025-05-30,102.3,113.48,4.62791,4.73163,0.0556971,11.18,1.51136
2025-06-02,103.05,114.28,4.63521,4.73865,0.0516821,11.23,1.51136
2025-06-03,103.8,115.97,4.64247,4.75333,0.0554022,12.17,1.51136
2025-06-04,102.3,112.48,4.62791,4.72278,0.0468459,10.18,1.51136
2025-06-05,101.83,112.23,4.6233,4.72055,0.0515805,10.4,1.51136
2025-06-06,104.27,114.29,4.64698,4.73874,0.033982,10.02,1.51136
2025-06-09,104.97,116.1,4.65367,4.75445,0.0395824,11.13,1.51136
2025-06-10,107.22,118.7,4.67488,4.7766,0.0296766,11.48,1.51136
2025-06-11,109.31,120.95,4.69419,4.79538,0.0192777,11.64,1.51136
2025-06-12,109.73,121.52,4.69802,4.80008,0.0181834,11.79,1.51136
2025-06-13,112.12,122.15,4.71957,4.80525,-0.00921073,10.03,1.51136
