Date,APA Raw Price,RRC Raw Price,APA Log Price,RRC Log Price,Residual,Spread,Beta
2025-02-21,22.4224,38.3014,3.11006,3.64549,-0.0217515,15.879,0.266816
2025-02-24,22.5011,37.8137,3.11357,3.63267,-0.0355022,15.3126,0.266816
2025-02-25,22.019,37.326,3.09191,3.61969,-0.0427053,15.307,0.266816
2025-02-26,21.655,38.3711,3.07524,3.6473,-0.0106421,16.7161,0.266816
2025-02-27,20.0906,36.2311,3.00025,3.58992,-0.048023,16.1404,0.266816
2025-02-28,20.3661,36.9477,3.01387,3.6095,-0.0320697,16.5816,0.266816
2025-03-03,18.5853,36.6292,2.92237,3.60085,-0.0163138,18.0439,0.266816
2025-03-04,18.2705,37.6843,2.90529,3.62924,0.0166422,19.4138,0.266816
2025-03-05,18.241,37.3558,2.90367,3.62049,0.00831899,19.1149,0.266816
2025-03-06,18.4476,35.2158,2.91493,3.5615,-0.0536801,16.7682,0.266816
2025-03-07,18.5361,35.0566,2.91972,3.55696,-0.0594903,16.5204,0.266816
2025-03-10,18.7132,36.2908,2.92923,3.59156,-0.0274258,17.5776,0.266816
2025-03-11,18.8903,37.2762,2.93865,3.61836,-0.00314795,18.3859,0.266816
2025-03-12,19.3331,37.4255,2.96182,3.62235,-0.00533206,18.0925,0.266816
2025-03-13,18.7329,37.2862,2.93028,3.61862,-0.000648308,18.5533,0.266816
2025-03-14,19.2937,38.234,2.95978,3.64373,0.0165849,18.9403,0.266816
2025-03-17,19.7069,38.8826,2.98097,3.66055,0.0277509,19.1756,0.266816
2025-03-18,19.8447,39.5511,2.98794,3.67759,0.0429391,19.7064,0.266816
2025-03-19,20.4744,40.4191,3.01917,3.6993,0.0563146,19.9448,0.266816
2025-03-20,20.2382,40.1797,3.00757,3.69336,0.0534676,19.9414,0.266816
2025-03-21,20.2776,39.7905,3.00952,3.68363,0.0432174,19.513,0.266816
2025-03-24,20.5039,40.5788,3.02061,3.70324,0.059872,20.0749,0.266816
2025-03-25,20.5531,40.05,3.02301,3.69013,0.0461153,19.4969,0.266816
2025-03-26,20.7597,39.7506,3.03301,3.68263,0.0359447,18.991,0.266816
2025-03-27,20.8581,38.703,3.03774,3.65592,0.00797415,17.8449,0.266816
2025-03-28,20.5826,39.1021,3.02445,3.66618,0.0217807,18.5195,0.266816
2025-03-31,20.681,39.8404,3.02921,3.68488,0.0392147,19.1595,0.266816
2025-04-01,20.7892,40.1298,3.03443,3.69212,0.0450585,19.3406,0.266816
2025-04-02,20.8974,40.5189,3.03963,3.70177,0.0533231,19.6215,0.266816
2025-04-03,17.4539,37.9846,2.85956,3.63718,0.0367793,20.5307,0.266816
2025-04-04,14.9352,33.375,2.70372,3.50781,-0.051014,18.4398,0.266816
2025-04-07,14.7187,33.4348,2.68912,3.5096,-0.0453267,18.7161,0.266816
2025-04-08,13.8037,32.028,2.62494,3.46661,-0.0711898,18.2243,0.266816
2025-04-09,16.4405,34.4825,2.79975,3.54045,-0.0439907,18.042,0.266816
2025-04-10,14.3645,32.1777,2.66476,3.47127,-0.0771533,17.8131,0.266816
2025-04-11,14.7974,33.3151,2.69445,3.50601,-0.0503371,18.5177,0.266816
2025-04-14,14.9548,33.3849,2.70503,3.5081,-0.0510664,18.4301,0.266816
2025-04-15,14.6498,33.2652,2.68443,3.50451,-0.0491613,18.6154,0.266816
2025-04-16,15.1221,34.0235,2.71616,3.52705,-0.0350873,18.9014,0.266816
2025-04-17,15.8502,34.1033,2.76318,3.52939,-0.0452903,18.2532,0.266816
2025-04-21,15.25,32.5468,2.72458,3.48268,-0.0817063,17.2968,0.266816
2025-04-22,15.86,33.2153,2.7638,3.50301,-0.0718395,17.3553,0.266816
2025-04-23,15.65,33.9736,2.75047,3.52558,-0.0457101,18.3236,0.266816
2025-04-24,16.26,33.784,2.78871,3.51999,-0.061508,17.524,0.266816
2025-04-25,16.35,34.712,2.79423,3.54708,-0.0358852,18.362,0.266816
2025-04-28,16.55,35.1709,2.80639,3.56022,-0.0259936,18.6209,0.266816
2025-04-29,16.24,35.0213,2.78748,3.55596,-0.0252129,18.7813,0.266816
2025-04-30,15.54,33.8539,2.74342,3.52205,-0.0473585,18.3139,0.266816
2025-05-01,16.22,34.1432,2.78625,3.53056,-0.0502749,17.9232,0.266816
2025-05-02,16.46,34.9315,2.80093,3.55339,-0.0313705,18.4715,0.266816
2025-05-05,15.5,34.9814,2.74084,3.55482,-0.0139095,19.4814,0.266816
2025-05-06,15.73,34.9514,2.75557,3.55396,-0.0186958,19.2214,0.266816
2025-05-07,15.48,35.7396,2.73955,3.57626,0.00788052,20.2596,0.266816
2025-05-08,16.18,36.6476,2.78378,3.60135,0.0211674,20.4676,0.266816
2025-05-09,16.72,37.7751,2.81661,3.63165,0.0427093,21.0551,0.266816
2025-05-12,17.71,38.9125,2.87413,3.66132,0.0570275,21.2025,0.266816
2025-05-13,18.46,40.5289,2.91561,3.70201,0.0866597,22.0689,0.266816
2025-05-14,18.17,40.3293,2.89977,3.69708,0.0859487,22.1593,0.266816
2025-05-15,17.76,40.2096,2.87695,3.69411,0.089065,22.4496,0.266816
2025-05-16,17.59,40.03,2.86733,3.68963,0.0871548,22.44,0.266816
2025-05-19,17.32,39.3415,2.85186,3.67228,0.0739341,22.0215,0.266816
2025-05-20,17.25,39.6309,2.84781,3.67961,0.0823425,22.3809,0.266816
2025-05-21,16.71,39.2318,2.81601,3.66949,0.080707,22.5218,0.266816
2025-05-22,16.74,39.3216,2.8178,3.67177,0.0825147,22.5816,0.266816
2025-05-23,16.85,39.4613,2.82435,3.67532,0.0843132,22.6113,0.266816
2025-05-27,17.31,39.7207,2.85128,3.68187,0.0836794,22.4107,0.266816
2025-05-28,17.18,39.2518,2.84375,3.67,0.0738145,22.0718,0.266816
2025-05-29,17.34,39.122,2.85302,3.66669,0.068031,21.782,0.266816
2025-05-30,17.01,37.9547,2.8338,3.63639,0.0428642,20.9447,0.266816
2025-06-02,17.33,38.8327,2.85244,3.65926,0.0607614,21.5027,0.266816
2025-06-03,18.27,38.9524,2.90526,3.66234,0.0497463,20.6824,0.266816
2025-06-04,17.92,37.6254,2.88592,3.62768,0.0202458,19.7054,0.266816
2025-06-05,17.85,37.3161,2.882,3.61942,0.0130356,19.4661,0.266816
2025-06-06,18.5,38.3039,2.91777,3.64555,0.0296185,19.8039,0.266816
2025-06-09,18.63,38.7229,2.92477,3.65643,0.0386312,20.0929,0.266816
2025-06-10,19.28,38.6431,2.95907,3.65437,0.0274172,19.3631,0.266816
2025-06-11,19.61,39.2418,2.97604,3.66974,0.0382622,19.6318,0.266816
2025-06-12,19.95,40.03,2.99323,3.68963,0.053563,20.08,0.266816
2025-06-13,21.01,41.39,3.045,3.72304,0.0731602,20.38,0.266816
