Date,APA Raw Price,RRC Raw Price,APA Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,22.7603,35.8827,3.12502,3.58026,-0.0909734,13.1225,0.266816
2025-01-03,22.7992,35.7434,3.12673,3.57636,-0.0953206,12.9442,0.266816
2025-01-06,23.0328,36.6392,3.13692,3.60112,-0.0732871,13.6064,0.266816
2025-01-07,23.0328,36.6093,3.13692,3.6003,-0.0741025,13.5765,0.266816
2025-01-08,23.0523,37.3459,3.13777,3.62022,-0.054408,14.2936,0.266816
2025-01-10,23.0523,37.9929,3.13777,3.6374,-0.0372323,14.9406,0.266816
2025-01-13,23.7337,38.3114,3.1669,3.64575,-0.0366565,14.5776,0.266816
2025-01-14,24.1913,39.4361,3.18599,3.67468,-0.0128158,15.2449,0.266816
2025-01-15,24.7754,40.1429,3.20985,3.69244,-0.00141989,15.3675,0.266816
2025-01-16,24.4833,41.0984,3.19799,3.71597,0.0252687,16.6151,0.266816
2025-01-17,23.7532,40.8794,3.16772,3.71063,0.0280041,17.1262,0.266816
2025-01-21,23.0718,40.7799,3.13861,3.70819,0.0333328,17.7081,0.266816
2025-01-22,22.9832,40.8097,3.13476,3.70892,0.0350907,17.8265,0.266816
2025-01-23,23.1308,40.3718,3.14117,3.69813,0.0225932,17.241,0.266816
2025-01-24,22.9439,39.9836,3.13305,3.68847,0.0150962,17.0397,0.266816
2025-01-27,23.0029,37.0971,3.13562,3.61354,-0.0605209,14.0942,0.266816
2025-01-28,22.9635,37.2264,3.13391,3.61702,-0.0565821,14.2629,0.266816
2025-01-29,22.8061,37.4156,3.12703,3.62209,-0.0496794,14.6094,0.266816
2025-01-30,22.6192,37.3957,3.1188,3.62155,-0.0480155,14.7765,0.266816
2025-01-31,21.5763,36.8681,3.0716,3.60735,-0.0496283,15.2918,0.266816
2025-02-03,21.1237,37.2663,3.0504,3.61809,-0.0332308,16.1426,0.266816
2025-02-04,22.0289,37.5649,3.09235,3.62607,-0.0364449,15.536,0.266816
2025-02-05,21.8321,38.7593,3.08338,3.65737,-0.00274947,16.9272,0.266816
2025-02-06,21.291,37.4554,3.05828,3.62315,-0.0302732,16.1644,0.266816
2025-02-07,21.3205,37.0771,3.05967,3.613,-0.0407926,15.7567,0.266816
2025-02-10,22.6192,39.5257,3.1188,3.67695,0.00738157,16.9065,0.266816
2025-02-11,22.934,39.3864,3.13262,3.67342,0.000161538,16.4523,0.266816
2025-02-12,22.0092,38.3014,3.09146,3.64549,-0.0167884,16.2922,0.266816
2025-02-13,22.1273,38.6199,3.09681,3.65377,-0.00993431,16.4927,0.266816
2025-02-14,22.7668,38.4906,3.1253,3.65041,-0.0208926,15.7238,0.266816
2025-02-18,23.1898,38.7394,3.14371,3.65686,-0.019361,15.5496,0.266816
2025-02-19,23.2095,39.7148,3.14456,3.68173,0.00528079,16.5053,0.266816
2025-02-20,23.239,39.4859,3.14583,3.67594,-0.000839467,16.2469,0.266816
