Date,EOG Raw Price,PSX Raw Price,EOG Log Price,PSX Log Price,Residual,Spread,Beta
2025-01-02,122.706,112.306,4.80979,4.72123,-0.0458497,10.3998,0.846363
2025-01-03,124.536,113.955,4.82459,4.73581,-0.0438025,10.5808,0.846363
2025-01-06,124.359,113.052,4.82317,4.72785,-0.0505543,11.3068,0.846363
2025-01-07,125.51,113.072,4.83239,4.72802,-0.0581794,12.4383,0.846363
2025-01-08,126.396,114.112,4.83942,4.73718,-0.05497,12.2834,0.846363
2025-01-10,129.298,111.835,4.86212,4.71702,-0.0943452,17.4633,0.846363
2025-01-13,132.329,113.847,4.88529,4.73486,-0.0961198,18.4815,0.846363
2025-01-14,133.588,115.114,4.89476,4.74592,-0.0930759,18.4747,0.846363
2025-01-15,134.857,116.812,4.90422,4.76056,-0.0864348,18.0457,0.846363
2025-01-16,135.832,117.43,4.91142,4.76584,-0.0872461,18.4014,0.846363
2025-01-17,135.341,118.314,4.9078,4.77334,-0.0766892,17.0275,0.846363
2025-01-21,134.806,118.274,4.90384,4.77301,-0.0736682,16.5316,0.846363
2025-01-22,132.804,116.37,4.88888,4.75677,-0.0772386,16.4343,0.846363
2025-01-23,132.765,120.365,4.88858,4.79053,-0.0432306,12.3995,0.846363
2025-01-24,130.624,119.619,4.87232,4.78431,-0.0356919,11.0051,0.846363
2025-01-27,130.763,120.817,4.87339,4.79427,-0.0266286,9.94625,0.846363
2025-01-28,129.068,118.952,4.86034,4.77872,-0.0311468,10.1168,0.846363
2025-01-29,129.049,119.914,4.86019,4.78677,-0.0229621,9.13501,0.846363
2025-01-30,128.603,118.618,4.85673,4.77591,-0.0308969,9.98483,0.846363
2025-01-31,124.649,115.702,4.8255,4.75102,-0.0293527,8.94641,0.846363
2025-02-03,125.253,115.693,4.83034,4.75094,-0.0335319,9.56068,0.846363
2025-02-04,126.958,121.337,4.84385,4.79857,0.00266278,5.62082,0.846363
2025-02-05,126.542,121.052,4.84057,4.79622,0.00309297,5.4893,0.846363
2025-02-06,125.531,118.598,4.83255,4.77574,-0.0106004,6.93259,0.846363
2025-02-07,125.352,118.088,4.83113,4.77143,-0.0137101,7.26466,0.846363
2025-02-10,129.376,121.435,4.86272,4.79938,-0.0124957,7.94053,0.846363
2025-02-11,131.09,127.168,4.87588,4.84551,0.0224899,3.92223,0.846363
2025-02-12,127.671,122.741,4.84946,4.81007,0.00942204,4.93058,0.846363
2025-02-13,127.85,123.231,4.85085,4.81406,0.0122311,4.61816,0.846363
2025-02-14,128.137,125.685,4.8531,4.83378,0.0300491,2.4515,0.846363
2025-02-18,129.752,127.884,4.86563,4.85113,0.0367904,1.8679,0.846363
2025-02-19,133.31,127.57,4.89267,4.84867,0.0114387,5.73944,0.846363
2025-02-20,134.439,129.131,4.90111,4.86083,0.0164571,5.30835,0.846363
2025-02-21,131.873,126.412,4.88184,4.83955,0.0114893,5.46091,0.846363
2025-02-24,132.418,125.867,4.88596,4.83523,0.00367996,6.55067,0.846363
2025-02-25,130.129,125.055,4.86852,4.82875,0.0119651,5.07379,0.846363
2025-02-26,128.662,124.243,4.85719,4.82224,0.0150423,4.41938,0.846363
2025-02-27,129.425,126.194,4.8631,4.83782,0.0256205,3.2312,0.846363
2025-02-28,125.788,128.452,4.8346,4.85556,0.0674796,2.66374,0.846363
2025-03-03,119.447,123.797,4.78287,4.81864,0.0743511,4.35053,0.846363
2025-03-04,121.002,121.123,4.79581,4.79681,0.0415602,0.120552,0.846363
2025-03-05,120.745,118.597,4.79368,4.77573,0.0222917,2.14747,0.846363
2025-03-06,121.082,121.618,4.79646,4.80089,0.0450862,0.536507,0.846363
2025-03-07,124.124,124.976,4.82128,4.82812,0.0513181,0.851997,0.846363
2025-03-10,124.748,124.926,4.8263,4.82772,0.0466756,0.178185,0.846363
2025-03-11,123.361,122.371,4.81511,4.80706,0.0354735,0.989876,0.846363
2025-03-12,123.143,122.797,4.81334,4.81053,0.0404448,0.345978,0.846363
2025-03-13,119.992,121.331,4.78742,4.79852,0.0503754,1.33929,0.846363
2025-03-14,122.796,125.52,4.81052,4.83247,0.0647705,2.7246,0.846363
2025-03-17,122.459,127.957,4.80778,4.85169,0.0863212,5.49803,0.846363
2025-03-18,121.458,127.184,4.79957,4.84564,0.0872109,5.72632,0.846363
2025-03-19,123.807,127.769,4.81872,4.85022,0.075586,3.96218,0.846363
2025-03-20,123.172,127.591,4.81359,4.84883,0.0785363,4.4181,0.846363
2025-03-21,124.035,124.292,4.82056,4.82264,0.046443,0.257767,0.846363
2025-03-24,127.106,125.263,4.84502,4.83042,0.0335161,1.84347,0.846363
2025-03-25,126.224,124.292,4.83806,4.82264,0.0316301,1.93218,0.846363
2025-03-26,128.008,125.362,4.85209,4.83121,0.0283234,2.64615,0.846363
2025-03-27,125.58,123.53,4.83295,4.81648,0.0298051,2.05074,0.846363
2025-03-28,125.442,120.598,4.83184,4.79246,0.00672131,4.84375,0.846363
2025-03-31,127.077,122.301,4.84479,4.80649,0.00978816,4.77521,0.846363
2025-04-01,128.127,123.163,4.85302,4.81351,0.00984209,4.96389,0.846363
