Date,XOM Raw Price,MUR Raw Price,XOM Log Price,MUR Log Price,Residual,Spread,Beta
2025-01-02,105.388,30.1631,4.65765,3.40662,0.243449,75.2249,2.25812
2025-01-03,105.928,30.0559,4.66276,3.40306,0.228346,75.8723,2.25812
2025-01-06,105.81,29.9682,4.66165,3.40014,0.227938,75.8421,2.25812
2025-01-07,106.802,30.8256,4.67098,3.42834,0.235075,75.9767,2.25812
2025-01-08,105.015,31.9265,4.6541,3.46344,0.308277,73.0883,2.25812
2025-01-10,104.632,32.3746,4.65045,3.47738,0.330468,72.2572,2.25812
2025-01-13,107.333,32.9592,4.67593,3.49527,0.290816,74.3734,2.25812
2025-01-14,107.755,33.0274,4.67986,3.49734,0.284016,74.7275,2.25812
2025-01-15,109.513,32.5987,4.69604,3.48427,0.234409,76.9141,2.25812
2025-01-16,109.326,32.1993,4.69434,3.47194,0.225931,77.1269,2.25812
2025-01-17,110.308,31.4101,4.70328,3.44713,0.180923,78.8982,2.25812
2025-01-21,109.474,30.6794,4.69568,3.42359,0.174539,78.7941,2.25812
2025-01-22,107.568,30.0656,4.67813,3.40338,0.193976,77.5026,2.25812
2025-01-23,108.177,29.6175,4.68377,3.38836,0.166211,78.5597,2.25812
2025-01-24,106.714,28.9745,4.67015,3.36642,0.175016,77.7394,2.25812
2025-01-27,108.197,28.7894,4.68395,3.36001,0.137442,79.4074,2.25812
2025-01-28,106.105,28.4484,4.66443,3.34809,0.169613,77.6566,2.25812
2025-01-29,106.724,28.4289,4.67024,3.34741,0.155798,78.2948,2.25812
2025-01-30,107.608,26.7629,4.67849,3.28702,0.0767846,80.8446,2.25812
2025-01-31,104.917,25.9445,4.65317,3.25596,0.102915,78.9721,2.25812
2025-02-03,105.172,24.8923,4.6556,3.21456,0.0560249,80.2796,2.25812
2025-02-04,107.991,25.7886,4.68204,3.24993,0.0316789,82.2019,2.25812
2025-02-05,107.912,25.9932,4.68132,3.25784,0.0412246,81.9187,2.25812
2025-02-06,106.488,25.623,4.66803,3.24349,0.0568764,80.8649,2.25812
2025-02-07,106.94,26.1296,4.67227,3.26307,0.0668958,80.8101,2.25812
2025-02-10,108.982,27.3085,4.69119,3.3072,0.0682957,81.674,2.25812
2025-02-11,109.67,27.9905,4.69748,3.33186,0.0787627,81.6795,2.25812
2025-02-12,106.37,26.9675,4.66693,3.29463,0.110514,79.4028,2.25812
2025-02-13,107.143,27.2013,4.67417,3.30327,0.102799,79.9419,2.25812
2025-02-14,107.252,27.5326,4.67518,3.31537,0.112607,79.7196,2.25812
2025-02-18,109.135,27.7839,4.69258,3.32446,0.0823994,81.351,2.25812
2025-02-19,109.293,27.981,4.69404,3.33153,0.086191,81.3124,2.25812
2025-02-20,110.978,27.7938,4.70933,3.32481,0.0449382,83.1841,2.25812
2025-02-21,109.68,26.9166,4.69757,3.29274,0.0394367,82.7633,2.25812
2025-02-24,110.255,27.3108,4.70279,3.30728,0.0421759,82.9437,2.25812
2025-02-25,108.729,27.2615,4.68885,3.30548,0.071841,81.4671,2.25812
2025-02-26,108.461,26.542,4.68639,3.27873,0.0506578,81.919,2.25812
2025-02-27,109.145,26.3351,4.69268,3.2709,0.0286393,82.8097,2.25812
2025-02-28,110.314,26.1084,4.70333,3.26226,-0.00406746,84.2056,2.25812
