Date,XOM Raw Price,MUR Raw Price,XOM Log Price,MUR Log Price,Residual,Spread,Beta
2025-03-03,106.777,24.1076,4.67074,3.18253,-0.0101986,82.6689,2.25812
2025-03-04,106.559,24.0781,4.66869,3.1813,-0.00681094,82.4805,2.25812
2025-03-05,104.478,23.674,4.64897,3.16438,0.0207959,80.8038,2.25812
2025-03-06,106.638,23.812,4.66944,3.17019,-0.0196036,82.8259,2.25812
2025-03-07,108.025,24.9947,4.68236,3.21866,-0.000314558,83.0304,2.25812
2025-03-10,110.78,25.2805,4.70754,3.23003,-0.0458043,85.4992,2.25812
2025-03-11,108.164,24.8862,4.68365,3.21432,-0.00755971,83.2775,2.25812
2025-03-12,108.134,24.768,4.68337,3.20955,-0.0117028,83.3661,2.25812
2025-03-13,107.678,24.5216,4.67915,3.19955,-0.0121623,83.1567,2.25812
2025-03-14,110.879,25.6649,4.70844,3.24512,-0.0327328,85.2139,2.25812
2025-03-17,112.722,26.2759,4.72492,3.26865,-0.0464284,86.4459,2.25812
2025-03-18,112.603,25.724,4.72387,3.24742,-0.065274,86.8789,2.25812
2025-03-19,114.357,26.7096,4.73932,3.28502,-0.062576,87.6472,2.25812
2025-03-20,114.842,26.4435,4.74356,3.27501,-0.0821561,88.3988,2.25812
2025-03-21,114.446,26.3154,4.7401,3.27015,-0.0792063,88.1306,2.25812
2025-03-24,114.743,26.8673,4.7427,3.29091,-0.0643071,87.8759,2.25812
2025-03-25,115.526,27.3404,4.7495,3.30836,-0.0622049,88.1856,2.25812
2025-03-26,117.191,27.9416,4.7638,3.33012,-0.0727594,89.2491,2.25812
2025-03-27,116.814,28.0894,4.76058,3.33539,-0.0602154,88.7247,2.25812
2025-03-28,116.656,27.9613,4.75923,3.33082,-0.0617206,88.6943,2.25812
2025-03-31,117.845,27.9909,4.76937,3.33188,-0.0835637,89.8538,2.25812
2025-04-01,117.954,28.3358,4.77029,3.34413,-0.0734027,89.6178,2.25812
2025-04-02,117.587,28.7892,4.76718,3.36,-0.0504996,88.7978,2.25812
2025-04-03,111.404,25.0439,4.71316,3.22063,-0.067894,86.36,2.25812
2025-04-04,103.388,21.9985,4.63849,3.09097,-0.0289261,81.3893,2.25812
2025-04-07,102.001,21.1508,4.62498,3.05168,-0.0377147,80.8497,2.25812
2025-04-08,99.8504,19.3374,4.60367,2.96204,-0.0792452,80.513,2.25812
2025-04-09,104.834,22.8461,4.65238,3.12878,-0.0224976,81.9884,2.25812
2025-04-10,99.018,19.6823,4.5953,2.97972,-0.0426616,79.3357,2.25812
2025-04-11,102.199,20.5693,4.62692,3.0238,-0.0699756,81.6294,2.25812
2025-04-14,102.446,20.2342,4.62934,3.00738,-0.0918679,82.2122,2.25812
2025-04-15,102.159,19.8302,4.62653,2.9872,-0.105698,82.3289,2.25812
2025-04-16,103.239,20.2934,4.63705,3.01029,-0.106355,82.9458,2.25812
2025-04-17,105.944,21.0621,4.66291,3.04748,-0.127578,84.8821,2.25812
2025-04-21,104.389,20.5299,4.64812,3.02188,-0.119768,83.8586,2.25812
2025-04-22,107.312,21.0819,4.67574,3.04841,-0.155602,86.2298,2.25812
2025-04-23,106.39,20.2934,4.66711,3.01029,-0.174245,86.0967,2.25812
2025-04-24,107.639,20.5299,4.67878,3.02188,-0.189001,87.1087,2.25812
2025-04-25,107.579,20.7665,4.67823,3.03334,-0.176298,86.8127,2.25812
2025-04-28,107.639,20.9044,4.67878,3.03996,-0.170923,86.7342,2.25812
2025-04-29,107.371,20.9143,4.67629,3.04043,-0.164832,86.4568,2.25812
2025-04-30,104.666,20.2342,4.65077,3.00738,-0.140269,84.4318,2.25812
2025-05-01,104.815,20.8059,4.65219,3.03524,-0.115614,84.0087,2.25812
2025-05-02,105.241,21.4662,4.65625,3.06648,-0.0935292,83.7745,2.25812
2025-05-05,102.328,20.3131,4.62818,3.01127,-0.0853564,82.0145,2.25812
2025-05-06,103.754,20.6975,4.64203,3.03001,-0.0978801,83.0569,2.25812
2025-05-07,103.655,20.6975,4.64107,3.03001,-0.0957227,82.9578,2.25812
2025-05-08,105.102,21.072,4.65493,3.04795,-0.109087,84.03,2.25812
2025-05-09,106.331,21.5451,4.66655,3.07015,-0.11313,84.7856,2.25812
2025-05-12,108.164,22.6489,4.68365,3.12011,-0.101762,85.5148,2.25812
2025-05-13,108.461,22.9939,4.68639,3.13523,-0.092843,85.4671,2.25812
2025-05-14,107.49,22.6489,4.6774,3.12011,-0.0876508,84.841,2.25812
2025-05-15,108.58,22.235,4.68749,3.10167,-0.12888,86.345,2.25812
2025-05-16,108.19,22.08,4.68389,3.09467,-0.12775,86.11,2.25812
2025-05-19,106.47,21.62,4.66786,3.07362,-0.112615,84.85,2.25812
2025-05-20,104.95,21.61,4.65348,3.07316,-0.0806079,83.34,2.25812
2025-05-21,103.66,20.93,4.64112,3.04118,-0.0846528,82.73,2.25812
2025-05-22,102.97,21,4.63444,3.04452,-0.0662327,81.97,2.25812
2025-05-23,103.03,20.89,4.63502,3.03927,-0.0728,82.14,2.25812
2025-05-27,103.52,21.43,4.63976,3.06479,-0.0579926,82.09,2.25812
2025-05-28,102.11,21.23,4.62605,3.05542,-0.036401,80.88,2.25812
2025-05-29,102.69,21.25,4.63171,3.05636,-0.0482495,81.44,2.25812
2025-05-30,102.3,20.93,4.62791,3.04118,-0.0548306,81.37,2.25812
2025-06-02,103.05,21.27,4.63521,3.0573,-0.0552112,81.78,2.25812
2025-06-03,103.8,22.03,4.64247,3.09241,-0.0364788,81.77,2.25812
2025-06-04,102.3,21.67,4.62791,3.07593,-0.0200853,80.63,2.25812
2025-06-05,101.83,21.54,4.6233,3.06991,-0.0157039,80.29,2.25812
2025-06-06,104.27,22.5,4.64698,3.11352,-0.0255701,81.77,2.25812
2025-06-09,104.97,23.02,4.65367,3.13636,-0.017831,81.95,2.25812
2025-06-10,107.22,23.79,4.67488,3.16927,-0.0328198,83.43,2.25812
2025-06-11,109.31,24.32,4.69419,3.1913,-0.0543792,84.99,2.25812
2025-06-12,109.73,24.41,4.69802,3.19499,-0.0593452,85.32,2.25812
2025-06-13,112.12,25.43,4.71957,3.23593,-0.0670641,86.69,2.25812
