Date,BP Raw Price,MPC Raw Price,BP Log Price,MPC Log Price,Residual,Spread,Beta
2025-01-02,29.0449,139.888,3.36884,4.94084,-0.0206033,110.843,0.485641
2025-01-03,29.5689,141.124,3.38672,4.94964,-0.0204915,111.555,0.485641
2025-01-06,30.1026,138.939,3.40461,4.93403,-0.0447833,108.836,0.485641
2025-01-07,30.8887,140.056,3.43039,4.94204,-0.0492927,109.167,0.485641
2025-01-08,30.1997,140.718,3.40783,4.94676,-0.0336189,110.519,0.485641
2025-01-10,30.3646,140.659,3.41328,4.94634,-0.0366863,110.294,0.485641
2025-01-13,30.2967,145.088,3.41104,4.97734,-0.00459478,114.792,0.485641
2025-01-14,30.1706,147.728,3.40687,4.99537,0.0154623,117.557,0.485641
2025-01-15,30.3743,150.229,3.4136,5.01216,0.0289834,119.855,0.485641
2025-01-16,30.8402,149.982,3.42882,5.01052,0.0199457,119.142,0.485641
2025-01-17,30.7528,150.971,3.42598,5.01709,0.0278933,120.218,0.485641
2025-01-21,30.5878,149.112,3.4206,5.0047,0.0181175,118.524,0.485641
2025-01-22,30.2094,145.939,3.40815,4.98319,0.00265034,115.729,0.485641
2025-01-23,30.5587,152.563,3.41965,5.02758,0.0414564,122.004,0.485641
2025-01-24,30.5199,149.893,3.41838,5.00992,0.0244215,119.373,0.485641
2025-01-27,30.5199,150.872,3.41838,5.01643,0.0309302,120.352,0.485641
2025-01-28,30.2385,148.934,3.40912,5.0035,0.0225018,118.696,0.485641
2025-01-29,30.2094,149.676,3.40815,5.00847,0.027936,119.466,0.485641
2025-01-30,30.6752,148.262,3.42345,4.99898,0.0110143,117.587,0.485641
2025-01-31,30.1414,144.06,3.4059,4.97023,-0.00921167,113.919,0.485641
2025-02-03,29.9571,145.335,3.39977,4.97904,0.00258242,115.378,0.485641
2025-02-04,30.7043,155.133,3.4244,5.04428,0.0558574,124.429,0.485641
2025-02-05,30.7334,155.529,3.42535,5.04683,0.0579431,124.795,0.485641
2025-02-06,31.0148,150.21,3.43447,5.01203,0.0187178,119.195,0.485641
2025-02-07,31.3157,148.42,3.44412,5.00005,0.0020451,117.104,0.485641
2025-02-10,33.4021,152.039,3.50862,5.02413,-0.00519063,118.637,0.485641
2025-02-11,33.5282,153.541,3.51239,5.03397,0.00281436,120.013,0.485641
2025-02-12,33.6544,147.52,3.51614,4.99397,-0.0390135,113.866,0.485641
2025-02-13,33.47,152.345,3.51065,5.02615,-0.00416338,118.875,0.485641
2025-02-14,33.9649,154.293,3.52533,5.03885,0.00141175,120.328,0.485641
2025-02-18,34.2658,157.229,3.53415,5.0577,0.0159815,122.963,0.485641
2025-02-19,33.5185,155.758,3.5121,5.0483,0.017285,122.239,0.485641
2025-02-20,33.6253,157.378,3.51528,5.05865,0.0260931,123.753,0.485641
2025-02-21,33.3497,152.874,3.50705,5.02961,0.00104945,119.524,0.485641
2025-02-24,33.2021,151.84,3.50261,5.02283,-0.00358403,118.638,0.485641
2025-02-25,32.7003,149.742,3.48738,5.00891,-0.0101015,117.041,0.485641
2025-02-26,32.159,145.476,3.47069,4.98001,-0.0308978,113.317,0.485641
2025-02-27,32.592,147.146,3.48407,4.99143,-0.025975,114.554,0.485641
2025-02-28,32.592,149.334,3.48407,5.00618,-0.0112176,116.742,0.485641
2025-03-03,31.3029,144.999,3.44371,4.97672,-0.0210803,113.696,0.485641
2025-03-04,30.9388,141.817,3.43201,4.95453,-0.0375877,110.878,0.485641
2025-03-05,31.3718,134.359,3.44591,4.90051,-0.0983575,102.987,0.485641
2025-03-06,31.2045,136.785,3.44056,4.91841,-0.077864,105.581,0.485641
2025-03-07,31.5588,136.775,3.45185,4.91834,-0.083419,105.216,0.485641
2025-03-10,31.6965,135.492,3.45621,4.90892,-0.0949572,103.796,0.485641
2025-03-11,31.4702,133.961,3.44904,4.89755,-0.102843,102.491,0.485641
2025-03-12,31.6867,136.348,3.4559,4.91521,-0.0885148,104.661,0.485641
2025-03-13,31.854,136.248,3.46116,4.91448,-0.0918015,104.394,0.485641
2025-03-14,32.8577,140.355,3.49219,4.94417,-0.0771721,107.497,0.485641
2025-03-17,33.2218,145.337,3.50321,4.97905,-0.047645,112.115,0.485641
2025-03-18,33.6745,145.177,3.51674,4.97796,-0.0553128,111.503,0.485641
2025-03-19,34.0583,148.727,3.52807,5.00212,-0.0366583,114.669,0.485641
2025-03-20,34.196,151.094,3.53211,5.0179,-0.0228319,116.898,0.485641
2025-03-21,33.9992,149.115,3.52634,5.00472,-0.0332116,115.116,0.485641
2025-03-24,33.5662,147.842,3.51352,4.99615,-0.0355596,114.276,0.485641
2025-03-25,33.7434,148.25,3.51878,4.9989,-0.0353618,114.507,0.485641
