Date,BP Raw Price,MPC Raw Price,BP Log Price,MPC Log Price,Residual,Spread,Beta
2025-03-26,33.8713,148.966,3.52257,5.00372,-0.0323817,115.095,0.485641
2025-03-27,33.8615,146.52,3.52228,4.98716,-0.0487977,112.658,0.485641
2025-03-28,33.3202,143.288,3.50616,4.96486,-0.0632759,109.968,0.485641
2025-03-31,33.2513,144.869,3.50409,4.97583,-0.0512973,111.618,0.485641
2025-04-01,33.271,145.804,3.50469,4.98226,-0.0451533,112.533,0.485641
2025-04-02,33.271,147.067,3.50469,4.99089,-0.0365295,113.796,0.485641
2025-04-03,30.8404,127.866,3.42883,4.85098,-0.139595,97.0252,0.485641
2025-04-04,27.9276,120.388,3.32961,4.79072,-0.151675,92.4604,0.485641
2025-04-07,26.7369,120.975,3.28604,4.79558,-0.125653,94.2377,0.485641
2025-04-08,25.6938,117.882,3.24625,4.76969,-0.132223,92.1884,0.485641
2025-04-09,27.4552,130.68,3.31256,4.87275,-0.0613612,103.224,0.485641
2025-04-10,25.8119,120.845,3.25083,4.79451,-0.109623,95.0335,0.485641
2025-04-11,26.1661,122.735,3.26447,4.81002,-0.10073,96.5685,0.485641
2025-04-14,26.481,124.147,3.27643,4.82146,-0.0951009,97.6656,0.485641
2025-04-15,26.7762,121.541,3.28751,4.80025,-0.121693,94.7652,0.485641
2025-04-16,27.2191,123.371,3.30392,4.8152,-0.114718,96.152,0.485641
2025-04-17,27.8685,127,3.3275,4.84419,-0.0971754,99.1319,0.485641
2025-04-21,27.6324,126.006,3.31899,4.83633,-0.100903,98.3737,0.485641
2025-04-22,28.4098,130.65,3.34673,4.87252,-0.0781869,102.24,0.485641
2025-04-23,28.1441,133.543,3.33734,4.89443,-0.0517177,105.399,0.485641
2025-04-24,28.5377,136.765,3.35123,4.91827,-0.0346242,108.227,0.485641
2025-04-25,28.7247,136.666,3.35776,4.91754,-0.0385228,107.941,0.485641
2025-04-28,28.6656,136.805,3.3557,4.91856,-0.0365055,108.139,0.485641
2025-04-29,27.6225,137.531,3.31863,4.92385,-0.0132121,109.908,0.485641
2025-04-30,27.0222,136.636,3.29666,4.91732,-0.00907047,109.614,0.485641
2025-05-01,27.4355,136.944,3.31184,4.91957,-0.0141886,109.509,0.485641
2025-05-02,27.6717,140.753,3.32041,4.947,0.00907909,113.081,0.485641
2025-05-05,28.7148,142.523,3.35741,4.9595,0.00360587,113.808,0.485641
2025-05-06,27.9473,143.736,3.33032,4.96798,0.0252398,115.788,0.485641
2025-05-07,27.6816,143.875,3.32077,4.96894,0.0308469,116.193,0.485641
2025-05-08,28.1342,149.125,3.33699,5.00479,0.0588114,120.991,0.485641
2025-05-09,29.2954,150.04,3.37743,5.0109,0.0452858,120.745,0.485641
2025-05-12,29.7087,157.249,3.39144,5.05783,0.0854119,127.54,0.485641
2025-05-13,30.0728,161.923,3.40362,5.08712,0.108784,131.85,0.485641
2025-05-14,29.876,162.599,3.39706,5.09129,0.116139,132.723,0.485641
2025-05-15,29.63,164.359,3.38879,5.10205,0.130921,134.729,0.485641
2025-05-16,29.76,163.195,3.39317,5.09495,0.121692,133.435,0.485641
2025-05-19,29.4,161.356,3.38099,5.08361,0.116266,131.956,0.485641
2025-05-20,29.2,160.62,3.37417,5.07904,0.11501,131.42,0.485641
2025-05-21,28.88,156.7,3.36315,5.05433,0.0956533,127.82,0.485641
2025-05-22,28.94,158.89,3.36522,5.06821,0.108524,129.95,0.485641
2025-05-23,29.09,159.11,3.37039,5.0696,0.107397,130.02,0.485641
2025-05-27,29.15,162.33,3.37245,5.08963,0.126432,133.18,0.485641
2025-05-28,28.94,158.61,3.36522,5.06645,0.106761,129.67,0.485641
2025-05-29,29.17,159.92,3.37314,5.07467,0.111142,130.75,0.485641
2025-05-30,29.1,160.74,3.37074,5.07979,0.117423,131.64,0.485641
2025-06-02,29.58,158.75,3.3871,5.06733,0.0970201,129.17,0.485641
2025-06-03,29.56,161.97,3.38642,5.08741,0.117429,132.41,0.485641
2025-06-04,28.92,156.95,3.36453,5.05593,0.0965753,128.03,0.485641
2025-06-05,29.05,158.21,3.36902,5.06392,0.102393,129.16,0.485641
2025-06-06,29.29,160.12,3.37725,5.07592,0.110398,130.83,0.485641
2025-06-09,29.46,160.27,3.38303,5.07686,0.108524,130.81,0.485641
2025-06-10,30.23,162.64,3.40883,5.09154,0.110673,132.41,0.485641
2025-06-11,30.81,164.66,3.42784,5.10388,0.113787,133.85,0.485641
2025-06-12,30.92,165.07,3.4314,5.10637,0.114543,134.15,0.485641
2025-06-13,31.72,166.15,3.45695,5.11289,0.108659,134.43,0.485641
