Date,VLO Raw Price,KMI Raw Price,VLO Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,121.125,27.5159,4.79682,3.31476,0.0222194,93.6089,0.264617
2025-01-03,122.216,27.6725,4.80579,3.32044,0.0255207,94.544,0.264617
2025-01-06,120.112,27.2418,4.78842,3.30475,0.0144311,92.8699,0.264617
2025-01-07,121.951,27.2222,4.80362,3.30403,0.0096908,94.7287,0.264617
2025-01-08,123.131,27.6921,4.81325,3.32115,0.0242548,95.4391,0.264617
2025-01-10,125.059,27.5648,4.82879,3.31654,0.0155382,97.4941,0.264617
2025-01-13,131.157,27.9172,4.8764,3.32924,0.0156429,103.24,0.264617
2025-01-14,131.855,28.5045,4.88171,3.35006,0.0350574,103.351,0.264617
2025-01-15,135.642,28.8178,4.91002,3.36099,0.0384941,106.824,0.264617
2025-01-16,137.078,29.4247,4.92055,3.38183,0.0565485,107.653,0.264617
2025-01-17,138.73,29.6694,4.93253,3.39012,0.0616601,109.061,0.264617
2025-01-21,137.235,30.5601,4.9217,3.4197,0.0941085,106.675,0.264617
2025-01-22,132.859,30.1294,4.88928,3.4055,0.0884916,102.729,0.264617
2025-01-23,138.396,29.8358,4.93012,3.39571,0.0678918,108.56,0.264617
2025-01-24,137.334,29.6302,4.92241,3.38879,0.0630171,107.703,0.264617
2025-01-27,138.986,26.8796,4.93437,3.29137,-0.0375745,112.106,0.264617
2025-01-28,135.858,26.8796,4.91161,3.29137,-0.0315516,108.979,0.264617
2025-01-29,137.186,26.723,4.92134,3.28552,-0.039969,110.463,0.264617
2025-01-30,134.281,27.5061,4.89993,3.31441,-0.00542169,106.775,0.264617
2025-01-31,131.881,26.8992,4.8819,3.2921,-0.0229613,104.982,0.264617
2025-02-03,135.034,27.283,4.90553,3.30626,-0.0150457,107.751,0.264617
2025-02-04,141.787,27.2039,4.95433,3.30336,-0.0308631,114.583,0.264617
2025-02-05,139.358,27.3424,4.93704,3.30844,-0.0212119,112.015,0.264617
2025-02-06,133.16,26.4916,4.89155,3.27683,-0.0407829,106.669,0.264617
2025-02-07,131.961,26.7488,4.8825,3.28649,-0.0287259,105.212,0.264617
2025-02-10,135.659,26.7785,4.91015,3.2876,-0.0349318,108.881,0.264617
2025-02-11,135.738,26.5015,4.91073,3.2772,-0.0454839,109.237,0.264617
2025-02-12,129.809,25.997,4.86606,3.25798,-0.0528846,103.812,0.264617
2025-02-13,129.888,26.274,4.86667,3.26858,-0.0424482,103.614,0.264617
2025-02-14,134.172,26.2641,4.89912,3.2682,-0.0514109,107.908,0.264617
2025-02-18,137.028,26.462,4.92018,3.27571,-0.0494793,110.566,0.264617
2025-02-19,135.996,26.6004,4.91263,3.28093,-0.0422603,109.396,0.264617
2025-02-20,137.97,26.3037,4.92703,3.26971,-0.0572914,111.666,0.264617
2025-02-21,133.607,26.1256,4.8949,3.26292,-0.0555808,107.481,0.264617
2025-02-24,133.924,26.185,4.89727,3.26519,-0.0539393,107.739,0.264617
2025-02-25,132.536,25.819,4.88685,3.25111,-0.0652587,106.717,0.264617
2025-02-26,129.065,25.8882,4.86032,3.25379,-0.0555587,103.177,0.264617
2025-02-27,128.54,25.9278,4.85624,3.25531,-0.0529518,102.612,0.264617
2025-02-28,129.63,26.8082,4.86469,3.28871,-0.021795,102.822,0.264617
2025-03-03,127.32,26.8478,4.8467,3.29018,-0.0155613,100.472,0.264617
2025-03-04,126.537,26.6994,4.84053,3.28464,-0.0194704,99.8372,0.264617
2025-03-05,120.736,26.4422,4.7936,3.27496,-0.0167327,94.2936,0.264617
2025-03-06,124.94,26.0267,4.82783,3.25912,-0.041628,98.9134,0.264617
2025-03-07,125.783,25.8585,4.83456,3.25264,-0.0498895,99.9244,0.264617
2025-03-10,125.733,25.8585,4.83416,3.25264,-0.0497851,99.8748,0.264617
2025-03-11,121.995,26.1256,4.80398,3.26292,-0.0315222,95.8694,0.264617
2025-03-12,124.127,26.2344,4.8213,3.26707,-0.0319501,97.8925,0.264617
2025-03-13,124.742,26.2542,4.82625,3.26783,-0.0325036,98.4875,0.264617
2025-03-14,128.054,26.8082,4.85245,3.28871,-0.0185569,101.245,0.264617
2025-03-17,131.832,27.4908,4.88153,3.31385,-0.00110832,104.341,0.264617
2025-03-18,130.919,27.2237,4.87458,3.30409,-0.0090341,103.696,0.264617
2025-03-19,132.714,27.5501,4.8882,3.31601,-0.000717132,105.164,0.264617
2025-03-20,133.696,27.7578,4.89557,3.32352,0.00484481,105.938,0.264617
2025-03-21,130.404,27.6292,4.87064,3.31887,0.00679856,102.774,0.264617
2025-03-24,130.84,28.4008,4.87398,3.34642,0.0334587,102.439,0.264617
