Date,APA Raw Price,WMB Raw Price,APA Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,22.7603,54.9218,3.12502,4.00591,-0.0328803,32.1615,-0.0448215
2025-01-03,22.7992,55.6294,3.12673,4.01871,-0.0200013,32.8302,-0.0448215
2025-01-06,23.0328,54.853,3.13692,4.00466,-0.0336002,31.8201,-0.0448215
2025-01-07,23.0328,54.5974,3.13692,3.99999,-0.0382698,31.5646,-0.0448215
2025-01-08,23.0523,55.423,3.13777,4.01499,-0.0232236,32.3707,-0.0448215
2025-01-10,23.0523,54.5679,3.13777,3.99945,-0.0387721,31.5156,-0.0448215
2025-01-13,23.7337,55.0692,3.1669,4.00859,-0.0283224,31.3354,-0.0448215
2025-01-14,24.1913,57.0644,3.18599,4.04418,0.00812311,32.8731,-0.0448215
2025-01-15,24.7754,57.0152,3.20985,4.04332,0.00833087,32.2398,-0.0448215
2025-01-16,24.4833,58.1652,3.19799,4.06329,0.0277677,33.6818,-0.0448215
2025-01-17,23.7532,58.1259,3.16772,4.06261,0.0257346,34.3726,-0.0448215
2025-01-21,23.0718,59.5903,3.13861,4.08749,0.0493122,36.5185,-0.0448215
2025-01-22,22.9832,58.1848,3.13476,4.06362,0.0252716,35.2016,-0.0448215
2025-01-23,23.1308,58.4699,3.14117,4.06851,0.0304452,35.339,-0.0448215
2025-01-24,22.9439,58.5485,3.13305,4.06986,0.0314253,35.6046,-0.0448215
2025-01-27,23.0029,53.6146,3.13562,3.98182,-0.0564938,30.6117,-0.0448215
2025-01-28,22.9635,54.2534,3.13391,3.99367,-0.0447254,31.2899,-0.0448215
2025-01-29,22.8061,54.3812,3.12703,3.99602,-0.0426813,31.5751,-0.0448215
2025-01-30,22.6192,55.6196,3.1188,4.01854,-0.0205332,33.0004,-0.0448215
2025-01-31,21.5763,54.4795,3.0716,3.99782,-0.0433604,32.9032,-0.0448215
2025-02-03,21.1237,55.2363,3.0504,4.01162,-0.0305147,34.1126,-0.0448215
2025-02-04,22.0289,54.7645,3.09235,4.00304,-0.0372117,32.7356,-0.0448215
2025-02-05,21.8321,55.8751,3.08338,4.02312,-0.0175368,34.043,-0.0448215
2025-02-06,21.291,55.0495,3.05828,4.00823,-0.0335478,33.7586,-0.0448215
2025-02-07,21.3205,54.9807,3.05967,4.00698,-0.0347362,33.6602,-0.0448215
2025-02-10,22.6192,55.2068,3.1188,4.01109,-0.0279828,32.5876,-0.0448215
2025-02-11,22.934,54.2927,3.13262,3.99439,-0.0440586,31.3587,-0.0448215
2025-02-12,22.0092,53.8799,3.09146,3.98676,-0.0535358,31.8707,-0.0448215
2025-02-13,22.1273,56.4747,3.09681,4.03379,-0.00626207,34.3474,-0.0448215
2025-02-14,22.7668,56.0029,3.1253,4.0254,-0.0133738,33.2361,-0.0448215
2025-02-18,23.1898,56.8088,3.14371,4.03969,0.00173992,33.619,-0.0448215
2025-02-19,23.2095,57.2708,3.14456,4.04779,0.00987662,34.0613,-0.0448215
