Date,APA Raw Price,WMB Raw Price,APA Log Price,WMB Log Price,Residual,Spread,Beta
2025-02-20,23.239,57.4477,3.14583,4.05087,0.0130179,34.2087,-0.0448215
2025-02-21,22.4224,56.455,3.11006,4.03344,-0.00601626,34.0326,-0.0448215
2025-02-24,22.5011,56.3469,3.11357,4.03153,-0.00777599,33.8458,-0.0448215
2025-02-25,22.019,55.2166,3.09191,4.01126,-0.02901,33.1976,-0.0448215
2025-02-26,21.655,55.9243,3.07524,4.024,-0.0170227,34.2693,-0.0448215
2025-02-27,20.0906,55.2952,3.00025,4.01269,-0.0316951,35.2046,-0.0448215
2025-02-28,20.3661,57.1823,3.01387,4.04624,0.00247324,36.8162,-0.0448215
2025-03-03,18.5853,56.6123,2.92237,4.03623,-0.0116471,38.0269,-0.0448215
2025-03-04,18.2705,55.826,2.90529,4.02224,-0.0263991,37.5555,-0.0448215
2025-03-05,18.241,55.2559,2.90367,4.01198,-0.0367354,37.015,-0.0448215
2025-03-06,18.4476,53.6735,2.91493,3.98292,-0.065286,35.226,-0.0448215
2025-03-07,18.5361,53.4475,2.91972,3.9787,-0.069292,34.9114,-0.0448215
2025-03-10,18.7132,53.0937,2.92923,3.97206,-0.075508,34.3804,-0.0448215
2025-03-11,18.8903,54.0077,2.93865,3.98913,-0.0580164,35.1174,-0.0448215
2025-03-12,19.3331,55.3346,2.96182,4.0134,-0.0327072,36.0015,-0.0448215
2025-03-13,18.7329,55.2166,2.93028,4.01126,-0.0362543,36.4837,-0.0448215
2025-03-14,19.2937,56.7934,2.95978,4.03942,-0.00677631,37.4997,-0.0448215
2025-03-17,19.7069,57.9041,2.98097,4.05879,0.0135412,38.1971,-0.0448215
2025-03-18,19.8447,57.914,2.98794,4.05896,0.0140247,38.0693,-0.0448215
2025-03-19,20.4744,58.8263,3.01917,4.07459,0.0310554,38.352,-0.0448215
2025-03-20,20.2382,59.2527,3.00757,4.08181,0.0377582,39.0145,-0.0448215
2025-03-21,20.2776,59.104,3.00952,4.0793,0.0353316,38.8264,-0.0448215
2025-03-24,20.5039,60.5816,3.02061,4.10399,0.0605217,40.0777,-0.0448215
2025-03-25,20.5531,60.4031,3.02301,4.10104,0.0576782,39.85,-0.0448215
2025-03-26,20.7597,59.4511,3.03301,4.08515,0.0422401,38.6914,-0.0448215
2025-03-27,20.8581,58.9354,3.03774,4.07644,0.0337403,38.0773,-0.0448215
2025-03-28,20.5826,58.6974,3.02445,4.0724,0.0290978,38.1148,-0.0448215
2025-03-31,20.681,59.2627,3.02921,4.08198,0.0388955,38.5817,-0.0448215
2025-04-01,20.7892,60.0659,3.03443,4.09544,0.0525926,39.2767,-0.0448215
2025-04-02,20.8974,61.0873,3.03963,4.1123,0.0696875,40.1899,-0.0448215
2025-04-03,17.4539,58.5387,2.85956,4.06969,0.0190007,41.0849,-0.0448215
2025-04-04,14.9352,54.1159,2.70372,3.99113,-0.066546,39.1807,-0.0448215
2025-04-07,14.7187,54.3935,2.68912,3.99625,-0.0620824,39.6748,-0.0448215
2025-04-08,13.8037,53.8779,2.62494,3.98672,-0.0744847,40.0741,-0.0448215
2025-04-09,16.4405,55.9505,2.79975,4.02447,-0.0289024,39.51,-0.0448215
2025-04-10,14.3645,54.6117,2.66476,4.00025,-0.0591713,40.2472,-0.0448215
2025-04-11,14.7974,55.9207,2.69445,4.02393,-0.0341537,41.1233,-0.0448215
2025-04-14,14.9548,56.8826,2.70503,4.04099,-0.016624,41.9278,-0.0448215
2025-04-15,14.6498,58.0528,2.68443,4.06135,0.00281552,43.403,-0.0448215
2025-04-16,15.1221,57.7751,2.71616,4.05656,-0.000556969,42.653,-0.0448215
2025-04-17,15.8502,58.1321,2.76318,4.06272,0.00771081,42.282,-0.0448215
2025-04-21,15.25,55.9703,2.72458,4.02482,-0.0319171,40.7203,-0.0448215
2025-04-22,15.86,57.7156,2.7638,4.05553,0.000548053,41.8556,-0.0448215
2025-04-23,15.65,57.9933,2.75047,4.06033,0.00475011,42.3433,-0.0448215
2025-04-24,16.26,59.1139,2.78871,4.07947,0.0256025,42.8539,-0.0448215
2025-04-25,16.35,58.5387,2.79423,4.06969,0.0160723,42.1887,-0.0448215
2025-04-28,16.55,59.1635,2.80639,4.0803,0.0272332,42.6135,-0.0448215
2025-04-29,16.24,59.1734,2.78748,4.08047,0.0265533,42.9334,-0.0448215
2025-04-30,15.54,58.0826,2.74342,4.06187,0.00597172,42.5426,-0.0448215
2025-05-01,16.22,58.3106,2.78625,4.06578,0.0118105,42.0907,-0.0448215
2025-05-02,16.46,59.5007,2.80093,4.08599,0.0326716,43.0407,-0.0448215
2025-05-05,15.5,59.6693,2.74084,4.08882,0.0328075,44.1693,-0.0448215
2025-05-06,15.73,58.2115,2.75557,4.06408,0.00873357,42.4815,-0.0448215
2025-05-07,15.48,58.4495,2.73955,4.06816,0.0120957,42.9695,-0.0448215
2025-05-08,16.18,56.5851,2.78378,4.03575,-0.0183386,40.4051,-0.0448215
2025-05-09,16.72,57.1801,2.81661,4.04621,-0.00640675,40.4601,-0.0448215
2025-05-12,17.71,56.6546,2.87413,4.03697,-0.0130628,38.9446,-0.0448215
2025-05-13,18.46,57.5867,2.91561,4.05329,0.00511605,39.1267,-0.0448215
2025-05-14,18.17,57.7156,2.89977,4.05553,0.0066425,39.5456,-0.0448215
2025-05-15,17.76,58.2809,2.87695,4.06527,0.0153657,40.5209,-0.0448215
2025-05-16,17.59,58.3007,2.86733,4.06561,0.0152749,40.7107,-0.0448215
2025-05-19,17.32,58.0528,2.85186,4.06135,0.0103201,40.7328,-0.0448215
2025-05-20,17.25,58.2809,2.84781,4.06527,0.0140598,41.0309,-0.0448215
2025-05-21,16.71,57.4479,2.81601,4.05088,-0.00176193,40.7379,-0.0448215
2025-05-22,16.74,57.2694,2.8178,4.04777,-0.00479355,40.5294,-0.0448215
2025-05-23,16.85,58.4991,2.82435,4.06901,0.0167446,41.6491,-0.0448215
2025-05-27,17.31,59.5998,2.85128,4.08765,0.0365937,42.2898,-0.0448215
2025-05-28,17.18,60.1155,2.84375,4.09627,0.0448709,42.9355,-0.0448215
2025-05-29,17.34,59.7684,2.85302,4.09048,0.0394959,42.4284,-0.0448215
2025-05-30,17.01,60.0064,2.8338,4.09445,0.0426089,42.9964,-0.0448215
2025-06-02,17.33,60.7601,2.85244,4.10693,0.055926,43.4301,-0.0448215
2025-06-03,18.27,60.6014,2.90526,4.10432,0.0556787,42.3314,-0.0448215
2025-06-04,17.92,59.6197,2.88592,4.08799,0.0384788,41.6997,-0.0448215
2025-06-05,17.85,60.056,2.882,4.09528,0.0455954,42.206,-0.0448215
2025-06-06,18.5,60.056,2.91777,4.09528,0.0471985,41.556,-0.0448215
2025-06-09,18.63,59.1635,2.92477,4.0803,0.0325395,40.5335,-0.0448215
2025-06-10,19.28,58.4693,2.95907,4.0685,0.0222741,39.1893,-0.0448215
2025-06-11,19.61,58.9255,2.97604,4.07627,0.0308064,39.3155,-0.0448215
2025-06-12,19.95,59.58,2.99323,4.08732,0.0426231,39.63,-0.0448215
2025-06-13,21.01,59.78,3.045,4.09067,0.0482946,38.77,-0.0448215
