Date,PSX Raw Price,DVN Raw Price,PSX Log Price,DVN Log Price,Residual,Spread,Beta
2025-01-02,112.306,32.9309,4.72123,3.49441,0.0121408,79.3752,0.766686
2025-01-03,113.955,33.4535,4.73581,3.51016,0.0167082,80.5017,0.766686
2025-01-06,113.052,33.276,4.72785,3.50484,0.0174891,79.7761,0.766686
2025-01-07,113.072,34.2028,4.72802,3.53231,0.0448269,78.869,0.766686
2025-01-08,114.112,34.6564,4.73718,3.54548,0.0509772,79.4559,0.766686
2025-01-10,111.835,35.4846,4.71702,3.5691,0.0900493,76.3504,0.766686
2025-01-13,113.847,36.2536,4.73486,3.59054,0.0978177,77.5936,0.766686
2025-01-14,115.114,36.6578,4.74592,3.60163,0.100426,78.4557,0.766686
2025-01-15,116.812,37.8903,4.76056,3.63469,0.122266,78.9214,0.766686
2025-01-16,117.43,37.8804,4.76584,3.63443,0.117957,79.5497,0.766686
2025-01-17,118.314,37.417,4.77334,3.62213,0.0999022,80.8965,0.766686
2025-01-21,118.274,36.2142,4.77301,3.58945,0.067481,82.0601,0.766686
2025-01-22,116.37,35.948,4.75677,3.58207,0.0725477,80.422,0.766686
2025-01-23,120.365,35.9381,4.79053,3.5818,0.0463937,84.427,0.766686
2025-01-24,119.619,35.455,4.78431,3.56826,0.037626,84.1641,0.766686
2025-01-27,120.817,34.8338,4.79427,3.55059,0.0123139,85.9829,0.766686
2025-01-28,118.952,34.3901,4.77872,3.53777,0.0114228,84.5615,0.766686
2025-01-29,119.914,34.5775,4.78677,3.5432,0.0106798,85.3361,0.766686
2025-01-30,118.618,34.5578,4.77591,3.54263,0.0184389,84.0601,0.766686
2025-01-31,115.702,33.6211,4.75102,3.51515,0.0100396,82.0814,0.766686
2025-02-03,115.693,33.276,4.75094,3.50484,-0.000212289,82.4167,0.766686
2025-02-04,121.337,33.9366,4.79857,3.52449,-0.0170751,87.4003,0.766686
2025-02-05,121.052,33.6605,4.79622,3.51633,-0.0234424,87.3917,0.766686
2025-02-06,118.598,32.9506,4.77574,3.49501,-0.0290553,85.6476,0.766686
2025-02-07,118.088,32.6844,4.77143,3.4869,-0.0338603,85.4034,0.766686
2025-02-10,121.435,33.7789,4.79938,3.51983,-0.0223544,87.6562,0.766686
2025-02-11,127.168,34.6268,4.84551,3.54463,-0.032927,92.5409,0.766686
2025-02-12,122.741,33.4929,4.81007,3.51133,-0.0390538,89.2477,0.766686
2025-02-13,123.231,33.7394,4.81406,3.51867,-0.034781,89.492,0.766686
2025-02-14,125.685,34.1535,4.83378,3.53087,-0.0376998,91.5319,0.766686
2025-02-18,127.884,34.3901,4.85113,3.53777,-0.0440921,93.4941,0.766686
2025-02-19,127.57,37.0424,4.84867,3.61206,0.0320856,90.5278,0.766686
2025-02-20,129.131,38.0086,4.86083,3.63781,0.0485127,91.1223,0.766686
2025-02-21,126.412,36.9635,4.83955,3.60993,0.0369471,89.4484,0.766686
2025-02-24,125.867,36.786,4.83523,3.60512,0.0354453,89.0811,0.766686
2025-02-25,125.055,35.3761,4.82875,3.56604,0.00132704,89.6788,0.766686
2025-02-26,124.243,34.962,4.82224,3.55426,-0.00545229,89.2808,0.766686
2025-02-27,126.194,35.3761,4.83782,3.56604,-0.00562446,90.8179,0.766686
2025-02-28,128.452,35.7113,4.85556,3.57547,-0.00979159,92.7409,0.766686
2025-03-03,123.797,33.9267,4.81864,3.5242,-0.0327549,89.8703,0.766686
2025-03-04,121.123,33.769,4.79681,3.51954,-0.0206724,87.3538,0.766686
2025-03-05,118.597,33.1873,4.77573,3.50217,-0.0218927,85.4099,0.766686
2025-03-06,121.618,33.3943,4.80089,3.50839,-0.0349576,88.2237,0.766686
2025-03-07,124.976,34.2225,4.82812,3.53288,-0.0313392,90.7532,0.766686
2025-03-10,124.926,33.7296,4.82772,3.51837,-0.0455451,91.1966,0.766686
2025-03-11,122.371,33.9267,4.80706,3.5242,-0.0238708,88.4441,0.766686
2025-03-12,122.797,34.262,4.81053,3.53404,-0.0167022,88.5347,0.766686
2025-03-13,121.331,33.3155,4.79852,3.50602,-0.0355094,88.0154,0.766686
2025-03-14,125.52,34.3085,4.83247,3.53539,-0.0321662,91.212,0.766686
2025-03-17,127.957,34.8645,4.85169,3.55147,-0.0308274,93.0924,0.766686
2025-03-18,127.184,35.1227,4.84564,3.55885,-0.0188065,92.0617,0.766686
2025-03-19,127.769,35.798,4.85022,3.57789,-0.00327824,91.9708,0.766686
2025-03-20,127.591,35.8774,4.84883,3.58011,9.06367e-06,91.7131,0.766686
2025-03-21,124.292,35.8973,4.82264,3.58066,0.020642,88.395,0.766686
2025-03-24,125.263,36.7016,4.83042,3.60282,0.0368372,88.5613,0.766686
2025-03-25,124.292,36.7115,4.82264,3.60309,0.0430718,87.5807,0.766686
2025-03-26,125.362,37.208,4.83121,3.61653,0.0499356,88.1539,0.766686
2025-03-27,123.53,36.6222,4.81648,3.60065,0.0453532,86.9075,0.766686
2025-03-28,120.598,36.503,4.79246,3.59739,0.0605093,84.0949,0.766686
2025-03-31,122.301,37.1385,4.80649,3.61466,0.0670153,85.1629,0.766686
2025-04-01,123.163,37.3074,4.81351,3.61919,0.0661676,85.8558,0.766686
2025-04-02,122.876,37.6549,4.81118,3.62846,0.0772304,85.221,0.766686
2025-04-03,106.157,32.9282,4.66492,3.49433,0.0552283,73.2289,0.766686
2025-04-04,97.8669,29.1051,4.58361,3.37091,-0.00584746,68.7618,0.766686
2025-04-07,95.6681,28.41,4.56089,3.34674,-0.012598,67.2581,0.766686
2025-04-08,91.9836,26.6126,4.52161,3.28139,-0.0478414,65.371,0.766686
2025-04-09,102.146,30.8528,4.6264,3.42923,0.0196589,71.2929,0.766686
2025-04-10,96.0643,27.556,4.56502,3.31622,-0.046287,68.5083,0.766686
2025-04-11,96.4506,28.0326,4.56903,3.33337,-0.0322143,68.4179,0.766686
2025-04-14,96.8864,28.5291,4.57354,3.35093,-0.0181141,68.3572,0.766686
2025-04-15,95.2917,28.3305,4.55694,3.34394,-0.012376,66.9612,0.766686
2025-04-16,95.6483,29.0952,4.56068,3.37057,0.0113919,66.5531,0.766686
2025-04-17,98.1542,30.0981,4.58654,3.40446,0.0254546,68.0561,0.766686
2025-04-21,96.0841,29.2739,4.56522,3.3767,0.0140311,66.8102,0.766686
2025-04-22,99.937,30.9819,4.60454,3.4334,0.0405942,68.9551,0.766686
2025-04-23,101.799,30.8627,4.623,3.42955,0.022587,70.9363,0.766686
2025-04-24,103.691,31.25,4.64141,3.44202,0.0209404,72.4408,0.766686
2025-04-25,102.978,31.1308,4.63451,3.4382,0.022411,71.8469,0.766686
2025-04-28,104.77,31.3294,4.65177,3.44456,0.015538,73.441,0.766686
2025-04-29,104.988,31.0812,4.65385,3.4366,0.00598961,73.9071,0.766686
2025-04-30,103.067,30.1974,4.63538,3.40776,-0.00869517,72.8694,0.766686
2025-05-01,102.473,30.9422,4.62959,3.43212,0.020102,71.5304,0.766686
2025-05-02,106.127,31.2202,4.66464,3.44107,0.00217952,74.9071,0.766686
2025-05-05,105.88,30.4059,4.6623,3.41464,-0.0224572,75.4738,0.766686
2025-05-06,104.384,30.3761,4.64808,3.41366,-0.0125305,74.008,0.766686
2025-05-07,104.543,30.0782,4.64959,3.4038,-0.0235491,74.4644,0.766686
2025-05-08,108.148,31.7068,4.6835,3.45653,0.00318504,76.4411,0.766686
2025-05-09,109.861,32.3026,4.69922,3.47515,0.0097496,77.5588,0.766686
2025-05-12,117.547,33.3155,4.76684,3.50602,-0.0112207,84.2318,0.766686
2025-05-13,124.372,34.0503,4.82327,3.52784,-0.0326698,90.3212,0.766686
2025-05-14,123.51,33.7226,4.81632,3.51817,-0.0370098,89.7872,0.766686
2025-05-15,123.579,33.1665,4.81688,3.50154,-0.0540675,90.4127,0.766686
2025-05-16,124.53,33.0275,4.82455,3.49734,-0.0641445,91.5025,0.766686
2025-05-19,122.18,32.4615,4.8055,3.48005,-0.0668244,89.7185,0.766686
2025-05-20,120.9,31.9451,4.79496,3.46402,-0.0747848,88.9549,0.766686
2025-05-21,111.78,31.2798,4.71653,3.44297,-0.0356995,80.5002,0.766686
2025-05-22,112.98,30.9223,4.72721,3.43148,-0.0553808,82.0577,0.766686
2025-05-23,113.13,30.9422,4.72854,3.43212,-0.0557559,82.1878,0.766686
2025-05-27,114.33,31.1308,4.73909,3.4382,-0.0577665,83.1992,0.766686
2025-05-28,112.77,30.6443,4.72535,3.42245,-0.0629866,82.1257,0.766686
2025-05-29,114.68,30.8925,4.74215,3.43051,-0.0677949,83.7875,0.766686
2025-05-30,113.48,30.0485,4.73163,3.40281,-0.0874327,83.4315,0.766686
2025-06-02,114.28,30.9223,4.73865,3.43148,-0.0641522,83.3577,0.766686
2025-06-03,115.97,31.7862,4.75333,3.45903,-0.047852,84.1838,0.766686
2025-06-04,112.48,31.3394,4.72278,3.44487,-0.0385829,81.1406,0.766686
2025-06-05,112.23,31.2003,4.72055,3.44043,-0.0413228,81.0297,0.766686
2025-06-06,114.29,32.0643,4.73874,3.46774,-0.0279549,82.2257,0.766686
2025-06-09,116.1,32.4217,4.75445,3.47883,-0.0289144,83.6783,0.766686
2025-06-10,118.7,33.236,4.7766,3.50363,-0.0210897,85.464,0.766686
2025-06-11,120.95,34.229,4.79538,3.53307,-0.00604667,86.721,0.766686
2025-06-12,121.52,34.09,4.80008,3.529,-0.0137212,87.43,0.766686
2025-06-13,122.15,35.11,4.80525,3.55849,0.0117962,87.04,0.766686
