Date,SHEL Raw Price,MPC Raw Price,SHEL Log Price,MPC Log Price,Residual,Spread,Beta
2025-01-02,61.7661,139.888,4.12335,4.94084,0.025903,78.1217,1.02213
2025-01-03,63.1561,141.124,4.14561,4.94964,0.0119518,77.9676,1.02213
2025-01-06,63.3812,138.939,4.14917,4.93403,-0.00728927,75.5575,1.02213
2025-01-07,64.5363,140.056,4.16723,4.94204,-0.0177398,75.5196,1.02213
2025-01-08,63.3518,140.718,4.1487,4.94676,0.00591177,77.3665,1.02213
2025-01-10,63.5672,140.659,4.1521,4.94634,0.00202159,77.0918,1.02213
2025-01-13,63.5868,145.088,4.15241,4.97734,0.0327106,81.5015,1.02213
2025-01-14,64.5167,147.728,4.16692,4.99537,0.0359014,83.2113,1.02213
2025-01-15,64.9572,150.229,4.17373,5.01216,0.045737,85.2722,1.02213
2025-01-16,65.0453,149.982,4.17508,5.01052,0.0427051,84.9369,1.02213
2025-01-17,65.3096,150.971,4.17914,5.01709,0.0451307,85.6613,1.02213
2025-01-21,65.3585,149.112,4.17989,5.0047,0.031977,83.7537,1.02213
2025-01-22,64.5558,145.939,4.16753,4.98319,0.0230939,81.3827,1.02213
2025-01-23,65.2508,152.563,4.17824,5.02758,0.0565388,87.3118,1.02213
2025-01-24,64.0077,149.893,4.159,5.00992,0.0585479,85.8856,1.02213
2025-01-27,63.763,150.872,4.15517,5.01643,0.0689719,87.1091,1.02213
2025-01-28,63.2148,148.934,4.14654,5.0035,0.0648697,85.7194,1.02213
2025-01-29,63.4106,149.676,4.14963,5.00847,0.0666757,86.2652,1.02213
2025-01-30,65.241,148.262,4.17809,4.99898,0.0280972,83.0209,1.02213
2025-01-31,64.458,144.06,4.16601,4.97023,0.0116897,79.6021,1.02213
2025-02-03,63.7923,145.335,4.15563,4.97904,0.0311138,81.5431,1.02213
2025-02-04,65.2215,155.133,4.17779,5.04428,0.0737077,89.9118,1.02213
2025-02-05,65.1236,155.529,4.17629,5.04683,0.0777889,90.4051,1.02213
2025-02-06,64.7614,150.21,4.17071,5.01203,0.0486906,85.4482,1.02213
2025-02-07,64.4971,148.42,4.16662,5.00005,0.0408857,83.923,1.02213
2025-02-10,64.732,152.039,4.17026,5.02413,0.0612573,87.3066,1.02213
2025-02-11,65.9556,153.541,4.18898,5.03397,0.0519529,87.5858,1.02213
2025-02-12,65.3487,147.52,4.17974,4.99397,0.0213977,82.1717,1.02213
2025-02-13,65.9458,152.345,4.18883,5.02615,0.0442828,86.3993,1.02213
