Date,SHEL Raw Price,MPC Raw Price,SHEL Log Price,MPC Log Price,Residual,Spread,Beta
2025-02-14,66.4168,154.293,4.19595,5.03885,0.0497131,87.8761,1.02213
2025-02-18,67.0994,157.229,4.20618,5.0577,0.058113,90.1298,1.02213
2025-02-19,66.8818,155.758,4.20293,5.0483,0.05203,88.8758,1.02213
2025-02-20,67.6535,157.378,4.2144,5.05865,0.0506561,89.7249,1.02213
2025-02-21,65.9913,152.874,4.18952,5.02961,0.0470424,86.8826,1.02213
2025-02-24,66.1793,151.84,4.19237,5.02283,0.0373471,85.6604,1.02213
2025-02-25,66.1892,149.742,4.19252,5.00891,0.02328,83.5524,1.02213
2025-02-26,66.6839,145.476,4.19996,4.98001,-0.0132324,78.7919,1.02213
2025-02-27,66.5553,147.146,4.19803,4.99143,0.000158858,80.5911,1.02213
2025-02-28,66.7433,149.334,4.20085,5.00618,0.0120334,82.5907,1.02213
2025-03-03,65.7539,144.999,4.18592,4.97672,-0.00216314,79.2446,1.02213
2025-03-04,65.4966,141.817,4.182,4.95453,-0.0203458,76.3199,1.02213
2025-03-05,65.3977,134.359,4.18049,4.90051,-0.0728211,68.9611,1.02213
2025-03-06,65.3087,136.785,4.17912,4.91841,-0.0535316,71.4764,1.02213
2025-03-07,66.0804,136.775,4.19087,4.91834,-0.0656113,70.6947,1.02213
2025-03-10,66.0804,135.492,4.19087,4.90892,-0.075034,69.412,1.02213
2025-03-11,66.1002,133.961,4.19117,4.89755,-0.0867063,67.8609,1.02213
2025-03-12,66.6641,136.348,4.19967,4.91521,-0.0777319,69.6834,1.02213
2025-03-13,67.0203,136.248,4.205,4.91448,-0.0839079,69.2278,1.02213
2025-03-14,68.0393,140.355,4.22009,4.94417,-0.0696364,72.3155,1.02213
2025-03-17,69.3552,145.337,4.23924,4.97905,-0.0543366,75.9814,1.02213
2025-03-18,70.216,145.177,4.25158,4.97796,-0.0680393,74.9615,1.02213
2025-03-19,70.7601,148.727,4.2593,5.00212,-0.0517719,77.9673,1.02213
2025-03-20,71.1855,151.094,4.26529,5.0179,-0.042112,79.9084,1.02213
2025-03-21,70.2555,149.115,4.25214,5.00472,-0.0418532,78.8596,1.02213
2025-03-24,70.5227,147.842,4.25593,4.99615,-0.0543046,77.3197,1.02213
2025-03-25,71.2647,148.25,4.2664,4.9989,-0.0622493,76.9854,1.02213
2025-03-26,72.2541,148.966,4.28019,5.00372,-0.0715242,76.7119,1.02213
2025-03-27,72.5113,146.52,4.28374,4.98716,-0.0917139,74.0086,1.02213
2025-03-28,71.9573,143.288,4.27607,4.96486,-0.106177,71.3309,1.02213
2025-03-31,72.5014,144.869,4.28361,4.97583,-0.102904,72.3678,1.02213
2025-04-01,72.2739,145.804,4.28046,4.98226,-0.0932595,73.5301,1.02213
2025-04-02,71.9474,147.067,4.27593,4.99089,-0.0800078,75.1194,1.02213
2025-04-03,69.0287,127.866,4.23452,4.85098,-0.177586,58.8369,1.02213
2025-04-04,63.4486,120.388,4.15023,4.79072,-0.15169,56.9393,1.02213
2025-04-07,61.6579,120.975,4.1216,4.79558,-0.117565,59.3167,1.02213
2025-04-08,59.1152,117.882,4.07949,4.76969,-0.100415,58.767,1.02213
2025-04-09,63.2112,130.68,4.14648,4.87275,-0.0658277,67.4684,1.02213
2025-04-10,59.1449,120.845,4.07999,4.79451,-0.076102,61.7005,1.02213
2025-04-11,61.4303,122.735,4.1179,4.81002,-0.0993416,61.3043,1.02213
2025-04-14,61.8755,124.147,4.12512,4.82146,-0.095284,62.2711,1.02213
2025-04-15,62.113,121.541,4.12895,4.80025,-0.120407,59.4284,1.02213
2025-04-16,63.3497,123.371,4.14867,4.8152,-0.125617,60.0213,1.02213
2025-04-17,64.349,127,4.16432,4.84419,-0.11262,62.6515,1.02213
2025-04-21,63.9631,126.006,4.15831,4.83633,-0.114333,62.043,1.02213
2025-04-22,64.4776,130.65,4.16632,4.87252,-0.0863313,66.1722,1.02213
2025-04-23,63.8246,133.543,4.15614,4.89443,-0.0540212,69.7188,1.02213
2025-04-24,64.3589,136.765,4.16447,4.91827,-0.0387029,72.4063,1.02213
2025-04-25,65.1603,136.666,4.17685,4.91754,-0.052079,71.5055,1.02213
2025-04-28,65.3186,136.805,4.17928,4.91856,-0.053541,71.4864,1.02213
2025-04-29,64.814,137.531,4.17152,4.92385,-0.0403226,72.7168,1.02213
2025-04-30,63.7949,136.636,4.15567,4.91732,-0.0306526,72.841,1.02213
2025-05-01,64.1115,136.944,4.16062,4.91957,-0.0334591,72.8326,1.02213
2025-05-02,65.932,140.753,4.18862,4.947,-0.0346476,74.8206,1.02213
2025-05-05,64.4281,142.523,4.16555,4.9595,0.00143276,78.0944,1.02213
2025-05-06,64.4083,143.736,4.16524,4.96798,0.0102225,79.3273,1.02213
2025-05-07,64.3589,143.875,4.16447,4.96894,0.0119759,79.516,1.02213
2025-05-08,64.3885,149.125,4.16494,5.00479,0.0473465,84.7366,1.02213
2025-05-09,65.4472,150.04,4.18124,5.0109,0.0367938,84.5928,1.02213
2025-05-12,65.6747,157.249,4.18471,5.05783,0.0801758,91.5744,1.02213
2025-05-13,66.8917,161.923,4.20307,5.08712,0.0906967,95.0309,1.02213
2025-05-14,66.3772,162.599,4.19535,5.09129,0.102756,96.2216,1.02213
2025-05-15,66.674,164.359,4.19982,5.10205,0.108961,97.6848,1.02213
2025-05-16,66.62,163.195,4.199,5.09495,0.102686,96.5754,1.02213
2025-05-19,66.67,161.356,4.19976,5.08361,0.090583,94.6858,1.02213
2025-05-20,66.62,160.62,4.199,5.07904,0.086779,94,1.02213
2025-05-21,66.36,156.7,4.19509,5.05433,0.0660678,90.34,1.02213
2025-05-22,65.95,158.89,4.1889,5.06821,0.0862816,92.94,1.02213
2025-05-23,66.3,159.11,4.19419,5.0696,0.082255,92.81,1.02213
2025-05-27,66.69,162.33,4.20006,5.08963,0.0962956,95.64,1.02213
2025-05-28,66.04,158.61,4.19026,5.06645,0.0831238,92.57,1.02213
2025-05-29,66.44,159.92,4.1963,5.07467,0.0851768,93.48,1.02213
2025-05-30,66.22,160.74,4.19298,5.07979,0.0936815,94.52,1.02213
2025-06-02,67.45,158.75,4.21139,5.06733,0.0624127,91.3,1.02213
2025-06-03,67.83,161.97,4.217,5.08741,0.0767509,94.14,1.02213
2025-06-04,67.27,156.95,4.20871,5.05593,0.0537407,89.68,1.02213
2025-06-05,67.53,158.21,4.21257,5.06392,0.0577938,90.68,1.02213
2025-06-06,68.02,160.12,4.2198,5.07592,0.0624042,92.1,1.02213
2025-06-09,68.26,160.27,4.22332,5.07686,0.0597404,92.01,1.02213
2025-06-10,70.05,162.64,4.24921,5.09154,0.0479616,92.59,1.02213
2025-06-11,71.02,164.66,4.26296,5.10388,0.0462487,93.64,1.02213
2025-06-12,71.44,165.07,4.26886,5.10637,0.0427087,93.63,1.02213
2025-06-13,72.54,166.15,4.28414,5.11289,0.0336117,93.61,1.02213
