Date,MTDR Raw Price,KMI Raw Price,MTDR Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,57.3103,27.5159,4.04848,3.31476,-0.00679569,29.7944,0.109108
2025-01-03,58.2872,27.6725,4.06538,3.32044,-0.00296403,30.6147,0.109108
2025-01-06,57.5767,27.2418,4.05312,3.30475,-0.0173125,30.3349,0.109108
2025-01-07,58.9286,27.2222,4.07633,3.30403,-0.0205637,31.7064,0.109108
2025-01-08,59.2838,27.6921,4.08234,3.32115,-0.00410662,31.5917,0.109108
2025-01-10,60.4383,27.5648,4.10162,3.31654,-0.0108168,32.8735,0.109108
2025-01-13,61.1389,27.9172,4.11315,3.32924,0.000628787,33.2217,0.109108
2025-01-14,61.8987,28.5045,4.1255,3.35006,0.0201008,33.3941,0.109108
2025-01-15,62.7769,28.8178,4.13959,3.36099,0.0294928,33.9591,0.109108
2025-01-16,62.5401,29.4247,4.13581,3.38183,0.0507462,33.1154,0.109108
2025-01-17,62.9249,29.6694,4.14194,3.39012,0.0583592,33.2555,0.109108
2025-01-21,61.8888,30.5601,4.12534,3.4197,0.0897519,31.3287,0.109108
2025-01-22,62.2046,30.1294,4.13043,3.4055,0.0750029,32.0751,0.109108
2025-01-23,61.3757,29.8358,4.11701,3.39571,0.066672,31.5399,0.109108
2025-01-24,60.31,29.6302,4.0995,3.38879,0.0616696,30.6798,0.109108
2025-01-27,58.8102,26.8796,4.07431,3.29137,-0.0330094,31.9305,0.109108
2025-01-28,59.4811,26.8796,4.08566,3.29137,-0.0342472,32.6015,0.109108
2025-01-29,59.4614,26.723,4.08533,3.28552,-0.0400548,32.7384,0.109108
2025-01-30,58.751,27.5061,4.07331,3.31441,-0.00986032,31.2449,0.109108
2025-01-31,57.2314,26.8992,4.0471,3.2921,-0.0293123,30.3322,0.109108
2025-02-03,56.7775,27.283,4.03914,3.30626,-0.0142754,29.4944,0.109108
2025-02-04,57.5965,27.2039,4.05346,3.30336,-0.0187429,30.3926,0.109108
2025-02-05,57.2018,27.3424,4.04658,3.30844,-0.0129146,29.8594,0.109108
2025-02-06,55.7216,26.4916,4.02037,3.27683,-0.0416629,29.23,0.109108
2025-02-07,55.9289,26.7488,4.02408,3.28649,-0.0324059,29.18,0.109108
2025-02-10,58.4747,26.7785,4.06859,3.2876,-0.0361538,31.6962,0.109108
2025-02-11,58.5832,26.5015,4.07045,3.2772,-0.0467535,32.0817,0.109108
2025-02-12,55.6723,25.997,4.01948,3.25798,-0.0604133,29.6753,0.109108
2025-02-13,56.363,26.274,4.03181,3.26858,-0.0511606,30.089,0.109108
2025-02-14,56.4321,26.2641,4.03304,3.2682,-0.0516709,30.168,0.109108
2025-02-18,57.034,26.462,4.04365,3.27571,-0.0453237,30.5721,0.109108
2025-02-19,55.8795,26.6004,4.0232,3.28093,-0.0378725,29.2791,0.109108
2025-02-20,55.7315,26.3037,4.02055,3.26971,-0.0488023,29.4278,0.109108
2025-02-21,52.4062,26.1256,3.95902,3.26292,-0.0488824,26.2805,0.109108
2025-02-24,52.6923,26.185,3.96447,3.26519,-0.0472073,26.5074,0.109108
2025-02-25,51.7648,25.819,3.94671,3.25111,-0.0593462,25.9458,0.109108
2025-02-26,51.4392,25.8882,3.9404,3.25379,-0.0559793,25.551,0.109108
2025-02-27,51.8141,25.9278,3.94766,3.25531,-0.0552445,25.8863,0.109108
2025-02-28,51.9561,26.8082,3.9504,3.28871,-0.0221502,25.1479,0.109108
2025-03-03,47.3898,26.8478,3.85841,3.29018,-0.0106383,20.5421,0.109108
2025-03-04,46.0894,26.6994,3.83058,3.28464,-0.0131448,19.3901,0.109108
2025-03-05,45.3846,26.4422,3.81517,3.27496,-0.0211434,18.9425,0.109108
2025-03-06,44.4614,26.0267,3.79462,3.25912,-0.0347385,18.4348,0.109108
2025-03-07,44.9379,25.8585,3.80528,3.25264,-0.042384,19.0794,0.109108
2025-03-10,44.6898,25.8585,3.79974,3.25264,-0.0417797,18.8312,0.109108
2025-03-11,46.6552,26.1256,3.84279,3.26292,-0.0361998,20.5296,0.109108
2025-03-12,47.9258,26.2344,3.86965,3.26707,-0.034975,21.6914,0.109108
2025-03-13,46.5858,26.2542,3.84129,3.26783,-0.0311268,20.3315,0.109108
2025-03-14,48.2634,26.8082,3.87667,3.28871,-0.0141062,21.4552,0.109108
2025-03-17,49.9906,27.4908,3.91183,3.31385,0.00719992,22.4998,0.109108
2025-03-18,50.1891,27.2237,3.9158,3.30409,-0.0029958,22.9655,0.109108
2025-03-19,52.234,27.5501,3.95573,3.31601,0.00456688,24.6839,0.109108
2025-03-20,51.9263,27.7578,3.94983,3.32352,0.0127237,24.1684,0.109108
