Date,HES Raw Price,MTDR Raw Price,HES Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,134.963,57.3103,4.905,4.04848,0.225418,77.6526,1.57052
2025-01-03,135.93,58.2872,4.91214,4.06538,0.231111,77.6424,1.57052
2025-01-06,135.461,57.5767,4.90869,4.05312,0.224268,77.8845,1.57052
2025-01-07,138.142,58.9286,4.92828,4.07633,0.216698,79.2136,1.57052
2025-01-08,139.338,59.2838,4.9369,4.08234,0.20917,80.0543,1.57052
2025-01-10,141.929,60.4383,4.95533,4.10162,0.199518,81.491,1.57052
2025-01-13,144.341,61.1389,4.97218,4.11315,0.18458,83.2023,1.57052
2025-01-14,146.185,61.8987,4.98487,4.1255,0.176996,84.2862,1.57052
2025-01-15,148.417,62.7769,5.00003,4.13959,0.167282,85.6404,1.57052
2025-01-16,149.225,62.5401,5.00545,4.13581,0.154983,86.6845,1.57052
2025-01-17,150.839,62.9249,5.01621,4.14194,0.144217,87.9142,1.57052
2025-01-21,148.158,61.8888,4.99828,4.12534,0.155779,86.2694,1.57052
2025-01-22,145.099,62.2046,4.97741,4.13043,0.19364,82.894,1.57052
2025-01-23,144.371,61.3757,4.97239,4.11701,0.18812,82.9953,1.57052
2025-01-24,143.913,60.31,4.96921,4.0995,0.1756,83.6026,1.57052
2025-01-27,145.617,58.8102,4.98098,4.07431,0.131927,86.8067,1.57052
2025-01-28,144.56,59.4811,4.9737,4.08566,0.154707,85.0793,1.57052
2025-01-29,144.67,59.4614,4.97446,4.08533,0.153185,85.2086,1.57052
2025-01-30,145.358,58.751,4.9792,4.07331,0.133717,86.6067,1.57052
2025-01-31,138.561,57.2314,4.93131,4.0471,0.182722,81.3294,1.57052
2025-02-03,138.361,56.7775,4.92987,4.03914,0.17702,81.5839,1.57052
2025-02-04,142.298,57.5965,4.95792,4.05346,0.147281,84.7016,1.57052
2025-02-05,142.258,57.2018,4.95764,4.04658,0.140845,85.0564,1.57052
2025-02-06,141.451,55.7216,4.95195,4.02037,0.123566,85.7293,1.57052
