Date,HES Raw Price,MTDR Raw Price,HES Log Price,MTDR Log Price,Residual,Spread,Beta
2025-02-07,142.458,55.9289,4.95904,4.02408,0.116142,86.5287,1.57052
2025-02-10,145.338,58.4747,4.97906,4.06859,0.129218,86.8631,1.57052
2025-02-11,146.504,58.5832,4.98705,4.07045,0.118523,87.9206,1.57052
2025-02-12,144.311,55.6723,4.97197,4.01948,0.0912394,88.639,1.57052
2025-02-13,145.358,56.363,4.9792,4.03181,0.0922229,88.9947,1.57052
2025-02-14,146.055,56.4321,4.98399,4.03304,0.0859279,89.6232,1.57052
2025-02-18,147.471,57.034,4.99363,4.04365,0.0813935,90.4365,1.57052
2025-02-19,148.766,55.8795,5.00238,4.0232,0.0472059,92.8866,1.57052
2025-02-20,150.45,55.7315,5.01363,4.02055,0.0268725,94.7189,1.57052
2025-02-21,147.61,52.4062,4.99457,3.95902,-0.0047153,95.2039,1.57052
2025-02-24,148.248,52.6923,4.99889,3.96447,-0.00604158,95.5556,1.57052
2025-02-25,146.454,51.7648,4.98671,3.94671,-0.00468083,94.6892,1.57052
2025-02-26,144.979,51.4392,4.97659,3.9404,0.00490646,93.5398,1.57052
2025-02-27,146.414,51.8141,4.98644,3.94766,-0.00330075,94.6,1.57052
2025-02-28,148.437,51.9561,5.00016,3.9504,-0.0221176,96.4812,1.57052
2025-03-03,143.604,47.3898,4.96706,3.85841,-0.0621162,96.2138,1.57052
2025-03-04,141.909,46.0894,4.95519,3.83058,-0.0713007,95.82,1.57052
2025-03-05,140.863,45.3846,4.94779,3.81517,-0.0750865,95.4783,1.57052
2025-03-06,142.856,44.4614,4.96184,3.79462,-0.117705,98.3947,1.57052
2025-03-07,146.932,44.9379,4.98997,3.80528,-0.15123,101.994,1.57052
2025-03-10,147.74,44.6898,4.99545,3.79974,-0.165373,103.05,1.57052
2025-03-11,144.122,46.6552,4.97066,3.84279,-0.0833959,97.4666,1.57052
2025-03-12,143.544,47.9258,4.96664,3.86965,-0.0502144,95.618,1.57052
2025-03-13,143.434,46.5858,4.96588,3.84129,-0.0773747,96.8485,1.57052
2025-03-14,147.63,48.2634,4.99471,3.87667,-0.0872791,99.3666,1.57052
2025-03-17,150.45,49.9906,5.01363,3.91183,-0.0818335,100.459,1.57052
2025-03-18,152.82,50.1891,5.02926,3.9158,-0.102417,102.631,1.57052
2025-03-19,156.38,52.234,5.05229,3.95573,-0.0986478,104.146,1.57052
2025-03-20,157.37,51.9263,5.0586,3.94983,-0.114468,105.444,1.57052
2025-03-21,156.58,51.1322,5.05357,3.93441,-0.121975,105.448,1.57052
2025-03-24,157.35,52.5814,5.05847,3.96236,-0.10173,104.769,1.57052
2025-03-25,158.29,51.9362,5.06443,3.95002,-0.123431,106.354,1.57052
2025-03-26,160.52,51.8568,5.07842,3.94849,-0.146932,108.663,1.57052
2025-03-27,159.07,51.1222,5.06934,3.93422,-0.146948,107.948,1.57052
2025-03-28,158.45,50.1395,5.06544,3.91481,-0.160225,108.311,1.57052
2025-03-31,159.73,50.7152,5.07348,3.92623,-0.161444,109.015,1.57052
2025-04-01,161.29,50.7351,5.0832,3.92662,-0.176316,110.555,1.57052
2025-04-02,160.02,51.8469,5.0753,3.94829,-0.142224,108.173,1.57052
2025-04-03,148.38,44.2431,4.99978,3.7897,-0.182212,104.137,1.57052
2025-04-04,133.56,38.0985,4.89455,3.64017,-0.166477,95.4615,1.57052
2025-04-07,130.59,38.0488,4.87206,3.63887,-0.132463,92.5412,1.57052
2025-04-08,127.51,36.401,4.84819,3.5946,-0.139252,91.109,1.57052
2025-04-09,137.97,42.1882,4.92704,3.74214,-0.115529,95.7818,1.57052
2025-04-10,127.16,37.5624,4.84545,3.626,-0.103527,89.5976,1.57052
2025-04-11,128.5,39.1209,4.85593,3.66666,-0.0793378,89.3791,1.57052
2025-04-14,127.91,38.9422,4.85133,3.66208,-0.0766882,88.9678,1.57052
2025-04-15,127.21,38.6643,4.84584,3.65492,-0.0752327,88.5457,1.57052
2025-04-16,127.95,39.8356,4.85164,3.68476,-0.0544967,88.1144,1.57052
2025-04-17,130.64,41.1658,4.87245,3.71761,-0.0543267,89.4742,1.57052
2025-04-21,126.32,39.7364,4.83882,3.68227,-0.036856,86.5836,1.57052
2025-04-22,130.38,40.7191,4.87045,3.7067,-0.0621085,89.6609,1.57052
2025-04-23,130.03,40.5404,4.86777,3.7023,-0.0622845,89.4896,1.57052
2025-04-24,132.38,40.4511,4.88568,3.70009,-0.0926209,91.9289,1.57052
2025-04-25,132.34,40.7687,4.88537,3.70792,-0.084324,91.5713,1.57052
2025-04-28,133.84,41.2353,4.89665,3.71929,-0.0906459,92.6047,1.57052
2025-04-29,132.54,40.7191,4.88688,3.7067,-0.0879138,91.8209,1.57052
2025-04-30,129.05,39.25,4.8602,3.66995,-0.0827523,89.8,1.57052
2025-05-01,129.79,40.193,4.86592,3.69369,-0.06799,89.597,1.57052
2025-05-02,132.31,40.7886,4.88515,3.7084,-0.0834812,91.5214,1.57052
2025-05-05,128.8,39.3592,4.85826,3.67273,-0.0769288,89.4408,1.57052
2025-05-06,128.87,40.0342,4.8588,3.68973,-0.0607773,88.8358,1.57052
2025-05-07,129.09,39.7463,4.86051,3.68252,-0.0706729,89.3437,1.57052
2025-05-08,130.88,42.357,4.87428,3.74613,-0.0286835,88.523,1.57052
2025-05-09,132.37,42.75,4.8856,3.75537,-0.0372263,89.62,1.57052
2025-05-12,135.21,44.69,4.90683,3.79975,-0.026185,90.52,1.57052
2025-05-13,135.7,46.36,4.91045,3.83644,0.00482116,89.34,1.57052
2025-05-14,134.79,45.89,4.90372,3.82625,0.00519869,88.9,1.57052
2025-05-15,135.07,44.59,4.90579,3.79751,-0.0267981,90.48,1.57052
2025-05-16,134.93,44.54,4.90476,3.79639,-0.0262912,90.39,1.57052
2025-05-19,132.79,44.29,4.88877,3.79076,-0.00681182,88.5,1.57052
2025-05-20,132.05,44.28,4.88318,3.79053,0.00173871,87.77,1.57052
2025-05-21,130.16,43.55,4.86876,3.77391,0.00775614,86.61,1.57052
2025-05-22,130.02,43.6,4.86769,3.77506,0.0105937,86.42,1.57052
2025-05-23,131.36,43.4,4.87794,3.77046,-0.0101069,87.96,1.57052
2025-05-27,132.58,44.16,4.88719,3.78782,-0.00726582,88.42,1.57052
2025-05-28,131.07,43.83,4.87573,3.78032,0.00322307,87.24,1.57052
2025-05-29,133.62,44.04,4.895,3.7851,-0.0222584,89.58,1.57052
2025-05-30,132.19,43.01,4.88424,3.76143,-0.0290259,89.18,1.57052
2025-06-02,133.75,43.51,4.89597,3.77299,-0.0358932,90.24,1.57052
2025-06-03,135.96,45.8,4.91236,3.82428,-0.0103381,90.16,1.57052
2025-06-04,133.45,45.01,4.89373,3.80688,0.00152732,88.44,1.57052
2025-06-05,133.05,44.77,4.89073,3.80154,0.000895375,88.28,1.57052
2025-06-06,136.13,45.79,4.91361,3.82407,-0.0125189,90.34,1.57052
2025-06-09,136.63,46.66,4.91728,3.84289,0.000544716,89.97,1.57052
2025-06-10,138.66,47.93,4.93202,3.86974,0.00423657,90.73,1.57052
2025-06-11,140.58,49.02,4.94578,3.89223,0.0051259,91.56,1.57052
2025-06-12,141.14,49.5,4.94975,3.90197,0.00862649,91.64,1.57052
2025-06-13,142.26,51.64,4.95766,3.9443,0.038537,90.62,1.57052
