Date,MPC Raw Price,DVN Raw Price,MPC Log Price,DVN Log Price,Residual,Spread,Beta
2025-01-02,139.888,32.9309,4.94084,3.49441,0.00961126,106.957,0.451107
2025-01-03,141.124,33.4535,4.94964,3.51016,0.021387,107.67,0.451107
2025-01-06,138.939,33.276,4.93403,3.50484,0.0231069,105.663,0.451107
2025-01-07,140.056,34.2028,4.94204,3.53231,0.046965,105.853,0.451107
2025-01-08,140.718,34.6564,4.94676,3.54548,0.0580096,106.062,0.451107
2025-01-10,140.659,35.4846,4.94634,3.5691,0.0818164,105.174,0.451107
2025-01-13,145.088,36.2536,4.97734,3.59054,0.0892714,108.835,0.451107
2025-01-14,147.728,36.6578,4.99537,3.60163,0.0922264,111.07,0.451107
2025-01-15,150.229,37.8903,5.01216,3.63469,0.11772,112.339,0.451107
2025-01-16,149.982,37.8804,5.01052,3.63443,0.118202,112.102,0.451107
2025-01-17,150.971,37.417,5.01709,3.62213,0.10293,113.554,0.451107
2025-01-21,149.112,36.2142,5.0047,3.58945,0.0758423,112.898,0.451107
2025-01-22,145.939,35.948,4.98319,3.58207,0.0781691,109.991,0.451107
2025-01-23,152.563,35.9381,5.02758,3.5818,0.0578702,116.625,0.451107
2025-01-24,149.893,35.455,5.00992,3.56826,0.0522988,114.438,0.451107
2025-01-27,150.872,34.8338,5.01643,3.55059,0.0316881,116.038,0.451107
2025-01-28,148.934,34.3901,5.0035,3.53777,0.0247008,114.544,0.451107
2025-01-29,149.676,34.5775,5.00847,3.5432,0.0278928,115.098,0.451107
2025-01-30,148.262,34.5578,4.99898,3.54263,0.0316037,113.704,0.451107
2025-01-31,144.06,33.6211,4.97023,3.51515,0.0170948,110.439,0.451107
2025-02-03,145.335,33.276,4.97904,3.50484,0.0028018,112.059,0.451107
2025-02-04,155.133,33.9366,5.04428,3.52449,-0.00697098,121.197,0.451107
2025-02-05,155.529,33.6605,5.04683,3.51633,-0.0162876,121.868,0.451107
2025-02-06,150.21,32.9506,5.01203,3.49501,-0.0219049,117.259,0.451107
2025-02-07,148.42,32.6844,5.00005,3.4869,-0.0246103,115.736,0.451107
2025-02-10,152.039,33.7789,5.02413,3.51983,-0.00254069,118.26,0.451107
2025-02-11,153.541,34.6268,5.03397,3.54463,0.0178145,118.915,0.451107
2025-02-12,147.52,33.4929,4.99397,3.51133,0.0025677,114.027,0.451107
2025-02-13,152.345,33.7394,5.02615,3.51867,-0.00461747,118.606,0.451107
2025-02-14,154.293,34.1535,5.03885,3.53087,0.00185059,120.139,0.451107
2025-02-18,157.229,34.3901,5.0577,3.53777,0.000250837,122.839,0.451107
2025-02-19,155.758,37.0424,5.0483,3.61206,0.0787853,118.715,0.451107
2025-02-20,157.378,38.0086,5.05865,3.63781,0.0998654,119.37,0.451107
2025-02-21,152.874,36.9635,5.02961,3.60993,0.0850837,115.91,0.451107
2025-02-24,151.84,36.786,5.02283,3.60512,0.0833328,115.054,0.451107
2025-02-25,149.742,35.3761,5.00891,3.56604,0.0505282,114.366,0.451107
2025-02-26,145.476,34.962,4.98001,3.55426,0.0517911,110.514,0.451107
2025-02-27,147.146,35.3761,4.99143,3.56604,0.0584153,111.77,0.451107
2025-02-28,149.334,35.7113,5.00618,3.57547,0.0611895,113.623,0.451107
2025-03-03,144.999,33.9267,4.97672,3.5242,0.0232156,111.072,0.451107
2025-03-04,141.817,33.769,4.95453,3.51954,0.0285647,108.048,0.451107
2025-03-05,134.359,33.1873,4.90051,3.50217,0.0355573,101.172,0.451107
2025-03-06,136.785,33.3943,4.91841,3.50839,0.0337033,103.391,0.451107
2025-03-07,136.775,34.2225,4.91834,3.53288,0.0582343,102.553,0.451107
2025-03-10,135.492,33.7296,4.90892,3.51837,0.0479752,101.763,0.451107
2025-03-11,133.961,33.9267,4.89755,3.5242,0.0589318,100.034,0.451107
2025-03-12,136.348,34.262,4.91521,3.53404,0.0607985,102.086,0.451107
2025-03-13,136.248,33.3155,4.91448,3.50602,0.033113,102.933,0.451107
2025-03-14,140.355,34.3085,4.94417,3.53539,0.0490874,106.046,0.451107
2025-03-17,145.337,34.8645,4.97905,3.55147,0.0494318,110.472,0.451107
2025-03-18,145.177,35.1227,4.97796,3.55885,0.0573039,110.055,0.451107
2025-03-19,148.727,35.798,5.00212,3.57789,0.0654489,112.929,0.451107
2025-03-20,151.094,35.8774,5.0179,3.58011,0.0605441,115.217,0.451107
2025-03-21,149.115,35.8973,5.00472,3.58066,0.0670443,113.218,0.451107
2025-03-24,147.842,36.7016,4.99615,3.60282,0.0930707,111.141,0.451107
2025-03-25,148.25,36.7115,4.9989,3.60309,0.0920989,111.539,0.451107
2025-03-26,148.966,37.208,5.00372,3.61653,0.103359,111.758,0.451107
2025-03-27,146.52,36.6222,4.98716,3.60065,0.0949573,109.898,0.451107
2025-03-28,143.288,36.503,4.96486,3.59739,0.101759,106.785,0.451107
2025-03-31,144.869,37.1385,4.97583,3.61466,0.114069,107.731,0.451107
2025-04-01,145.804,37.3074,4.98226,3.61919,0.115703,108.497,0.451107
