Date,COP Raw Price,KMI Raw Price,COP Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,98.4366,27.5159,4.58941,3.31476,0.000597768,70.9208,0.222037
2025-01-03,99.4301,27.6725,4.59945,3.32044,0.00404402,71.7576,0.222037
2025-01-06,98.3481,27.2418,4.58851,3.30475,-0.00921328,71.1063,0.222037
2025-01-07,100.001,27.2222,4.60518,3.30403,-0.0136318,72.7783,0.222037
2025-01-08,99.9514,27.6921,4.60468,3.32115,0.00359013,72.2593,0.222037
2025-01-10,100.246,27.5648,4.60763,3.31654,-0.00167023,72.6816,0.222037
2025-01-13,102.519,27.9172,4.63004,3.32924,0.00605661,74.6013,0.222037
2025-01-14,103.158,28.5045,4.63626,3.35006,0.0254959,74.6533,0.222037
2025-01-15,103.748,28.8178,4.64196,3.36099,0.0351583,74.9302,0.222037
2025-01-16,103.876,29.4247,4.6432,3.38183,0.0557258,74.4512,0.222037
2025-01-17,104.112,29.6694,4.64547,3.39012,0.0635042,74.4425,0.222037
2025-01-21,102.568,30.5601,4.63052,3.4197,0.0964034,72.0075,0.222037
2025-01-22,101.368,30.1294,4.61875,3.4055,0.0848227,71.2383,0.222037
2025-01-23,102.282,29.8358,4.62774,3.39571,0.0730335,72.4466,0.222037
2025-01-24,100.158,29.6302,4.60675,3.38879,0.0707805,70.5277,0.222037
2025-01-27,101.004,26.8796,4.61516,3.29137,-0.0285136,74.1242,0.222037
2025-01-28,99.7153,26.8796,4.60232,3.29137,-0.0256628,72.8357,0.222037
2025-01-29,99.8923,26.723,4.60409,3.28552,-0.0319005,73.1693,0.222037
2025-01-30,99.794,27.5061,4.60311,3.31441,-0.00279877,72.2879,0.222037
2025-01-31,97.2072,26.8992,4.57684,3.2921,-0.0192785,70.308,0.222037
2025-02-03,96.8629,27.283,4.5733,3.30626,-0.00432266,69.5799,0.222037
2025-02-04,98.9284,27.2039,4.5944,3.30336,-0.0119125,71.7246,0.222037
2025-02-05,98.5645,27.3424,4.59071,3.30844,-0.00601622,71.2221,0.222037
2025-02-06,98.2989,26.4916,4.58801,3.27683,-0.0370258,71.8073,0.222037
2025-02-07,96.7449,26.7488,4.57208,3.28649,-0.0238255,69.996,0.222037
2025-02-10,97.8465,26.7785,4.5834,3.2876,-0.0252307,71.068,0.222037
2025-02-11,100.04,26.5015,4.60557,3.2772,-0.0405504,73.5384,0.222037
2025-02-12,96.7842,25.997,4.57248,3.25798,-0.0524249,70.7872,0.222037
2025-02-13,95.3089,26.274,4.55712,3.26858,-0.038416,69.0349,0.222037
2025-02-14,95.4477,26.2641,4.55858,3.2682,-0.0391158,69.1836,0.222037
2025-02-18,96.6276,26.462,4.57086,3.27571,-0.0343391,70.1657,0.222037
2025-02-19,98.7297,26.6004,4.59239,3.28093,-0.0338977,72.1293,0.222037
2025-02-20,101.139,26.3037,4.6165,3.26971,-0.0504706,74.8356,0.222037
2025-02-21,97.1135,26.1256,4.57588,3.26292,-0.0482445,70.9879,0.222037
2025-02-24,97.9861,26.185,4.58483,3.26519,-0.0479614,71.8011,0.222037
2025-02-25,96.2608,25.819,4.56706,3.25111,-0.0580936,70.4418,0.222037
2025-02-26,95.3188,25.8882,4.55723,3.25379,-0.0532317,69.4306,0.222037
2025-02-27,96.5483,25.9278,4.57004,3.25531,-0.0545502,70.6206,0.222037
2025-02-28,98.3133,26.8082,4.58816,3.28871,-0.0251799,71.5051,0.222037
2025-03-03,91.8483,26.8478,4.52014,3.29018,-0.00860179,65.0006,0.222037
2025-03-04,89.8751,26.6994,4.49842,3.28464,-0.009322,63.1757,0.222037
2025-03-05,88.13,26.4422,4.47881,3.27496,-0.0146481,61.6878,0.222037
2025-03-06,87.8523,26.0267,4.47566,3.25912,-0.0297849,61.8256,0.222037
2025-03-07,89.8652,25.8585,4.49831,3.25264,-0.0412972,64.0067,0.222037
2025-03-10,92.116,25.8585,4.52305,3.25264,-0.04679,66.2575,0.222037
2025-03-11,94.6049,26.1256,4.54971,3.26292,-0.0424334,68.4792,0.222037
2025-03-12,96.9251,26.2344,4.57394,3.26707,-0.0436569,70.6907,0.222037
2025-03-13,95.3783,26.2542,4.55785,3.26783,-0.0393309,69.1241,0.222037
2025-03-14,98.115,26.8082,4.58614,3.28871,-0.0247315,71.3068,0.222037
2025-03-17,98.5215,27.4908,4.59028,3.31385,-0.000507076,71.0308,0.222037
2025-03-18,99.6816,27.2237,4.60198,3.30409,-0.0128696,72.458,0.222037
2025-03-19,100.475,27.5501,4.60991,3.31601,-0.00270962,72.9248,0.222037
2025-03-20,101.447,27.7578,4.61953,3.32352,0.00266542,73.6888,0.222037
2025-03-21,101.06,27.6292,4.61571,3.31887,-0.00113022,73.4307,0.222037
2025-03-24,101.328,28.4008,4.61836,3.34642,0.0258264,72.9268,0.222037
2025-03-25,101.685,28.5196,4.62188,3.35059,0.0292166,73.165,0.222037
2025-03-26,102.329,28.1733,4.62819,3.33838,0.0155992,74.1558,0.222037
2025-03-27,101.952,27.926,4.62451,3.32956,0.00760152,74.0263,0.222037
2025-03-28,101.506,28.0645,4.62012,3.33451,0.0135225,73.4416,0.222037
2025-03-31,104.134,28.2228,4.64568,3.34013,0.0134717,75.911,0.222037
2025-04-01,104.501,28.3217,4.64919,3.34363,0.0161898,76.1789,0.222037
2025-04-02,105.205,28.6086,4.65591,3.35371,0.0247772,76.5961,0.222037
2025-04-03,94.4462,27.4215,4.54803,3.31133,0.00635064,67.0247,0.222037
