Date,CVX Raw Price,OXY Raw Price,CVX Log Price,OXY Log Price,Residual,Spread,Beta
2025-02-28,156.711,48.3222,5.0544,3.87789,-0.00918472,108.389,1.26782
2025-03-03,151.248,45.9575,5.01892,3.82772,-0.0143688,105.29,1.26782
2025-03-04,150.171,46.0367,5.01177,3.82944,-0.00358894,104.134,1.26782
2025-03-05,148.995,45.0275,5.00391,3.80727,-0.0157894,103.968,1.26782
2025-03-06,151.109,45.2253,5.018,3.81166,-0.0292683,105.884,1.26782
2025-03-07,154.459,46.7391,5.03993,3.84458,-0.0241375,107.72,1.26782
2025-03-10,155.674,47.0971,5.04776,3.85221,-0.0264427,108.577,1.26782
2025-03-11,152.226,46.0231,5.02537,3.82914,-0.0211144,106.203,1.26782
2025-03-12,150.833,45.8441,5.01617,3.82525,-0.013356,104.989,1.26782
2025-03-13,151.761,45.1977,5.02231,3.81105,-0.0353381,106.564,1.26782
2025-03-14,155.13,46.2717,5.04427,3.83453,-0.0396904,108.859,1.26782
2025-03-17,156.81,46.9977,5.05503,3.8501,-0.0377758,109.812,1.26782
2025-03-18,158.875,47.3855,5.06812,3.85832,-0.0461428,111.489,1.26782
2025-03-19,162.076,47.6938,5.08806,3.8648,-0.0649483,114.382,1.26782
2025-03-20,162.787,47.6938,5.09244,3.8648,-0.0705005,115.093,1.26782
2025-03-21,162.767,47.6739,5.09232,3.86438,-0.0707636,115.094,1.26782
2025-03-24,163.034,47.654,5.09396,3.86397,-0.073257,115.38,1.26782
2025-03-25,163.943,48.738,5.09952,3.88646,-0.0578141,115.205,1.26782
2025-03-26,165.949,49.4739,5.11168,3.90144,-0.0582435,116.475,1.26782
2025-03-27,164.645,49.2352,5.10379,3.89661,-0.0530767,115.409,1.26782
2025-03-28,164.091,48.559,5.10042,3.88278,-0.062639,115.532,1.26782
2025-03-31,165.277,49.086,5.10762,3.89357,-0.0609707,116.191,1.26782
2025-04-01,166.482,48.917,5.11489,3.89012,-0.073633,117.565,1.26782
2025-04-02,164.467,49.0562,5.10271,3.89297,-0.0553488,115.411,1.26782
2025-04-03,154.241,43.6563,5.03852,3.77635,-0.0905855,110.585,1.26782
2025-04-04,141.556,40.315,4.95269,3.69672,-0.0614012,101.241,1.26782
2025-04-07,138.463,38.5349,4.93061,3.65156,-0.0785566,99.9285,1.26782
2025-04-08,135.282,35.9096,4.90736,3.581,-0.119649,99.3726,1.26782
2025-04-09,144.273,40.0067,4.97171,3.68905,-0.0931802,104.266,1.26782
2025-04-10,133.356,36.2676,4.89302,3.59092,-0.0915443,97.0881,1.26782
2025-04-11,133.998,37.4609,4.89782,3.6233,-0.065261,96.5369,1.26782
2025-04-14,133.692,37.6896,4.89554,3.62939,-0.0562729,96.002,1.26782
2025-04-15,132.921,37.5902,4.88975,3.62674,-0.0515858,95.3308,1.26782
2025-04-16,133.731,38.2366,4.89583,3.64379,-0.0422398,95.4945,1.26782
2025-04-17,136.211,39.4896,4.9142,3.67604,-0.0332897,96.7213,1.26782
2025-04-21,132.121,38.8034,4.88372,3.65851,-0.0121646,93.3173,1.26782
2025-04-22,135.648,39.7481,4.91006,3.68256,-0.021511,95.8996,1.26782
2025-04-23,135.035,39.6089,4.90554,3.67905,-0.0192816,95.4263,1.26782
2025-04-24,137.396,40.1459,4.92287,3.69252,-0.0277929,97.2505,1.26782
2025-04-25,137.061,40.136,4.92042,3.69227,-0.0249371,96.9246,1.26782
2025-04-28,138.414,40.2851,4.93025,3.69598,-0.0336864,98.1289,1.26782
2025-04-29,137.624,40.126,4.92452,3.69203,-0.0303835,97.4977,1.26782
2025-04-30,134.423,39.1913,4.90099,3.66845,-0.0241185,95.2314,1.26782
2025-05-01,134.62,40.2155,4.90246,3.69425,-0.000180909,94.4047,1.26782
2025-05-02,136.833,40.3846,4.91876,3.69845,-0.0166584,96.4487,1.26782
2025-05-05,133.869,38.5946,4.89686,3.65311,-0.0342313,95.2748,1.26782
2025-05-06,133.968,39.062,4.8976,3.66515,-0.0231292,94.9063,1.26782
2025-05-07,134.156,38.7935,4.899,3.65825,-0.0318017,95.3625,1.26782
2025-05-08,135.391,41.21,4.90817,3.71868,0.0170095,94.1809,1.26782
2025-05-09,136.823,41.926,4.91869,3.73591,0.0208906,94.8975,1.26782
2025-05-12,139.916,43.6166,4.94104,3.77544,0.0320868,96.2992,1.26782
2025-05-13,140.637,44.1436,4.94618,3.78745,0.0375798,96.4934,1.26782
2025-05-14,139.965,43.5768,4.94139,3.77452,0.0307267,96.3884,1.26782
2025-05-15,140.548,43.1293,4.94555,3.7642,0.0151354,97.4188,1.26782
2025-05-16,140.39,42.8011,4.94442,3.75656,0.00892394,97.5889,1.26782
2025-05-19,138.49,42.0752,4.9308,3.73946,0.00909304,96.4148,1.26782
2025-05-20,137.27,41.6674,4.92195,3.72972,0.0105735,95.6026,1.26782
2025-05-21,135.56,40.9017,4.90941,3.71117,0.00791817,94.6583,1.26782
2025-05-22,135.29,40.852,4.90742,3.70996,0.00922954,94.438,1.26782
2025-05-23,136.54,41.0608,4.91662,3.71505,0.00266832,95.4792,1.26782
2025-05-27,137.83,41.389,4.92602,3.72301,-0.00129315,96.441,1.26782
2025-05-28,136.02,40.8918,4.9128,3.71093,0.00338009,95.1282,1.26782
2025-05-29,137.91,41.2299,4.9266,3.71916,-0.00588052,96.6801,1.26782
2025-05-30,136.7,40.5536,4.91779,3.70263,-0.0112451,96.1463,1.26782
2025-06-02,137.84,41.21,4.92609,3.71868,-0.00571931,96.63,1.26782
2025-06-03,139.55,42.453,4.93842,3.7484,0.00836732,97.097,1.26782
2025-06-04,137.37,41.6774,4.92268,3.72996,0.00988892,95.6926,1.26782
2025-06-05,136.9,41.5879,4.91925,3.72781,0.0120843,95.3121,1.26782
2025-06-06,140.21,42.3039,4.94314,3.74488,-0.00113448,97.9061,1.26782
2025-06-09,140.76,43,4.94706,3.7612,0.0102233,97.76,1.26782
2025-06-10,143.35,43.91,4.96529,3.78214,0.00804914,99.44,1.26782
2025-06-11,144.78,44.84,4.97522,3.8031,0.0164232,99.94,1.26782
2025-06-12,144.97,44.76,4.97653,3.80131,0.0129747,100.21,1.26782
2025-06-13,145.91,46.45,4.98299,3.83838,0.0418422,99.46,1.26782
