Date,CVX Raw Price,OXY Raw Price,CVX Log Price,OXY Log Price,Residual,Spread,Beta
2025-01-02,143.354,49.2819,4.96532,3.89756,0.123424,94.0726,1.26782
2025-01-03,144.468,49.9745,4.97306,3.91151,0.127566,94.494,1.26782
2025-01-06,143.892,50.2317,4.96906,3.91665,0.13777,93.6602,1.26782
2025-01-07,146.169,51.0034,4.98476,3.93189,0.133114,95.1652,1.26782
2025-01-08,146.862,50.6472,4.9895,3.92488,0.120102,96.2151,1.26782
2025-01-10,149.637,50.7561,5.00822,3.92703,0.0985162,98.8813,1.26782
2025-01-13,151.797,52.1214,5.02254,3.95358,0.106896,99.6754,1.26782
2025-01-14,153.311,51.5278,5.03247,3.94212,0.0828542,101.784,1.26782
2025-01-15,154.709,52.1412,5.04154,3.95396,0.0831858,102.567,1.26782
2025-01-16,155.735,51.7455,5.04815,3.94634,0.0671866,103.989,1.26782
2025-01-17,157.777,51.419,5.06118,3.94001,0.0443398,106.358,1.26782
2025-01-21,154.621,50.014,5.04098,3.9123,0.0422542,104.607,1.26782
2025-01-22,152.833,49.6677,5.02934,3.90536,0.0500537,103.165,1.26782
2025-01-23,152.442,49.8063,5.02678,3.90814,0.0560853,102.636,1.26782
2025-01-24,152.09,48.7674,5.02447,3.88706,0.0379354,103.323,1.26782
2025-01-27,153.634,49.0345,5.03457,3.89252,0.0305934,104.599,1.26782
2025-01-28,152.637,48.4805,5.02806,3.88116,0.0274811,104.157,1.26782
2025-01-29,152.129,48.3123,5.02473,3.87769,0.0282332,103.817,1.26782
2025-01-30,152.745,48.4013,5.02877,3.87953,0.0249547,104.343,1.26782
2025-01-31,145.778,46.1554,4.98208,3.83201,0.0366288,99.6224,1.26782
2025-02-03,145.924,45.8784,4.98309,3.82599,0.0293346,100.046,1.26782
2025-02-04,149.716,47.0854,5.00874,3.85196,0.022786,102.63,1.26782
2025-02-05,149.491,46.8579,5.00724,3.84712,0.0198458,102.633,1.26782
2025-02-06,148.426,46.4819,5.00009,3.83906,0.0208549,101.944,1.26782
2025-02-07,149.129,46.284,5.00481,3.8348,0.0105936,102.845,1.26782
2025-02-10,152.207,47.867,5.02524,3.86843,0.0183236,104.34,1.26782
2025-02-11,153.839,48.0946,5.03591,3.87317,0.0095464,105.744,1.26782
2025-02-12,151.357,47.3229,5.01964,3.85699,0.0139909,104.034,1.26782
2025-02-13,152.315,47.3723,5.02595,3.85804,0.00703992,104.942,1.26782
2025-02-14,153.471,47.5504,5.03351,3.86179,0.00120709,105.92,1.26782
2025-02-18,154.281,48.3222,5.03877,3.87789,0.0106316,105.959,1.26782
2025-02-19,155.338,50.4494,5.0456,3.92097,0.0450542,104.889,1.26782
2025-02-20,156.879,51.5377,5.05548,3.94231,0.0538806,105.341,1.26782
2025-02-21,155.032,49.8854,5.04363,3.90973,0.0363146,105.146,1.26782
2025-02-24,155.99,49.3313,5.04979,3.89856,0.0173329,106.659,1.26782
2025-02-25,154.538,48.3716,5.04044,3.87891,0.00954579,106.166,1.26782
2025-02-26,153.273,48.0352,5.03222,3.87193,0.0129844,105.238,1.26782
2025-02-27,154.785,48.1342,5.04203,3.87399,0.00259998,106.65,1.26782
