Date,RRC Raw Price,WMB Raw Price,RRC Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,35.8827,54.9218,3.58026,4.00591,-0.0311089,19.0391,0.206149
2025-01-03,35.7434,55.6294,3.57636,4.01871,-0.0175044,19.8861,0.206149
2025-01-06,36.6392,54.853,3.60112,4.00466,-0.0366633,18.2138,0.206149
2025-01-07,36.6093,54.5974,3.6003,3.99999,-0.0411648,17.9881,0.206149
2025-01-08,37.3459,55.423,3.62022,4.01499,-0.0302629,18.0771,0.206149
2025-01-10,37.9929,54.5679,3.6374,3.99945,-0.0493522,16.5751,0.206149
2025-01-13,38.3114,55.0692,3.64575,4.00859,-0.0419294,16.7578,0.206149
2025-01-14,39.4361,57.0644,3.67468,4.04418,-0.0123047,17.6282,0.206149
2025-01-15,40.1429,57.0152,3.69244,4.04332,-0.0168278,16.8724,0.206149
2025-01-16,41.0984,58.1652,3.71597,4.06329,-0.00170913,17.0668,0.206149
2025-01-17,40.8794,58.1259,3.71063,4.06261,-0.00128394,17.2464,0.206149
2025-01-21,40.7799,59.5903,3.70819,4.08749,0.0241009,18.8104,0.206149
2025-01-22,40.8097,58.1848,3.70892,4.06362,8.17596e-05,17.3751,0.206149
2025-01-23,40.3718,58.4699,3.69813,4.06851,0.00719273,18.0981,0.206149
2025-01-24,39.9836,58.5485,3.68847,4.06986,0.0105284,18.5649,0.206149
2025-01-27,37.0971,53.6146,3.61354,3.98182,-0.0620588,16.5175,0.206149
2025-01-28,37.2264,54.2534,3.61702,3.99367,-0.0509314,17.027,0.206149
2025-01-29,37.4156,54.3812,3.62209,3.99602,-0.0496237,16.9656,0.206149
2025-01-30,37.3957,55.6196,3.62155,4.01854,-0.026997,18.2239,0.206149
2025-01-31,36.8681,54.4795,3.60735,3.99782,-0.0447795,17.6114,0.206149
2025-02-03,37.2663,55.2363,3.61809,4.01162,-0.033198,17.97,0.206149
2025-02-04,37.5649,54.7645,3.62607,4.00304,-0.0434208,17.1996,0.206149
2025-02-05,38.7593,55.8751,3.65737,4.02312,-0.0297966,17.1158,0.206149
2025-02-06,37.4554,55.0495,3.62315,4.00823,-0.037628,17.5942,0.206149
2025-02-07,37.0771,54.9807,3.613,4.00698,-0.0367862,17.9036,0.206149
2025-02-10,39.5257,55.2068,3.67695,4.01109,-0.0458666,15.6811,0.206149
2025-02-11,39.3864,54.2927,3.67342,3.99439,-0.0618339,14.9064,0.206149
2025-02-12,38.3014,53.8799,3.64549,3.98676,-0.0637079,15.5785,0.206149
2025-02-13,38.6199,56.4747,3.65377,4.03379,-0.0183812,17.8547,0.206149
2025-02-14,38.4906,56.0029,3.65041,4.0254,-0.0260781,17.5123,0.206149
2025-02-18,38.7394,56.8088,3.65686,4.03969,-0.0131181,18.0694,0.206149
2025-02-19,39.7148,57.2708,3.68173,4.04779,-0.010146,17.5559,0.206149
2025-02-20,39.4859,57.4477,3.67594,4.05087,-0.0058699,17.9618,0.206149
2025-02-21,38.3014,56.455,3.64549,4.03344,-0.0170221,18.1536,0.206149
2025-02-24,37.8137,56.3469,3.63267,4.03153,-0.016297,18.5332,0.206149
2025-02-25,37.326,55.2166,3.61969,4.01126,-0.033884,17.8906,0.206149
2025-02-26,38.3711,55.9243,3.6473,4.024,-0.0268424,17.5532,0.206149
2025-02-27,36.2311,55.2952,3.58992,4.01269,-0.0263236,19.0642,0.206149
2025-02-28,36.9477,57.1823,3.6095,4.04624,0.0031965,20.2346,0.206149
2025-03-03,36.6292,56.6123,3.60085,4.03623,-0.00503778,19.983,0.206149
2025-03-04,37.6843,55.826,3.62924,4.02224,-0.0248781,18.1417,0.206149
2025-03-05,37.3558,55.2559,3.62049,4.01198,-0.0333371,17.9001,0.206149
2025-03-06,35.2158,53.6735,3.5615,3.98292,-0.0502311,18.4577,0.206149
2025-03-07,35.0566,53.4475,3.55696,3.9787,-0.0535173,18.3909,0.206149
2025-03-10,36.2908,53.0937,3.59156,3.97206,-0.0672926,16.8028,0.206149
2025-03-11,37.2762,54.0077,3.61836,3.98913,-0.0557461,16.7315,0.206149
2025-03-12,37.4255,55.3346,3.62235,4.0134,-0.0322993,17.909,0.206149
2025-03-13,37.2862,55.2166,3.61862,4.01126,-0.033664,17.9305,0.206149
