Date,BP Raw Price,SHEL Raw Price,BP Log Price,SHEL Log Price,Residual,Spread,Beta
2025-05-01,27.4355,64.1115,3.31184,4.16062,0.010812,36.676,0.396044
2025-05-02,27.6717,65.932,3.32041,4.18862,0.0354167,38.2602,0.396044
2025-05-05,28.7148,64.4281,3.35741,4.16555,-0.00231108,35.7133,0.396044
2025-05-06,27.9473,64.4083,3.33032,4.16524,0.00811226,36.4611,0.396044
2025-05-07,27.6816,64.3589,3.32077,4.16447,0.0111272,36.6773,0.396044
2025-05-08,28.1342,64.3885,3.33699,4.16494,0.00516417,36.2543,0.396044
2025-05-09,29.2954,65.4472,3.37743,4.18124,0.00545413,36.1518,0.396044
2025-05-12,29.7087,65.6747,3.39144,4.18471,0.0033766,35.966,0.396044
2025-05-13,30.0728,66.8917,3.40362,4.20307,0.0169125,36.8188,0.396044
2025-05-14,29.876,66.3772,3.39706,4.19535,0.0117919,36.5012,0.396044
2025-05-15,29.63,66.674,3.38879,4.19982,0.0195284,37.044,0.396044
2025-05-16,29.76,66.62,3.39317,4.199,0.0169843,36.86,0.396044
2025-05-19,29.4,66.67,3.38099,4.19976,0.0225546,37.27,0.396044
2025-05-20,29.2,66.62,3.37417,4.199,0.0245078,37.42,0.396044
2025-05-21,28.88,66.36,3.36315,4.19509,0.0249616,37.48,0.396044
2025-05-22,28.94,65.95,3.36522,4.1889,0.0179419,37.01,0.396044
2025-05-23,29.09,66.3,3.37039,4.19419,0.0211876,37.21,0.396044
2025-05-27,29.15,66.69,3.37245,4.20006,0.0262367,37.54,0.396044
2025-05-28,28.94,66.04,3.36522,4.19026,0.0193057,37.1,0.396044
2025-05-29,29.17,66.44,3.37314,4.1963,0.0222093,37.27,0.396044
2025-05-30,29.1,66.22,3.37074,4.19298,0.0198441,37.12,0.396044
2025-06-02,29.58,67.45,3.3871,4.21139,0.0317687,37.87,0.396044
2025-06-03,29.56,67.83,3.38642,4.217,0.0376546,38.27,0.396044
2025-06-04,28.92,67.27,3.36453,4.20871,0.0380332,38.35,0.396044
2025-06-05,29.05,67.53,3.36902,4.21257,0.0401146,38.48,0.396044
2025-06-06,29.29,68.02,3.37725,4.2198,0.0440858,38.73,0.396044
2025-06-09,29.46,68.26,3.38303,4.22332,0.0453161,38.8,0.396044
2025-06-10,30.23,70.05,3.40883,4.24921,0.0609829,39.82,0.396044
2025-06-11,30.81,71.02,3.42784,4.26296,0.0672085,40.21,0.396044
2025-06-12,30.92,71.44,3.4314,4.26886,0.0716935,40.52,0.396044
2025-06-13,31.72,72.54,3.45695,4.28414,0.0768571,40.82,0.396044
