Date,BP Raw Price,SHEL Raw Price,BP Log Price,SHEL Log Price,Residual,Spread,Beta
2025-01-02,29.0449,61.7661,3.36884,4.12335,-0.0490329,32.7212,0.396044
2025-01-03,29.5689,63.1561,3.38672,4.14561,-0.0338602,33.5872,0.396044
2025-01-06,30.1026,63.3812,3.40461,4.14917,-0.0373868,33.2786,0.396044
2025-01-07,30.8887,64.5363,3.43039,4.16723,-0.0295358,33.6476,0.396044
2025-01-08,30.1997,63.3518,3.40783,4.1487,-0.0391248,33.1522,0.396044
2025-01-10,30.3646,63.5672,3.41328,4.1521,-0.037889,33.2025,0.396044
2025-01-13,30.2967,63.5868,3.41104,4.15241,-0.036694,33.2901,0.396044
2025-01-14,30.1706,64.5167,3.40687,4.16692,-0.0205229,34.3461,0.396044
2025-01-15,30.3743,64.9572,3.4136,4.17373,-0.0163848,34.5828,0.396044
2025-01-16,30.8402,65.0453,3.42882,4.17508,-0.0210569,34.2051,0.396044
2025-01-17,30.7528,65.3096,3.42598,4.17914,-0.0158788,34.5567,0.396044
2025-01-21,30.5878,65.3585,3.4206,4.17989,-0.0129994,34.7707,0.396044
2025-01-22,30.2094,64.5558,3.40815,4.16753,-0.0204255,34.3465,0.396044
2025-01-23,30.5587,65.2508,3.41965,4.17824,-0.014271,34.6921,0.396044
2025-01-24,30.5199,64.0077,3.41838,4.159,-0.0330033,33.4878,0.396044
2025-01-27,30.5199,63.763,3.41838,4.15517,-0.036834,33.243,0.396044
2025-01-28,30.2385,63.2148,3.40912,4.14654,-0.041799,32.9763,0.396044
2025-01-29,30.2094,63.4106,3.40815,4.14963,-0.0383256,33.2012,0.396044
2025-01-30,30.6752,65.241,3.42345,4.17809,-0.0159274,34.5659,0.396044
2025-01-31,30.1414,64.458,3.4059,4.16601,-0.0210514,34.3165,0.396044
2025-02-03,29.9571,63.7923,3.39977,4.15563,-0.0290016,33.8353,0.396044
2025-02-04,30.7043,65.2215,3.4244,4.17779,-0.0166032,34.5172,0.396044
2025-02-05,30.7334,65.1236,3.42535,4.17629,-0.0184806,34.3902,0.396044
2025-02-06,31.0148,64.7614,3.43447,4.17071,-0.0276675,33.7466,0.396044
2025-02-07,31.3157,64.4971,3.44412,4.16662,-0.03558,33.1814,0.396044
2025-02-10,33.4021,64.732,3.50862,4.17026,-0.0574888,31.33,0.396044
2025-02-11,33.5282,65.9556,3.51239,4.18898,-0.040256,32.4274,0.396044
2025-02-12,33.6544,65.3487,3.51614,4.17974,-0.0509875,31.6943,0.396044
2025-02-13,33.47,65.9458,3.51065,4.18883,-0.039716,32.4758,0.396044
2025-02-14,33.9649,66.4168,3.52533,4.19595,-0.0384135,32.4518,0.396044
2025-02-18,34.2658,67.0994,3.53415,4.20618,-0.0316797,32.8337,0.396044
2025-02-19,33.5185,66.8818,3.5121,4.20293,-0.0261969,33.3632,0.396044
2025-02-20,33.6253,67.6535,3.51528,4.2144,-0.0159838,34.0282,0.396044
2025-02-21,33.3497,65.9913,3.50705,4.18952,-0.0376006,32.6416,0.396044
2025-02-24,33.2021,66.1793,3.50261,4.19237,-0.0329992,32.9772,0.396044
2025-02-25,32.7003,66.1892,3.48738,4.19252,-0.0268175,33.4889,0.396044
2025-02-26,32.159,66.6839,3.47069,4.19996,-0.0127616,34.5249,0.396044
2025-02-27,32.592,66.5553,3.48407,4.19803,-0.019989,33.9633,0.396044
2025-02-28,32.592,66.7433,3.48407,4.20085,-0.0171685,34.1512,0.396044
2025-03-03,31.3029,65.7539,3.44371,4.18592,-0.01612,34.451,0.396044
2025-03-04,30.9388,65.4966,3.43201,4.182,-0.0154063,34.5578,0.396044
2025-03-05,31.3718,65.3977,3.44591,4.18049,-0.0224222,34.0259,0.396044
2025-03-06,31.2045,65.3087,3.44056,4.17912,-0.0216671,34.1042,0.396044
2025-03-07,31.5588,66.0804,3.45185,4.19087,-0.0143909,34.5216,0.396044
2025-03-10,31.6965,66.0804,3.45621,4.19087,-0.016116,34.3839,0.396044
2025-03-11,31.4702,66.1002,3.44904,4.19117,-0.0129785,34.63,0.396044
2025-03-12,31.6867,66.6641,3.4559,4.19967,-0.00719818,34.9774,0.396044
2025-03-13,31.854,67.0203,3.46116,4.205,-0.00395505,35.1663,0.396044
2025-03-14,32.8577,68.0393,3.49219,4.22009,-0.00115129,35.1816,0.396044
2025-03-17,33.2218,69.3552,3.50321,4.23924,0.0136395,36.1334,0.396044
2025-03-18,33.6745,70.216,3.51674,4.25158,0.020614,36.5415,0.396044
2025-03-19,34.0583,70.7601,3.52807,4.2593,0.0238457,36.7019,0.396044
2025-03-20,34.196,71.1855,3.53211,4.26529,0.0282412,36.9895,0.396044
2025-03-21,33.9992,70.2555,3.52634,4.25214,0.0173765,36.2563,0.396044
2025-03-24,33.5662,70.5227,3.51352,4.25593,0.0262476,36.9564,0.396044
2025-03-25,33.7434,71.2647,3.51878,4.2664,0.0346301,37.5213,0.396044
2025-03-26,33.8713,72.2541,3.52257,4.28019,0.0469191,38.3828,0.396044
2025-03-27,33.8615,72.5113,3.52228,4.28374,0.050588,38.6499,0.396044
2025-03-28,33.3202,71.9573,3.50616,4.27607,0.0492992,38.637,0.396044
2025-03-31,33.2513,72.5014,3.50409,4.28361,0.0576526,39.2501,0.396044
2025-04-01,33.271,72.2739,3.50469,4.28046,0.0542746,39.0028,0.396044
2025-04-02,33.271,71.9474,3.50469,4.27593,0.049747,38.6764,0.396044
2025-04-03,30.8404,69.0287,3.42883,4.23452,0.038379,38.1883,0.396044
2025-04-04,27.9276,63.4486,3.32961,4.15023,-0.00662106,35.5211,0.396044
2025-04-07,26.7369,61.6579,3.28604,4.1216,-0.0179948,34.921,0.396044
2025-04-08,25.6938,59.1152,3.24625,4.07949,-0.0443474,33.4214,0.396044
2025-04-09,27.4552,63.2112,3.31256,4.14648,-0.00361477,35.756,0.396044
2025-04-10,25.8119,59.1449,3.25083,4.07999,-0.0456614,33.333,0.396044
2025-04-11,26.1661,61.4303,3.26447,4.1179,-0.0131463,35.2642,0.396044
2025-04-14,26.481,61.8755,3.27643,4.12512,-0.0106627,35.3945,0.396044
2025-04-15,26.7762,62.113,3.28751,4.12895,-0.0112233,35.3368,0.396044
2025-04-16,27.2191,63.3497,3.30392,4.14867,0.00199565,36.1306,0.396044
2025-04-17,27.8685,64.349,3.3275,4.16432,0.00830736,36.4804,0.396044
2025-04-21,27.6324,63.9631,3.31899,4.15831,0.00566366,36.3308,0.396044
2025-04-22,28.4098,64.4776,3.34673,4.16632,0.00268629,36.0678,0.396044
2025-04-23,28.1441,63.8246,3.33734,4.15614,-0.00377126,35.6805,0.396044
2025-04-24,28.5377,64.3589,3.35123,4.16447,-0.000936049,35.8212,0.396044
2025-04-25,28.7247,65.1603,3.35776,4.17685,0.00885267,36.4356,0.396044
2025-04-28,28.6656,65.3186,3.3557,4.17928,0.012094,36.6529,0.396044
2025-04-29,27.6225,64.814,3.31863,4.17152,0.0190194,37.1915,0.396044
2025-04-30,27.0222,63.7949,3.29666,4.15567,0.0118732,36.7727,0.396044
